"zone";"area_building_arco";"area_building_dcmix";"area_building_high";"area_building_irh";"area_building_light";"area_building_mlr";"area_building_sdr";"area_building_sky";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_cycleway";"area_street_exclude";"area_street_footway";"area_street_gravel";"area_street_living_street";"area_street_motorway_elevated";"area_street_motorway_link";"area_street_motorway";"area_street_other_elevated";"area_street_other";"area_street_pedestrian";"area_street_primary_link";"area_street_primary";"area_street_residential";"area_street_secondary_link";"area_street_secondary";"area_street_tertiary_link";"area_street_tertiary";"area_street_trunk_link";"area_street_trunk";"area_street_tunnel"
-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;90860;8459;1631391;330897;0;2886681;0;0;541518;4864842;5385;50533;8202;644717;1624;121114;3478;0;114747;0;96205;13705;460;28069;6609;0;0;0;0;96205;150870;3406;2192;252499;934801;0;5845;449;76227;37730;76225;0
7;0;145216;18065;548555;659935;0;5498832;0;0;660605;2245595;42982;247221;14564;329984;0;0;0;0;20095;14827;356177;39097;19072;185281;83474;573;14827;0;0;356177;1123152;7148;1355;429035;1501697;1033;74363;528;242247;3837;209048;6408
8;0;211306;18656;3765761;1778841;0;15308109;0;392164;1440739;14096382;66314;247197;52418;2272929;0;0;0;0;52477;3738;1086787;172750;361262;520254;296428;4356;3738;7438;131420;1086787;1714990;10302;402;826790;2398479;0;261947;0;1500571;87465;1190042;5540
9;0;319245;53265;5475292;2887559;0;24514495;0;287577;3973054;15456364;76546;203588;27013;2574990;0;0;0;0;1077;66394;1037249;133731;251204;487332;483662;27828;66394;194784;1898042;1037249;2787228;12307;23583;1982699;4909052;664;550440;3782;1331605;80312;776569;8575
10;0;96074;8968;1379147;697615;0;6161266;0;0;490668;5428200;10418;11249;0;437179;0;0;0;0;0;0;136414;19195;21516;82697;56577;0;0;0;0;136414;364367;344;4003;622287;1919687;0;41797;350;222817;57320;119900;250
11;0;185447;25909;1731450;427336;0;3676228;0;0;405687;4925842;22963;31246;6269;357835;0;0;0;140;30328;74585;143206;10954;43607;69407;71497;0;74585;64557;281450;143206;303424;6157;0;203854;168951;0;88455;258;145819;6116;511146;286
12;0;155775;16786;288072;429659;0;3815639;0;0;293519;2810667;5654;7863;1026;210609;0;0;0;0;2206;0;86122;11175;1291;24158;7766;0;0;0;0;86122;73868;3581;0;138692;523482;0;29376;0;101039;5165;49808;522
13;0;231812;97865;1979071;733139;0;6515132;0;0;415202;6758627;55066;18965;14406;1458692;17766;420816;26176;0;34387;0;142254;26976;3646;54726;8233;0;0;0;0;142254;220865;6876;8414;323565;1335747;221;65649;4257;169164;5910;32147;5026
14;0;222176;11642;888596;1123731;0;6300504;0;0;438316;3347266;11661;41837;2715;401209;0;0;0;0;23580;0;106745;33390;65327;79279;57431;1495;0;2333;0;106745;352220;7540;0;298551;2459137;200;79710;1280;171922;53691;233551;1343
