"zone","area_building_dcmix_hr","area_building_dcmix_lr","area_building_dcmix_mr","area_building_irh","area_building_light","area_building_sdr_hr","area_building_sdr_lr","area_building_sdr_mr","area_building_sky","area_other_airport","area_other_parking","area_other_remaining_impervious","area_rail_bridge","area_rail_exclude","area_rail_other","area_rail_railway","area_rail_subway_elevated","area_rail_subway_surface","area_rail_subway","area_rail_tram","area_rail_tunnel","area_street_bridge_motorway","area_street_bridge_other","area_street_cycleway","area_street_exclude","area_street_footway","area_street_gravel","area_street_living_street","area_street_motorway_elevated","area_street_motorway_link","area_street_motorway","area_street_other_elevated","area_street_other","area_street_pedestrian","area_street_primary_link","area_street_primary","area_street_residential","area_street_secondary_link","area_street_secondary","area_street_tertiary_link","area_street_tertiary","area_street_trunk_link","area_street_trunk","area_street_tunnel"
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39012,125747,287162,2138910,501109,986,2232548,633966,5204,50558,1506984,14201308,104989,160811,76156,1114782,2711,0,44277,13752,85507,96947,408132,387313,920036,2153440,1254584,1104,97133,3595,12777,408132,3974360,104390,2103,2608362,1350729,1701,700397,582,608437,4207,1380019,136456
1,0,3818,13822,1483518,606150,0,5324532,602877,0,0,328210,4114097,24639,517023,255,686234,0,0,0,0,23817,0,95217,347149,238383,342543,936257,1058,0,0,0,95217,2794134,10045,13890,2017416,2839665,2134,487099,371,471534,17094,153145,2412
2,0,2833,8420,599307,232691,0,2035333,231478,0,0,120606,1717394,1351,154568,473,144279,0,0,0,0,2474,0,29983,115586,32610,78110,159881,0,0,0,0,29983,1031221,1762,5735,981004,1222831,0,132492,0,176392,50517,391731,1674
3,2058,1637,28883,837153,317376,555,2728117,315978,0,0,107549,1725173,4237,230849,27892,236242,0,0,0,0,3023,0,33107,181837,100133,159547,245316,3193,0,0,0,33107,1205597,6077,15602,490834,1551014,0,137524,684,343056,1320,494010,2800
4,640,2982,35239,869105,576973,786,4352697,415622,0,30289,342731,1721591,16650,243940,23563,967525,0,0,0,0,47936,76628,123702,101484,429875,996131,1375472,388,76705,49936,918292,123702,6991228,5532,5728,1131053,1360280,0,1064739,1512,955771,82369,2991960,13978
5,5996,42661,205067,1841454,513873,254,4399995,628691,0,12321,937580,4787793,30477,147909,2474,1290031,0,0,0,0,33650,111417,144510,272268,109853,396305,590568,956,113718,107174,1151480,144510,2169680,10951,19359,1307342,2111731,0,353787,1351,745735,5057,332704,28072
6,0,16600,45698,1818876,1507601,0,9107490,927862,0,72305,596978,5014113,39384,1056364,137044,1750020,0,0,0,5960,24200,0,277753,298961,3553994,1836094,14985542,0,0,0,0,277753,21083376,5324,3946,3643060,1840013,1012,4303741,4252,966218,11572,12152055,667
7,0,1856,18692,539608,198251,27,1735929,228623,0,0,178465,2334385,5837,161589,25703,282018,0,0,0,0,10358,0,73461,216825,96476,112618,200587,0,0,0,0,73461,963192,3243,0,459519,1036692,0,90477,0,105456,11155,1205900,1000
8,263,11495,29272,370333,300781,0,1613903,137360,0,1397,333511,1494073,2815,68767,13821,84475,0,0,0,0,339,0,19616,105646,184858,112483,121064,0,0,0,711,19616,653863,8719,0,74839,731588,2829,142941,1603,116312,2493,426785,3503
