"zone";"mass_grand_t_10m2";"mass_building_dcmix_hr";"mass_building_dcmix_lr";"mass_building_dcmix_mr";"mass_building_irh";"mass_building_light";"mass_building_sdr_hr";"mass_building_sdr_lr";"mass_building_sdr_mr";"mass_building_sky";"mass_building";"mass_other_airport";"mass_other_parking";"mass_other_remaining_impervious";"mass_other";"mass_rail_bridge";"mass_rail_other";"mass_rail_railway";"mass_rail_subway_elevated";"mass_rail_subway_surface";"mass_rail_subway";"mass_rail";"mass_rail_tram";"mass_rail_tunnel";"mass_street_bridge_motorway";"mass_street_bridge_other";"mass_street_cycleway";"mass_street_footway";"mass_street_gravel";"mass_street_living_street";"mass_street_motorway_elevated";"mass_street_motorway_link";"mass_street_motorway";"mass_street_other_elevated";"mass_street_other";"mass_street_pedestrian";"mass_street_primary_link";"mass_street_primary";"mass_street_residential";"mass_street_secondary_link";"mass_street_secondary";"mass_street_tertiary_link";"mass_street_tertiary";"mass_street";"mass_street_trunk_link";"mass_street_trunk";"mass_street_tunnel"
-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;63863760,9423828;487085,340072632;690613,945144653;2221770,80039978;4102618,42593384;855746,011858225;14262,5158081055;4702483,805686;3082321,82315063;179091,653320312;16335993,1090527;75621,6176757812;2362242,39532471;22260965,9135742;24698836,1379395;379057,801635742;46857,674659729;440059,624008179;14650,501953125;0;612945,3359375;1863204,96517181;8461,40927124023;361173,078865051;459418,212890625;1531356,03290939;150891,230075836;838945,520725489;384220,366594315;1462,37963867188;52584,9011230469;5611,302734375;19111,082824707;118358,261327267;6229930,42843628;138277,009185791;3649,23863983154;4178941,60539627;2117310,14367676;2642,97979736328;1088262,62221181;912,302490234375;953743,675796509;20965692,2812195;6566,55126953125;2038272,0489502;645233,486450195
1;41352087;0;23366,7514648438;94078,216796875;2814067,0625;1235659,625;0;12266446;2687830,75;0;19121446,5;0;514479,15625;6448971;6963455,875;88957,916015625;156,897842407227;270890,4140625;0;0;0;460606,6328125;0;100600,67578125;0;357264,59375;135243,8984375;133449,58203125;286731,53125;1401,44714355469;0;0;0;27612,927734375;4379886,125;13305,8005371094;24102,67578125;3232166,75;4451265,375;3315,7666015625;756844,59375;581,553649902344;739142,734375;14806599,5;26681,39453125;226193,609375;11405,1662597656
2;16895773;0;17796,310546875;53932,32421875;1082074,59375;481130,437011719;0;4760389,24609375;1036154,64355469;0;7431478,453125;0;189053,625;2692063,9921875;2881116,9921875;4877,72021484375;291,030151367188;56954,10546875;0;0;0;72572,796875;0;10449,9296875;0;112499,532958984;45030,517578125;30430,435546875;48964,0230712891;0;0;0;0;8695,06749725342;1616468,5703125;2333,9794921875;9951,6787109375;1571696,75;1916827,25146484;0;205863,391601562;0;276500,056640625;6510605,390625;78850,125;578582,4609375;7915,5263671875
3;19825260;24214,02734375;10538,408203125;209811,65625;1607592,375;606015,3125;9010,4189453125;5901920;1458603;0;9827711;0;168586,15625;2704260,25;2872846;15297,4833984375;17161,55078125;93256,515625;0;0;0;138484,296875;0;12768,8515625;0;124221,140625;70840,890625;62157,11328125;75128,6953125;4229,509765625;0;0;0;9601,0302734375;1889810,75;8049,7109375;27073,4296875;786383,1875;2431263,25;0;213682,078125;1072,19055175781;537750,875;6986209;2060,33935546875;729647,625;13239,83203125
4;43405038,9375;7560,84716796875;19140,15625;242113,703125;1542397,6015625;1019467,67382812;9561,94140625;8834024,359375;1895743,39453125;0;13570011,15625;45304,4921875;537241,447265625;2698642,4453125;3281192,453125;60114,0480957031;14497,9638671875;381930,154296875;0;0;0;659019,34765625;0;202476,84375;363129,46875;464143,267089844;39536,5659179688;388076,6171875;421239,227050781;513,952301025391;41525,796875;77943,2536621094;1373526,95898438;35873,6076049805;10958956,5;7327,79460144043;9939,5322265625;1812097;2132279,7265625;0;1654372,1706543;2370,10546875;1498197,22119141;25894787;128566,7734375;4419083,03125;66095,0458374023
5;43585584;68924,6171875;246797,53125;1523643,625;3543232;1005085,4375;3169,927734375;9778363;2947673,75;0;19116862;18429,013671875;1469685;7505012,5;8993127;110035,7421875;1522,21667480469;509239,15625;0;0;0;762931,8125;0;142134,28125;527989,5;542217,125;106071,2578125;154394,46875;180863,3125;1266,33605957031;61563,5234375;167283,90625;1722317;41907,9375;3401041,75;14505,90625;33592,7734375;2094535;3310201;0;549707,4375;2117,73291015625;1168963,375;14712577;7893,2861328125;491400,34375;132738,65625
6;113767198,71875;0;102641,961532593;293199,718505859;3022548,9609375;2729994,25976562;0;19088547,921875;4096197,66015625;0;29333145,9375;108149,48828125;935780,785644531;7859774,77734375;8903702,28125;142194,046875;84321,2450256348;690819,253417969;0;0;0;1023218,83154297;3667,1025390625;102218,393066406;0;1042159,51367188;116470,622217178;715314,921630859;4589385,67980957;0;0;0;0;80548,3076477051;33048872,0625;7052,27319335938;6847,31164550781;5836670,109375;2884277,39208984;1572,42541503906;6687074,10351562;6665,13818359375;1514577,16113281;74507113,78125;18062,3061523438;17948468,2402344;3153,91625976562
7;17318250;0;11685,5859375;129923,2265625;1011594,875;416625,09375;311,86279296875;4120822,5;1025143,9375;0;6716109;0;279749,40625;3659213;3938962,5;21074,203125;15814,6923828125;111326,390625;0;0;0;191966,640625;0;43751,17578125;0;275633,78125;84471,4921875;43874,2421875;61430,47265625;0;0;0;0;21303,685546875;1509832,875;4295,73974609375;0;736209,75;1625048,625;0;140581,484375;0;165305,390625;6471229;17411,42578125;1781103,875;4728,5107421875
8;11817918,625;2856,07885742188;68631,65625;192517,59375;639384,899414062;496406,185546875;0;3295238,09375;634804,633789062;0;5329844,15625;2089,548828125;522788,617797852;2342004,7578125;2866884,1484375;10163,4216308594;8503,86328125;33346,4443359375;0;0;0;53445,6044921875;0;1431,90234375;0;73601,3977050781;41158,0930175781;43821,7349395752;37076,2685546875;0;0;0;1063,47192382812;5688,64196777344;1024951,85546875;11549,357421875;0;119902,030029297;1146787,1875;4395,64306640625;222098,88671875;2512,75048828125;182322,595703125;3567745,359375;3891,23168945312;630357,005859375;16563,9775390625
9;14343269;28233,5703125;7690,27880859375;278492,875;1014395,625;542115,9375;754,831787109375;4458064;1039583,8125;0;7369333,5;0;467482,6875;2297864,5;2765347,5;2036,29467773438;1988,60339355469;37239,875;0;0;0;41763,1796875;0;498,420288085938;0;38279,0234375;33414,69140625;59659,05078125;17809,572265625;0;0;0;0;2958,57934570312;641179,4375;2412,1318359375;2594,2041015625;861077,3125;1927826,25;0;147685,28125;0;300324,625;4166832,75;0;127068,40625;4544,09814453125
10;12236166;0;18272,53125;184131,734375;678141,3125;461155,8125;727,248657226562;4291122;775920,75;0;6409470,5;0;216773,71875;1630086,5;1846859,625;9773,4921875;2630,34643554688;79921,78125;0;0;0;291909,09375;0;199583,578125;0;39269,578125;7493,6611328125;82847,1484375;6820,87744140625;23282,833984375;0;0;1483,77526855469;3035,1396484375;583223,5;9591,568359375;919,684509277344;310485,15625;1650014;1379,75671386719;124989,203125;258,642456054688;227107;3687920,75;1723,19274902344;606166,9375;7830,4130859375
11;19918838;0;6,5872278213501;21544,578125;1028838,625;1136703;0;5139355,5;858570;0;8185005,5;26402,802734375;447840,03125;1548961,5;2023204,125;40119,33984375;4499,583984375;248945,671875;0;0;0;357628,90625;0;64063,89453125;0;150459,578125;23888,142578125;278524,59375;335735,46875;6441,623046875;0;0;0;11629,0029296875;1851373,125;2598,90307617188;3602,38696289062;1164441,25;2459783,75;0;392105,65625;172,428314208984;999830,0625;9352986;19877,591796875;1595015,625;57517,57421875
12;25285520;0;98,6808547973633;1764,61206054688;636136,5;823360,625;0;5740854,5;584693,1875;0;7786889;60520,640625;573665,5625;2003176,875;2637362,5;38278;0;371554,6875;0;0;0;446500,90625;0;36667,6796875;0;147930,640625;15988,9443359375;324641,15625;183842,140625;29745,65234375;0;0;0;11433,533203125;4955825,5;25186,314453125;2208,97802734375;2447146,5;2007394,375;506,532287597656;928509,4375;959,328308105469;1380797,875;14414750;0;1948669,625;3971,94873046875
13;41479594,5;0;0;0;1187357,7734375;1359351,21875;0;9958574,75;541982,8515625;0;13047273,875;139775,40625;982377,7734375;2322345,21875;3444493,125;66165,1533203125;48191,5859375;330663,2109375;0;0;0;594169,375;0;149150,1796875;0;205597,013671875;56436,34375;581440,390625;631425,140625;527,198486328125;0;0;6196,85546875;15890,5529785156;7532776,25;582,832458496094;921,419738769531;3112480,0625;3462043,25;1836,56799316406;1511239,625;592,526306152344;3524098,4375;24393655;4815,26220703125;3740997,53125;3759,16552734375
14;32661806;3595,25415039062;18799,490234375;539174,5625;3139476;1075120,625;0;10221810;943469,0625;0;15941419;16994,59765625;1027889,25;4491914,5;5536796;26302,13671875;8671,8369140625;181522,78125;0;0;0;217379,5;0;882,795288085938;0;323698,15625;67834,078125;341730,4375;46871,125;10570,4619140625;0;0;0;25018,580078125;2036206;16366,9951171875;21912,7890625;1588364,375;3744598,25;584,221313476562;289781,53125;1352,7783203125;909493,6875;10966175;203792,46875;1312493;25496,14453125
15;36178812;0;20223,796875;86210,84375;2008799,5;1080247,5;0;9257959;702495,8125;0;13155924;815727,875;564748,375;3416841,5;4797316,5;50387,46484375;10758,2783203125;175256,140625;0;0;0;236402,328125;0;0;0;268463,375;57672,94921875;452151,25;318939,4375;17340,59375;0;0;4128,24560546875;20749,51171875;6016348;14814,541015625;0;1187003,375;2577374,75;1201,07202148438;1042999,25;4918,90869140625;2866053,75;17989148;159543,59375;2974307;5111,51953125
16;17212690;0;19348,27734375;113593,8828125;532043,5;510630,8125;1130,65893554688;4853538,5;762697,625;0;6792986;19640,56640625;434097,625;1830949,875;2284687;32133,0234375;0;178735,890625;0;0;0;213094,890625;0;2225,99560546875;128119,84375;115801,375;5841,82080078125;116664,140625;110135,28125;299,363952636719;14636,4765625;64410,55859375;506878,0625;8950,2685546875;1822124,375;1266,3359375;5500,75439453125;940859,0625;1616772,5;1567,76391601562;150899,9375;1928,06188964844;917006,25;7921889,5;204725,96875;1180534,625;6969,82470703125
17;14589213;0;370,868194580078;28589,53515625;647887,125;710004,5;0;6093599;284843,9375;0;7765296;0;232844,0625;2533468,25;2766311,25;17907,83984375;4913,056640625;38413,05859375;0;0;0;61233,94921875;0;0;0;57377,29296875;12127,376953125;56630,85546875;30814,927734375;0;0;0;0;4434,6806640625;621817,6875;772,253051757812;7404,32861328125;561587,5;2100160,25;853,025207519531;150572,390625;0;226722,90625;3996363,75;22434,283203125;141921,015625;732,919067382812
