"zone","mass_grand_t_10m2","mass_building_dcmix_hr","mass_building_dcmix_lr","mass_building_dcmix_mr","mass_building_irh","mass_building_light","mass_building_sdr_hr","mass_building_sdr_lr","mass_building_sdr_mr","mass_building_sky","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_cycleway","mass_street_footway","mass_street_gravel","mass_street_living_street","mass_street_motorway_elevated","mass_street_motorway_link","mass_street_motorway","mass_street_other_elevated","mass_street_other","mass_street_pedestrian","mass_street_primary_link","mass_street_primary","mass_street_residential","mass_street_secondary_link","mass_street_secondary","mass_street_tertiary_link","mass_street_tertiary","mass_street","mass_street_trunk_link","mass_street_trunk","mass_street_tunnel"
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,56975036.9672852,487085.340072632,690613.945144653,2221770.80039978,4102618.42593384,855746.011858225,14262.5158081055,4702483.805686,3082321.82315063,179091.653320312,16335993.1090527,75621.6176757812,2362242.39532471,23797021.8535156,26234887.048584,379057.801635742,46857.674659729,440059.624008179,14650.501953125,0,612945.3359375,1863204.96517181,8461.40927124023,361173.078865051,310205.754394531,2775717.57867432,54891.3076825142,462277.229904175,63285.7286624908,2418.75463867188,33897.3447265625,0,10274.2462158203,51100.6103014946,2639935.5940733,104724.390296936,739.218116760254,1070591.21490479,2189529.579216,2762.62078857422,804181.850529671,1402.93933105469,830354.988708496,12540919.742053,6156.04443359375,756375.514190674,370109.926818848
1,38423079,0,23366.7514648438,94078.216796875,2814067.0625,1235659.625,0,12266446,2687830.75,0,19121446.5,0,514479.15625,7922363.75,8436845.25,88957.916015625,156.897842407227,270890.4140625,0,0,0,460606.6328125,0,100600.67578125,0,1495927.46875,20125.55078125,24089.595703125,31187.6025390625,0,0,0,0,12308.1811523438,2352191.625,177.498992919922,9354.7529296875,806901.84375,4736674.875,2043.22082519531,481093.640625,0,400765.421875,10404168.75,30675.64453125,0,661.991394042969
2,14273828.625,0,17796.310546875,53932.32421875,1082074.59375,481130.437011719,0,4760389.24609375,1036154.64355469,0,7431478.453125,0,189053.625,4199317.1953125,4388368.6953125,4877.72021484375,291.030151367188,56954.10546875,0,0,0,72572.796875,0,10449.9296875,0,363653.539794922,15.1938037872314,441.789031982422,2141.63061523438,0,0,0,0,590.440002441406,381471.986328125,0,5033.97119140625,275473.21875,1072000.25,0,152261.015625,0,112675.555664062,2381418.31640625,0,15660.525390625,0
3,19899936,24214.02734375,10538.408203125,209811.65625,1607592.375,606015.3125,9010.4189453125,5901920,1458603,0,9827711,0,168586.15625,3018943,3187530.25,15297.4833984375,17161.55078125,93256.515625,0,0,0,138484.296875,0,12768.8515625,0,702064.375,17332.267578125,9001.3515625,1748.40100097656,1654.44946289062,0,0,0,3081.2509765625,1421456,1676.96801757812,23172.580078125,177062.8125,3049566.5,0,178042.625,865.276489257812,676127,6746213.5,2402.16845703125,475058.625,5896.45361328125
4,35958822.9375,7560.84716796875,19140.15625,242113.703125,1542397.6015625,1019467.67382812,9561.94140625,8834024.359375,1895743.39453125,0,13570011.15625,45304.4921875,537241.447265625,3567560.6484375,4150109.0703125,60114.0480957031,14497.9638671875,381930.154296875,0,0,0,659019.34765625,0,202476.84375,269911.25390625,1537723.00976562,14771.4924316406,178833.487304688,49833.1743164062,474.213714599609,18145.0986328125,63210.2760009766,559045.581542969,7978.19155883789,8910814.84765625,8546.44485473633,8905.322265625,442094.27734375,1902205.1484375,0,1083554.125,0,1571407.44433594,17579724.375,85810,856395.120117188,10048.08984375
5,42110924,68924.6171875,246797.53125,1523643.625,3543232,1005085.4375,3169.927734375,9778363,2947673.75,0,19116862,18429.013671875,1469685,8259097.5,9747224,110035.7421875,1522.21667480469,509239.15625,0,0,0,762931.8125,0,142134.28125,102160.3515625,910655.1875,35591.30078125,117588.8671875,67896.75,2120.71557617188,50530.94140625,145222.703125,1188881.625,32688.783203125,2619638.25,11782.484375,25096.96875,699311.3125,4323830.5,0,463896.625,1163.10717773438,1402854.375,12483906,3137.33471679688,219303.71875,60548.55859375
6,80326327.46875,0,102641.961532593,293199.718505859,3022548.9609375,2729994.25976562,0,19088547.921875,4096197.66015625,0,29333145.9375,108149.48828125,935780.785644531,9126669.25195312,10170606.7421875,142194.046875,84321.2450256348,690819.253417969,0,0,0,1023218.83154297,3667.1025390625,102218.393066406,112031.380371094,4705135.10351562,27288.4694690704,298729.505706787,259849.080657959,0,0,0,0,28929.8223953247,19940319.4453125,7546.3564453125,4504.71875,1331217.58935547,2062980.11328125,1050.35534667969,4426897.41381836,10043.1669921875,1500168.28808594,39799357.6875,11601.8951416016,5069605.85107422,1409.09606933594
7,15372883,0,11685.5859375,129923.2265625,1011594.875,416625.09375,311.86279296875,4120822.5,1025143.9375,0,6716109,0,279749.40625,4624395.5,4904150.5,21074.203125,15814.6923828125,111326.390625,0,0,0,191966.640625,0,43751.17578125,0,432831.25,9614.544921875,3042.65649414062,1174.17602539062,0,0,0,0,4294.029296875,623532.875,3989.75341796875,0,135210.859375,1293186.875,0,49523.62109375,0,151559.78125,3560664.5,12578.99609375,840117.125,0
8,11073534.125,2856.07885742188,68631.65625,192517.59375,639384.899414062,496406.185546875,0,3295238.09375,634804.633789062,0,5329844.15625,2089.548828125,522788.617797852,2916209.1484375,3441089.296875,10163.4216308594,8503.86328125,33346.4443359375,0,0,0,53445.6044921875,0,1431.90234375,48961.90234375,417356.8828125,855.918151855469,5897.14111328125,8717.50073242188,0,0,0,0,1826.13000488281,447577.140625,0,0,0,1003196.6640625,0,75390.9609375,992.24658203125,91877.646484375,2249155.25,0,142018.549438477,4492.08471679688
