"zone","volume_building_dcmix_lr","volume_building_dcmix_mr","volume_building_high","volume_building_irh","volume_building_light","volume_building_sdr_lr","volume_building_sdr_mr","volume_building_sky"
-9999,0,0,0,0,0,0,0,0
6,9556.701171875,1473851,295291.90625,18586246,2186318,19133004,4316130,0
7,0,2685288.5,593785,7451734.5,3461230.25,28221926,25255352,0
8,27921.7999267578,3311442.5625,626021.263671875,47017307.75,11159535.1875,96095008,24486519.25,0
9,56494.90234375,5679598.10058594,1865083.75,69995870.1875,17317767.21875,146984957.75,27789449.140625,0
10,62648.6953125,1367218,323041.5,17275928,4705905.5,41586740,8817611,0
11,239160,2618438,888732.5625,25045580,2548794.25,21828224,11199721,0
12,136216.046875,2209147,581968.375,3758761.5,2707031,24043392,6764724.5,0
13,90820.71875,3855754,3479939.5,27831654,3097300.75,27407064,45081744,62800
14,130981.3203125,3126921,386249.5,10451380,6356877.5,36547008,11649885,48216
15,37435.703125,11316875,6637330.5,41091092,5731141,48792772,58997876,210196
16,48159.8017578125,1435940.90625,161388.515625,7374776,6053865.5,52636826,9359369.25,0
17,51856.50390625,4541370.70019531,1600871.625,42010783.5,14755849.375,124391924.5,20667364.25,0
18,116425.194335938,3629413.625,2491142.9375,77056664,19021417.75,149052558,30967855.5,0
19,243298.078125,34523576,15833801,9006447,614360.1875,5484241,41342416,1872207
20,361230.75,8866091.75,3347847.75,117196432,23340570,193811240,38408692,0
21,120971.1328125,539032.935546875,156256.5,51601037,29980414,136257572,15340825,0
22,60605.60546875,4271474.5,3049674.25,7914598,4802281.5,42752684,17542910,897889
23,1602981.05078125,6891015.71875,6840451.6875,78421564.5,21087076.4375,156776476,45057042.59375,0
24,216910.296875,2047567.5,387594.90625,13331846,2665824.5,21153488,6255315,0
25,261272.203125,4113141.75,2956860.39990234,96193508.625,24640404.0625,203835892.5,36686829.09375,0
26,137427.125,3913199.75,2068341,27746880,3234546.75,28450076,11785159,0
27,424161.830078125,4252759.46484375,1151409.33740234,82965338.4921875,32623171.296875,221640903.625,39774478.9375,0
28,243424.9453125,958759.8125,170415.5,38032715.25,19160919.625,123701782,15790318.0625,0
29,452971.587524414,2395126.05456543,478071.993164062,59264802,14495217.5,112901936.5,23234965.3125,0
30,31250.19921875,2435209,1461225.75,25808646,4003422.75,35299120,35414124,719159
31,69393.20703125,1358912.25,310226.130859375,65597079,15421961.25,103780836,15175284.5,0
32,38230.7001953125,985166.03125,218796.0078125,26237840,14374545.5,92666472,10008692.75,0
33,135321.81640625,4498164.375,1322803.796875,33996339,10328187.75,91153332,57106977,2698664
34,291818.724609375,5289514.30078125,488727.6875,100020605.078125,38167127.203125,283771624.8125,22190180.25,0
35,83555.0234375,3613310.49975586,613644.9375,67687956.3499908,19280313,142034105.500122,36289706,0
36,43633.80078125,3079391.703125,1985653.65625,12624175.625,3275217.09375,29131314.8125,17086138.625,33432
37,100622.278076172,9033585.3125,1110897.84375,5265407.75,908789.328125,8016561.25,29590609.5,312563
38,201258.751953125,1970341.59375,627869.328125,31078909,6962553.5,59321464,12816987.5,0
39,292575.1875,7917085.5,7074915.5,10464321,772617.875,6864354,36172068,1890673
40,138436.303710938,2932634.40625,1307110.6015625,112700194,34360149,273538372,33968311.25,0
41,94191.796875,3182504.5,588179.40625,8339221.25,2628763.3125,23260313,25779860,102264
42,2729.30004882812,2557564.75,704798.375,5824803,4292035.5,38219568,24044846,0
43,77363.609375,1279507.25,628191.1875,17537960.0996094,2974782.5501709,22846605.1005859,3861086,0
44,78128.3046875,2497312.75,153432.1875,13304314,4579622.5,39570732,5097101,0
45,228025.921875,1553236.75,54110.796875,27019890,8672687,63843688,13524572,0
46,617941.828125,4819466.5,2060185.53125,88483416,24221371,208102160,52156826,102765
47,23421.80078125,3064351,2312451,38427368,5916470,51624020,18331186,0
48,13580.8984375,2032322,2690300,19999670,3807073.75,32897726,24951904,0
49,178925.640625,792914.25,8785,9341412.90234375,4586638.89941406,32282669.8828125,3388338.75,0
50,52774.7109375,15370468,13036742,4536052.5,477845.59375,4272163,29519286,3770158
51,59016.703125,14769610,3607958.5,3243315.25,153493.859375,1349050.375,28811198,198660
52,469174.504684448,8646022.625,2717397.03125,120496954.304688,36579116.640625,278476799.9375,46282285.9140625,0
53,139361.3125,6018468,1346421.25,34233900,3914915.5,34177176,9056477,0
54,0,182496.4375,133970.1875,5513226.5,2363636.75,20866360,11614638,94689
55,105669.5859375,6181260.5,2543727,5706328.5,2175978.5,19420196,35768384,111175
56,3334161.25,14968184.75,4257109.09375,169623437,37882543.25,306367808,66954509,0
57,339491.8125,3386701.75,1062412.45019531,94297598.671875,19958028.2578125,169135999.125,27899913.3789062,0
58,591757.8125,15090630,3768451.5,19416188,5162182,45939012,25945382,237838
59,36619.6038818359,3214314.40625,686392.75,5619910.9375,3177973.9375,28320976,16907399,79774
60,176561.1484375,5738428.75,2120758.375,106186520,27579253,199182472,34186515,110880
61,2398.10009765625,11412836,16728604,651023.25,2065.79956054688,18446.099609375,696502.0625,5224906
62,48601.8046875,4312465.5,1261935.875,13234797,2532809.5,22497764,15789384,0
63,2141428.75,30251501,28025983.125,286159480,55423324,485332256,102955628,2842996
64,164888.9375,1696764.125,451042.03125,19811483.4921875,4182523.125,34033594.25,9821641.1015625,0
65,1168325.38867188,21751994.2265625,15820864.9042969,126362256,21839697.875,189638900,51747422,567868
66,61971.80859375,1478151.75,724500.75,11761764,3179782.5,28264152,15090279,0
67,98727.421875,3037045,494917.21875,8469302,1924640.375,16538031,7345562,0
68,189008.5,2406139.609375,1898802.453125,48926976.5,5753214.5,49796151.5,12517152.75,0
69,128848.53125,5885466,4542152.5,18385124,3363958.75,29636514,18996778,1271435
70,361000.9375,5080046.75,1665068.25,93910631,32776129.75,219459763,23321137.5625,0
71,375564.90625,4269872,1104276.375,23600596,3765708,32420126,8854424,0
72,183856.203125,9640136,2546637.25,36144248,5678731.5,44020924,9216661,0
73,18096.0011672974,369625.125,429691.5625,16120148.5019531,6152208.78515625,48451824.0625,7039255,0
74,528157.1015625,8294066.375,2461519,91346269,29044967.875,187378160,38490036.25,0
75,245306.03125,6928183.6015625,1796972.02514648,119986899.5,19204251,159647095,36694898.125,0
76,355119.568649292,1136518.50195312,697372.765625,33703901.0625,11429851.25,93901683.5,17752608.875,0
77,216148.873535156,4148020.65625,3772617.265625,89878983,21515490.4624939,180733283.099854,30557863.0625,0
78,270620.40625,10583337,5361775.5,26362574,4841653,42535972,18623328,0
79,383256.078125,6447165.75,3464078.25,75589104.8125,20269933.0625,155690947.875,29000774.1875,0
80,5406.2998046875,2562570,1811493,29621140,4231397.5,37004224,13565526,0
81,163789.375,3353723.75,1717510.875,27134852,3810531.75,33382028,17885614,61074
82,78009.296875,1255124.75,479284.40625,13976276.1992188,2863816.28125,25214296.25,5253790.796875,0
83,255310.5,2262759.75,1395167.875,20570298,4159530.75,35337716,8019997,48640
84,24522.703125,2494047.25,412325.96875,6212387,4730758.5,41880260,13187107,80019
85,199926.71875,4172303.5,4454398,26210626,4594173,36864640,9789584,0
86,7780.2998046875,3501612.25,1069787.25,6906979.5,2541476,22508100,27305872,0
87,855.599975585938,5582.70007324219,27708.998046875,5290659.625,1870582.625,14524546.5,2473376.9375,0
88,207192.234375,1511570.75,979938.21875,35979531.515625,14846636.734375,107748377.625,15510844.046875,145626
89,54223.900390625,1197346.40625,837714.078125,58862168,21358844,151122248,26943247,0
90,0,422065.606445312,1533897.9375,39409796.75,8498782.125,68971240,29900722.25,0
91,384755.9140625,21179313.75,8666927.59375,166817560,30217477,257204308,55681527.5,1194153
92,119977.724609375,2719207.25,2104105.1875,18892970.5,3652918.75,32262970,10782286,38320
93,32154.5,1308694.5,433118.25,9021483,4060717.75,33720636,4558781,0
94,153120.859375,8921274,5644748.5,10800151,2078434.5,18545252,27175540,4291478
95,208396.3984375,7765907.64996338,2794221.32617188,116535227.046875,27017405.3984375,226740143.4375,45931076.640625,0
96,80584,1821792.25,1061556.875,24474768,3750082.5,31066258,6286278.5,0
97,219804.8125,3001106,223133.21875,35809364,5011628,43995744,15729216,0
98,326511.234375,2577196.79370117,1809104.88745117,78209959.875,24052489.9375,168475443,15471241.140625,0
99,110258.201660156,5757188.515625,1786104.4375,57501403.75,24690149.875,209229816,45933866.375,0
100,4916.30029296875,1019444.625,359050.65625,11379354,3132548.75,27505628,5789560,0
101,632750.125,3596306,625050.6875,26991180,4297512,35304352,5978674,0
102,12180,1437344.25,543805.0625,34536440,4124269,35137556,8408588,0
103,90126.328125,802369.125,648889.375,26922684,3057958.25,23792776,3104810.25,0
104,114119.1015625,394415.3125,171951.5,5348704.89990234,3408203.921875,29233394.9248047,7915443.40234375,0
105,150232.296875,11610398.5,14905618,15119482,539261.0625,4743016.25,27223020,8286417
106,3808088,23442884,8301987.5,119947960,21561796,189126608,56048576,29200
107,122888.9765625,1944778.375,60099.3046875,7597055.5,3496538.5,31088836,14928480,0
108,129610.5,4949180,2009373.875,7650105,2705669.75,24096954,37747488,0
109,41275.8984375,527655.6875,188925.09375,27468402,4464500,38406076,3621588.75,0
110,158810.0625,4846025.5,2714815.5,91293856,16651476,139547504,32273100,0
111,904706.587402344,54621866.75,33430588.1015625,315061881.84375,48053423.1640625,426627451.40625,213147545.648438,1208034
112,78441.484375,1456110.875,1245073.625,60345964.875,23542330.1953125,153016553.375,17752975.8007812,0
113,1517235.49707031,26613069.375,15789235.3515625,251455391,45814536.25,387960731,99643664.125,696005
114,331280.25,71781048,26453620,7162866.5,127888.84375,1036829.1875,24215666,4052760
115,91088.4921875,1351675,288393,47906360,17409488,127371560,27696986,523365
116,120021.3046875,4501961.375,725573.453125,61491052,17674409.5,145085880,29182244,0
117,14468.30078125,2277398.75,731044.1875,20378038,4571207,36249956,14308476,0
118,414050.12109375,1356354.5859375,542428.73828125,52356826.5,14918271.5249939,93425081,14941334.28125,0
119,46492.69921875,7094970,2900151.5,40107848,4283139.5,35274944,19291758,203600
120,70009.015625,659071.3125,219483.78125,16462262,4488323,35739496,9525796,0
121,120116.014465332,1652955.890625,271497.40625,8124680.4453125,3960439.4609375,23834981.4375,9046028.59686279,0
122,75322.1015625,759474.4375,178616.8125,8171292.5,1266398.25,11024556,2822377,0
123,108966.796173096,1608343.49902344,779808.287109375,30011251.5,8563158.0625,59584374.5,19172767.75,0
124,233367.09375,5402219.5,2082160.5,19139066,3009453.5,26205318,8097545.5,0
125,71840.390625,1629885,153535.59375,10448647.6875,3294519.84375,28137717.25,10689115.9375,0
126,3227.5,187033.306152344,209907.015625,10771456,3151559,27543242.25,4902600.0625,0
127,79962.490234375,914882.625,810394.421875,8969884,2778089.125,22472583,8807933.5,0
128,245.700012207031,74017.5,37494.6015625,2219588.40039062,1803132.74609375,15813908.46875,2777334.6953125,0
129,543951.625,28753630,11769812,43744276,6722394,59191124,57987312,0
130,48684.4952392578,169449.890625,222.699996948242,2967511.92871094,3471749.72460938,4002660.22558594,1200591.09259033,0
131,418916.90625,2737463,1155048.375,22016092.3000488,3525299.94726562,31000116.984375,9138097.89990234,0
132,186090.80859375,4587817.18725586,3261571.90625,41436636.375,10401512,87647635,24260504.5,0
133,256403.59375,26515562,22410804,65020416,6609810,58065944,62210056,146625
134,335924.27824688,3855843.46264648,1206581.953125,34285985.5458984,11865600.828125,64402049.671875,13642820.8662109,0
135,87986.421875,1956055.875,345885.0625,7698240.59960938,1413992.16015625,12348222.625,7089696.703125,0
136,12112.400390625,304172.34375,215992.125,8519169,2265398,19527860,5680322.5,0
137,846253.1875,2549975,266090.21875,20764498,4221614.5,28565116,11736436,0
138,207780.524414062,2056378.015625,1773566.625,16958495.5625,4494711.625,35297786,10541570.25,0
139,277721.875,3966424.5,1151193.75,40638388,6351830,55559336,17204558,0
140,129668.8984375,329172.1875,0,3339749.21240234,5564540.69921875,5783640.17480469,708983.0625,0
141,64599.8093566895,2431157.89990234,106447.5,18365351.3984375,6028548,48551869.3125,16202805.171875,0
142,117526.595703125,3667322.16210938,732631.4375,24173156.1992188,3733538.3046875,32513713.28125,11598207.28125,0
143,80912.79296875,2115289.53125,316557.1875,14663654.6070557,5271139.19140625,40458713.4375,16782162.0344238,0
144,34964.7984313965,66407.798828125,56228.6015625,2684954.1640625,3307800.40002441,3351854.4765625,45518.005859375,0
145,697503.0625,2697931.5,629072.0625,13890735,3678113.5,30372152,9917449,0
146,86641.484375,3972469.5,1028797.6875,33162584,7048400,59810184,17748196,0
147,58181.0953369141,1365626.22509766,116382.703125,13165612.1875,2980073.94140625,24980708.875,8050004.8984375,0
148,160430.30859375,2540733.1875,718496.90625,16194002.796875,2116180.16796875,18548234.375,9066053.7890625,0
149,79475.6953125,1658132.25,601585.1875,29402104,3942530.5,34375088,11538254,0
150,3777,116661.201171875,1080852.125,5406460.125,3609713,20864743,3372260.875,0
151,26144.6015625,98283.1875,3018.39990234375,6107493.5,1663511.3503418,14589316,2483184.20019531,0
152,295194.09375,866894.5625,4801.2998046875,14155131,3976643.25,32461564,3078374,0
153,33781.197265625,171257.375,154801.393737793,18674338.5,4576886.75,40246521,6613314,0
154,441097.53125,8419216.70019531,6574863,30730796,6356441.859375,56098198.5,18217285.71875,234030
155,50212.5,915253.6875,96032.296875,19553319.2000732,10341882.6000977,67574163.0976562,14439996.7001953,0
156,55340.6851501465,493728.443359375,17761.69921875,10255692.5,5510045.5625,30415015.5,8330833.75,0
157,68181.5030517578,1088245.54980469,24920.400390625,8659407.875,5024173.375,31517134.5,6406873.625,0
158,74689.796875,267581.82421875,54188,11098465,4500201,25394566,3465464.625,0
159,207494.903320312,1422418.04998779,1934548.5,39504853.875,4944012.03125,34856249.875,6206469.0078125,0
160,142745.12109375,1147422.1875,844680.25390625,12136257.75,7040640.9375,42517137.5,12263829.875,0
161,17283.701171875,270085.5,24666.298828125,6418594.5,1528962.625,13422732,2501627,0
162,28416.197265625,475734.65625,171600.015625,8580019,3589732.75,27386656,4526114.5,0
163,293375.875,4785090,1340366,12771839,4093571,35334888,6734625,0
164,347121.53125,3218950.25,898265.625,22716652,3501391.75,30031016,7316106.5,0
165,21316.1000976562,458053.264831543,230481.515625,13223723.3125,8764843.875,43099550.5,5706185.609375,0
166,134898.392578125,519260.68359375,6368.60009765625,15633166.296875,9714276.0703125,60398419.1875,9726078.953125,0
167,134693.015625,1225171.875,265755.125,21627342,6419931.5,56455888,11545738,0
168,39835.50390625,2007777.125,928009.1875,21082878,6470556,54188420,8120171,68159
169,15668,434572.21875,198771.40625,10569982,2385424.5,20569484,3783883.5,0
170,264795.381225586,1348297.3984375,820883.8046875,16726470,4017494.3125,31071995.75,4887561.1875,0
171,35089.8984375,1059078.875,97775.5,23628904,4607415,33125976,5380671,0
