"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";12183869624,3095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_dcmix_hr";73283417,417964;2229103,79769468;0;0;0;3489433,11913323;1016832,46719086;0;0;56184602,0116034;0;0;0;10290657,2358592;0;74994,1493255375
"building_dcmix_lr";21731114,968643;1093567,46217752;0;0;0;573627,342710145;0;0;4648370,19906479;14311091,7109694;0;0;0;1092340,68381226;0;12118,887635429
"building_dcmix_mr";322745252,556602;13171119,247581;0;0;0;11272947,4595938;3284973,86962783;0;0;259515125,374008;0;0;0;35258854,5452948;0;242275,7382975
"building_irh";832497238,609032;130893786,931416;0;0;0;30828303,0771668;0;0;96624390,80936;468790716,608936;0;0;0;96096358,8038945;0;0
"building_light";354970765,245251;87377415,3903549;0;0;78015,5327714873;23833750,0701806;0;0;0;191034062,677101;299059,55480147;0;0;2639526,01440815;0;49708900,8816045
"building_sdr_hr";8741121,34946251;195802,504024982;0;0;0;1363264,26323414;0;0;60077,6563022882;6687070,88110161;0;0;0;435144,200702548;0;0
"building_sdr_lr";3176029177,91247;298527347,440318;0;0;0;0;0;0;1516605260,49049;1224746663,70714;0;0;0;4477909,68043864;0;131671862,305466
"building_sdr_mr";1133122285,76297;81457641,4780045;0;0;0;152084602,744427;0;0;50522819,6273232;804258956,042633;0;0;0;43049170,2686558;0;1720413,83561146
"building_sky";14879544,9472656;0;0;9705,58590650558;0;408516,910293579;89114,9185829163;0;0;12973720,1352539;0;0;0;1398927,78833008;0;0
"building";5937999421,27916;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";71810852,0986099;70590451,0036659;0;0;0;0;0;1220420,69465357;0;0;0;0;NA;0;0;0
"other_parking";334146649,104919;327751596,693298;0;0;0;0;0;6395028,83447123;0;0;0;0;NA;0;0;0
"other_remaining_impervious";1890441656,92777;1854261660,93642;0;0;0;0;0;36180014,057311;0;0;0;0;NA;0;0;0
"other";2296399150,02769;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";30093067,6535492;5707224,54882431;0;0;0;0;0;0;0;20261577,0168915;0;0;NA;0;0;0
"rail_other";4981555,48511314;323853,076041937;0;0;0;0;0;0;0;4510814,79885578;8096,33214701153;0;NA;138794,265603095;0;0
