"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2126403752,18457;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_dcmix_hr";9708474,0797863;299914,989273787;0;0;0;459961,167441607;134034,217962176;0;0;7446845,66524696;0;0;0;1358125,87263107;0;9885,38742350973
"building_dcmix_lr";4291540,70412445;227836,798269272;0;0;0;109935,40181613;0;0;890857,882310867;2848158,93328857;0;0;0;212429,238381386;0;2322,57897637412
"building_dcmix_mr";54930102,0094147;2280638,68433523;0;0;0;1892645,85484457;551523,085675597;0;0;44224343,0792389;0;0;0;5940291,02661705;0;40676,3289488107
"building_irh";104570898,098005;16065878,2818937;0;0;0;3985191,44461781;0;0;12490687,3594857;58469810,7682514;0;0;0;12361846,6648699;0;0
"building_light";42733035,492363;10518898,9518471;0;0;9391,87337593827;2869217,98057127;0;0;0;22997576,6773949;36002,1890891604;0;0;317758,519278616;0;5984189,06264877
"building_sdr_hr";1013859,55298996;22919,102796793;0;0;0;157924,780219078;0;0;6959,58385932446;775557,013553619;0;0;0;50526,6006009579;0;0
"building_sdr_lr";349960218,326393;32438582,6314678;0;0;0;0;0;0;168578416,44334;133943752,370119;0;0;0;486578,685536548;0;14512962,5264273
"building_sdr_mr";170457043,901913;12179738,4138775;0;0;0;22935772,8558874;0;0;7619312,78632092;120986241,970406;0;0;0;6472204,26654935;0;259454,44215925
"building_sky";118123,88671875;0;0;77,0494995117188;0;3243,08349609375;707,454498291016;0;0;102994,1640625;0;0;0;11105,6333007812;0;0
"building";737783158,887444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";10513570,836792;10334892,9249268;0;0;0;0;0;178677,501379013;0;0;0;0;NA;0;0;0
"other_parking";39456692,8753662;38701553,0384521;0;0;0;0;0;755137,499582291;0;0;0;0;NA;0;0;0
"other_remaining_impervious";239996911,315987;235403772,694828;0;0;0;0;0;4593153,31116921;0;0;0;0;NA;0;0;0
"other";289967230,34626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";4358642,33241272;826627,226409912;0;0;0;0;0;0;0;2934661,06030273;0;0;NA;0;0;0
"rail_other";605850,892120361;39386,6400952339;0;0;0;0;0;0;0;548599,525878906;984,66608145088;0;NA;16879,9847056866;0;0
"rail_railway";15988247,7006609;14769806,649572;15018,4985947623;0;0;0;0;0;0;533639,702544436;0;0;NA;600580,832398698;0;69259,0609703185
"rail_subway";1172704;0;0;0;0;0;392,438842773438;0;0;1117241,75;638,422729492188;0;NA;54432,1484375;0;0
"rail_subway_elevated";1042,99035644531;82,6373443603516;0;0;0;0;1,92999994754791;0;0;890,577270507812;1,92999994754791;0;NA;67,1003494262695;0;0
"rail_subway_surface";74839,625;10608,8388671875;0;0;0;0;114,782493591309;0;0;57919,96484375;186,729080200195;0;NA;6009,45361328125;0;0
"rail_tram";111789,440246582;7267,48369216919;0;0;0;0;0;0;0;101225,581420898;181,686887979507;0;NA;3114,63492965698;0;0
"rail_tunnel";2543754,64498901;0;0;0;0;0;0;0;0;2451072,11523438;0;0;NA;92415,5119895935;0;0
"rail";24856866,2040863;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";5746233,07714844;687973,563842773;0;0;0;0;0;0;0;4795701,37792969;0;0;NA;262561,779602051;0;0
"street_bridge_other";18072640,3219261;3067214,23557043;0;0;0;0;0;0;0;13066734,8647804;0;0;NA;1938680,63892269;0;0
"street_cycleway";2906989,52061272;2849129,43857002;0;0;0;0;0;57862,1463251561;0;0;0;0;NA;0;0;0
"street_footway";7514077,08632112;7364502,47102356;0;0;0;0;0;149563,914692186;0;0;0;0;NA;0;0;0
"street_gravel";52770930,9515381;52421146,0136414;0;0;0;0;0;349761,140816927;0;0;0;0;NA;0;0;0
"street_living_street";473750,056732178;464885,443054199;0;0;0;0;0;8864,78585624695;0;0;0;0;NA;0;0;0
"street_motorway";29844511,1501465;29337299,6402588;0;0;0;0;0;507278,178561211;0;0;0;0;NA;0;0;0
"street_motorway_elevated";661204,315551758;630148,909301758;0;0;0;0;0;31046,8130187988;0;0;0;0;NA;0;0;0
"street_motorway_link";3974552,76940918;3906888,94482422;0;0;0;0;0;67657,3974533081;0;0;0;0;NA;0;0;0
"street_other";282581151,400146;277172180,489655;0;0;0;0;0;5408877,91027546;0;0;0;0;NA;0;0;0
"street_other_elevated";1396831,79405451;1326990,37571836;0;0;0;0;0;69841,5876645148;0;0;0;0;NA;0;0;0
"street_pedestrian";542907,097579956;532701,625823975;0;0;0;0;0;10114,8137812614;0;0;0;0;NA;0;0;0
"street_primary";231389416,575928;226468578,82666;0;0;0;0;0;4920982,65161514;0;0;0;0;NA;0;0;0
"street_primary_link";740316,208343506;724256,447753906;0;0;0;0;0;16061,8568677902;0;0;0;0;NA;0;0;0
"street_residential";139638726,157471;136965923,481625;0;0;0;0;0;2672822,16955531;0;0;0;0;NA;0;0;0
"street_secondary";82296232,9873962;80707117,5764008;0;0;0;0;0;1589169,86357117;0;0;0;0;NA;0;0;0
"street_secondary_link";116934,366790771;114676,421661377;0;0;0;0;0;2258,04783725739;0;0;0;0;NA;0;0;0
"street_tertiary";87832340,1767731;86151335,3778076;0;0;0;0;0;1681199,85260487;0;0;0;0;NA;0;0;0
"street_tertiary_link";62815,628692627;61613,3273620605;0;0;0;0;0;1202,35396528244;0;0;0;0;NA;0;0;0
"street_trunk";121485710,422607;119422077,336426;0;0;0;0;0;2063711,10004807;0;0;0;0;NA;0;0;0
"street_trunk_link";2784997,96984863;2737584,652771;0;0;0;0;0;47407,9956760406;0;0;0;0;NA;0;0;0
"street_tunnel";961452,400039673;0;0;0;0;0;0;0;0;926522,85080719;0;0;NA;34929,9163205624;0;0
"street";1073794787,85126;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
