"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"insulation";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";979300524,616974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_dcmix_hr";2608568,10119629;79946,0283660889;0;0;0;123907,324748993;36106,9946327209;0;0;2000393,67797852;0;0;0;365629,863327026;0;2662,98918962479
"building_dcmix_lr";1897566,48786926;94327,4994716644;0;0;0;50417,0623803139;0;0;408553,106781006;1247497,91368103;0;0;0;95705,724615097;0;1065,14934050292
"building_dcmix_mr";14586881,0882416;628433,257587433;0;0;0;487399,003780365;142029,643796325;0;0;11776568,4055023;0;0;0;1541973,43400764;0;10475,0737665296
"building_irh";57093488,5619278;9296407,60342407;0;0;0;2018307,21207595;0;0;6325932,33130646;32503445,3016663;0;0;0;6342873,25572872;0;0
"building_light";30750101,7236633;7569255,57083845;0;0;6758,2639070279;2064649,31969106;0;0;0;16548739,7620935;25906,6957093719;0;0;228654,657264814;0;4306141,12408257
"building_sdr_hr";224202,038173676;4881,00015205145;0;0;0;35099,666000843;0;0;1546,80630107224;171557,110853195;0;0;0;11123,5751925707;0;0
"building_sdr_lr";247471166,875504;22839387,3885098;0;0;0;0;0;0;119528238,470634;94497272,4689102;0;0;0;342590,862209737;0;10263644,1269398
"building_sdr_mr";62183302,0102234;4623765,27049255;0;0;0;8226855,64166641;0;0;2732978,85443497;44134891,3856201;0;0;0;2370204,24227905;0;93063,9868049026
"building_sky";101922,30859375;0;0;66,4815788269043;0;2798,27026367188;610,421813964844;0;0;88867,744140625;0;0;0;9582,41357421875;0;0
"building";416917140,946259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";3672930,46673584;3610508,67559814;0;0;0;0;0;62421,2162084579;0;0;0;0;NA;0;0;0
"other_parking";22149264,8604126;21725358,5738525;0;0;0;0;0;423901,337527275;0;0;0;0;NA;0;0;0
"other_remaining_impervious";174646427,500488;171303977,744385;0;0;0;0;0;3342451,16395569;0;0;0;0;NA;0;0;0
"other";200468627,819092;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1855512,10978699;351902,511512756;0;0;0;0;0;0;0;1249311,00309753;0;0;NA;0;0;0
