"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",1146915025.11961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_dcmix_hr",2608568.10119629,79946.0283660889,0,0,0,123907.324748993,36106.9946327209,0,0,2000393.67797852,0,0,0,365629.863327026,0,2662.98918962479
"building_dcmix_lr",1897566.48786926,94327.4994716644,0,0,0,50417.0623803139,0,0,408553.106781006,1247497.91368103,0,0,0,95705.724615097,0,1065.14934050292
"building_dcmix_mr",14586881.0882416,628433.257587433,0,0,0,487399.003780365,142029.643796325,0,0,11776568.4055023,0,0,0,1541973.43400764,0,10475.0737665296
"building_irh",57093488.5619278,9296407.60342407,0,0,0,2018307.21207595,0,0,6325932.33130646,32503445.3016663,0,0,0,6342873.25572872,0,0
"building_light",30750101.7236633,7569255.57083845,0,0,6758.2639070279,2064649.31969106,0,0,0,16548739.7620935,25906.6957093719,0,0,228654.657264814,0,4306141.12408257
"building_sdr_hr",224202.038173676,4881.00015205145,0,0,0,35099.666000843,0,0,1546.80630107224,171557.110853195,0,0,0,11123.5751925707,0,0
"building_sdr_lr",247471166.875504,22839387.3885098,0,0,0,0,0,0,119528238.470634,94497272.4689102,0,0,0,342590.862209737,0,10263644.1269398
"building_sdr_mr",62183302.0102234,4623765.27049255,0,0,0,8226855.64166641,0,0,2732978.85443497,44134891.3856201,0,0,0,2370204.24227905,0,93063.9868049026
"building_sky",101922.30859375,0,0,66.4815788269043,0,2798.27026367188,610.421813964844,0,0,88867.744140625,0,0,0,9582.41357421875,0,0
"building",416917140.946259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",3672930.46673584,3610508.67559814,0,0,0,0,0,62421.2162084579,0,0,0,0,NA,0,0,0
"other_parking",22149264.8604126,21725358.5738525,0,0,0,0,0,423901.337527275,0,0,0,0,NA,0,0,0
"other_remaining_impervious",147953621.963379,145122055.838135,0,0,0,0,0,2831594.31829071,0,0,0,0,NA,0,0,0
"other",173775802.313477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1855512.10978699,351902.511512756,0,0,0,0,0,0,0,1249311.00309753,0,0,NA,0,0,0
"rail_other",1211458.65237236,78757.3196285963,0,0,0,0,0,0,0,1096980.33745766,1968.93654993922,0,NA,33753.1643922925,0,0
"rail_railway",7870383.96643066,7270598.16915894,7393.01813912392,0,0,0,0,0,0,262689.845283508,0,0,NA,295642.511449814,0,34093.3787298203
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"rail_tram",10206.3598632812,663.519927978516,0,0,0,0,0,0,0,9241.88208007812,16.5880041122437,0,NA,284.365631103516,0,0
"rail_tunnel",2126497.69897461,0,0,0,0,0,0,0,0,2049015.9432373,0,0,NA,77256.3855171204,0,0
"rail",13074068.2593994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",3228797.9140625,386571.333618164,0,0,0,0,0,0,0,2694696.23828125,0,0,NA,147533.120697021,0,0
"street_bridge_other",10831449.836853,1838268.75971985,0,0,0,0,0,0,0,7831267.67996216,0,0,NA,1161906.68705177,0,0
"street_cycleway",2050677.54784966,2009858.51054192,0,0,0,0,0,40817.663811326,0,0,0,0,NA,0,0,0
"street_footway",5551175.3621645,5440676.58756828,0,0,0,0,0,110493.39639625,0,0,0,0,NA,0,0,0
"street_gravel",15150567.8290272,15050133.8150196,0,0,0,0,0,100416.482515633,0,0,0,0,NA,0,0,0
"street_living_street",42397.0902252197,41603.7584228516,0,0,0,0,0,793.332015275955,0,0,0,0,NA,0,0,0
"street_motorway",8734239.23822021,8585794.30081177,0,0,0,0,0,148459.164761543,0,0,0,0,NA,0,0,0
"street_motorway_elevated",371495.169921875,354046.734863281,0,0,0,0,0,17443.5293960571,0,0,0,0,NA,0,0,0
"street_motorway_link",832057.005859375,817891.845703125,0,0,0,0,0,14163.806427002,0,0,0,0,NA,0,0,0
"street_other",204952633.966343,201029697.515865,0,0,0,0,0,3922996.52598149,0,0,0,0,NA,0,0,0
"street_other_elevated",837161.245206833,795303.13186264,0,0,0,0,0,41858.0558230877,0,0,0,0,NA,0,0,0
"street_pedestrian",289669.055740356,284223.925369263,0,0,0,0,0,5396.77636051178,0,0,0,0,NA,0,0,0
"street_primary",82456597.3798828,80703019.4731445,0,0,0,0,0,1753611.9072876,0,0,0,0,NA,0,0,0
"street_primary_link",440584.371337891,431026.662841797,0,0,0,0,0,9558.89027690887,0,0,0,0,NA,0,0,0
"street_residential",71550972.2214355,70181420.3665771,0,0,0,0,0,1369555.7800312,0,0,0,0,NA,0,0,0
"street_secondary",33873119.7843018,33219046.6409912,0,0,0,0,0,654102.624832153,0,0,0,0,NA,0,0,0
"street_secondary_link",26717.2471618652,26201.3493041992,0,0,0,0,0,515.920378684998,0,0,0,0,NA,0,0,0
"street_tertiary",29905750.6511841,29333346.6837158,0,0,0,0,0,572425.66317749,0,0,0,0,NA,0,0,0
"street_tertiary_link",44230.9941101074,43384.4071044922,0,0,0,0,0,846.625442504883,0,0,0,0,NA,0,0,0
"street_trunk",68970820.4152832,67799229.0623779,0,0,0,0,0,1171624.89619827,0,0,0,0,NA,0,0,0
"street_trunk_link",1887968.2779541,1855826.53741455,0,0,0,0,0,32138.1950836182,0,0,0,0,NA,0,0,0
"street_tunnel",1118547.66247559,0,0,0,0,0,0,0,0,1077910.97129822,0,0,NA,40637.238524437,0,0
"street",543147554.976257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
