zone;country;name;area;population
1;UK;Caerphilly;277.5678914;182301
2;UK;Blaenau Gwent;109.2930716;69546
3;UK;Torfaen;126.8992702;93071
4;UK;Monmouthshire;851.0731265;93774
5;UK;Newport;191.3653927;151285
6;UK;Powys;5198.700146;133374
7;UK;Merthyr Tydfil;111.6386477;59645
8;UK;Weymouth and Portland;42.7655256;57446
9;UK;Eastbourne;44.18093322;94408
10;UK;Hastings;29.74695064;91919
11;UK;Lewes;293.0286689;102065
12;UK;Rother;512.2072338;96017
13;UK;Wealden;835.2681721;163687
14;UK;Basildon;110.4439994;184657
15;UK;Braintree;611.7002843;153054
16;UK;Brentwood;153.0410164;76568
17;UK;Castle Point;45.59743019;89900
18;UK;Chelmsford;342.5878465;176216
19;UK;Colchester;334.0229974;191019
20;UK;Epping Forest;339.0760996;131805
21;UK;Harlow;30.52524025;80576
22;UK;Maldon;361.1689338;62961
23;UK;Rochford;171.2524655;90840
24;UK;Tendring;341.0074045;139275
25;UK;Uttlesford;641.262836;89122
26;UK;Cheltenham;46.63880053;114051
27;UK;Cotswold;1165.679271;88436
28;UK;Forest of Dean;527.9015549;85902
29;UK;Gloucester;40.85383446;124894
30;UK;Stroud;460.9073132;122668
31;UK;Tewkesbury;415.0976073;97286
32;UK;Basingstoke and Deane;634.184134;173054
33;UK;East Hampshire;514.8260227;122311
34;UK;Eastleigh;80.17859806;124479
35;UK;Fareham;74.6219424;116740
36;UK;Gosport;25.47701739;82470
37;UK;Hart;215.4061986;98881
38;UK;Havant;55.63545677;119538
39;UK;New Forest;755.4327226;180089
40;UK;Rushmoor;39.05926313;89342
41;UK;Test Valley;628.1130327;125606
42;UK;Winchester;661.5097363;125698
43;UK;Broxbourne;51.43314719;96937
44;UK;Dacorum;212.5932455;154736
45;UK;Hertsmere;101.1361664;103348
46;UK;North Hertfordshire;375.5255838;136928
47;UK;Three Rivers;88.72498694;92152
48;UK;Watford;21.43651966;94015
49;UK;Ashford;580.5544473;129048
50;UK;Canterbury;309.0877088;163442
51;UK;Dartford;72.91864819;106679
52;UK;Dover;315.5737074;112759
53;UK;Gravesham;99.08025272;100017
54;UK;Maidstone;393.2924809;169895
55;UK;Sevenoaks;370.4475772;118260
56;UK;Shepway;356.7471982;111108
57;UK;Swale;374.7049715;144084
58;UK;Thanet;103.524464;133512
59;UK;Tonbridge and Malling;240.9043644;129955
60;UK;Tunbridge Wells;331.2766934;118543
61;UK;Burnley;110.7833267;88917
62;UK;Chorley;202.9851284;115699
63;UK;Fylde;166.2056144;75533
64;UK;Hyndburn;73.07551797;79786
65;UK;Lancaster;577.5413287;141741
66;UK;Pendle;169.4597079;90909
67;UK;Preston;142.7419269;141058
68;UK;Ribble Valley;584.8506463;60713
69;UK;Rossendale;138.1193151;69662
70;UK;South Ribble;113.596538;112500
71;UK;West Lancashire;347.7972353;119654
72;UK;Wyre;283.2937661;103855
73;UK;Blaby;130.5077567;104143
74;UK;Charnwood;279.2132915;181308
75;UK;Harborough;593.1586332;98648
76;UK;Hinckley and Bosworth;297.5969061;108789
77;UK;Melton;481.6142187;51222
78;UK;North West Leicestershire;279.4902924;105012
79;UK;Oadby and Wigston;23.51544143;56890
80;UK;Boston;362.9571059;69589
81;UK;East Lindsey;1762.003868;139256
82;UK;Lincoln;35.69659609;89032
83;UK;North Kesteven;922.9255794;119515
84;UK;South Holland;743.7866174;94093
85;UK;South Kesteven;943.1812714;136403
86;UK;West Lindsey;1157.914143;94935
87;UK;Breckland;1305.027756;140224
88;UK;Broadland;553.0263173;132893
89;UK;Great Yarmouth;179.4932842;98260
90;UK;King's Lynn and West Norfolk;1432.441958;153243
91;UK;North Norfolk;967.3979097;103111
92;UK;Norwich;40.54138999;135677
93;UK;South Norfolk;908.4821471;140331
94;UK;Corby;80.31466617;69022
95;UK;Daventry;666.0289058;87612
96;UK;East Northamptonshire;510.1149101;94480
97;UK;Kettering;233.6498974;103283
98;UK;Northampton;80.79863736;218659
99;UK;South Northamptonshire;634.4991728;91545
100;UK;Wellingborough;163.1635483;79890
101;UK;Craven;1179.766849;57216
102;UK;Hambleton;1312.262406;91298
103;UK;Harrogate;1310.097073;166651
104;UK;Richmondshire;1319.678823;53569
105;UK;Ryedale;1507.617292;55153
106;UK;Scarborough;817.4332979;105153
107;UK;Selby;602.5287489;88511
108;UK;Ashfield;109.6297614;124316
109;UK;Bassetlaw;640.1140189;120821
110;UK;Broxtowe;80.13758403;111152
111;UK;Gedling;120.0260242;117267
112;UK;Mansfield;76.77272345;107962
113;UK;Newark and Sherwood;652.2169386;122169
114;UK;Rushcliffe;409.5487359;122917
115;UK;Cherwell;589.1526295;148525
116;UK;Oxford;45.67579979;132305
117;UK;South Oxfordshire;678.8928988;154252
118;UK;Vale of White Horse;579.1322471;135622
119;UK;West Oxfordshire;714.90716;109489
120;UK;Mendip;739.9569704;117946
121;UK;Sedgemoor;565.797399;121610
122;UK;South Somerset;959.6793909;168016
123;UK;Taunton Deane;462.7092814;119099
124;UK;West Somerset;727.3615354;34092
125;UK;Cannock Chase;78.97073606;94634
126;UK;East Staffordshire;390.3375288;114919
127;UK;Lichfield;331.4812129;106604
128;UK;Newcastle-under-Lyme;211.0746686;128467
129;UK;South Staffordshire;407.5432044;126400
130;UK;Stafford;598.8122471;138609
131;UK;Staffordshire Moorlands;576.2687546;104077
132;UK;Tamworth;30.85949866;76842
