"zone";"area_building_dcmix_hr";"area_building_dcmix_lr";"area_building_dcmix_mr";"area_building_irh";"area_building_light";"area_building_sdr_hr";"area_building_sdr_lr";"area_building_sdr_mr";"area_building_sky";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_cycleway";"area_street_exclude";"area_street_footway";"area_street_gravel";"area_street_living_street";"area_street_motorway_elevated";"area_street_motorway_link";"area_street_motorway";"area_street_other_elevated";"area_street_other";"area_street_pedestrian";"area_street_primary_link";"area_street_primary";"area_street_residential";"area_street_secondary_link";"area_street_secondary";"area_street_tertiary_link";"area_street_tertiary";"area_street_trunk_link";"area_street_trunk";"area_street_tunnel"
-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;2188;269461;63597;1057892;714058;537;3825533;102988;0;7037;250041;9858799;6789;54457;7919;140338;0;0;0;0;4268;13498;41262;14499;221853;138650;336292;820;13498;0;14036;41262;1089767;8325;0;559998;193461;0;321627;635;114544;0;20336;8926
1;1998;29624;65193;1208243;476825;811;3846634;922511;0;712557;1162917;8888119;12039;145544;58080;514123;0;0;0;0;3013;31516;62785;55966;77179;206638;671131;0;31516;197764;1612416;62785;6048314;6343;1600;1018881;2359974;8155;1117705;532;1413129;56328;2165826;7257
2;2444;74786;195584;1758838;875713;531;6397161;1884475;0;32187;844242;14932225;7467;439495;32507;569112;0;0;0;0;4209;12479;102471;120432;139596;173678;846690;23060;12479;104485;1511220;102471;13062197;6577;8281;2790226;2904008;819;2858881;1630;1708566;109725;3270648;4176
3;97272;217440;780595;1326530;514123;3790;4440213;2312051;984;126830;1614284;12875107;29197;34090;587;409472;0;0;0;0;13275;91502;58192;249837;224587;335497;229092;95498;92091;111212;747308;58192;2771379;37570;22011;1533362;4812393;12267;377560;7840;396464;130935;819564;17055
4;576;68822;136617;883638;791906;422;5477174;1564459;0;63712;720980;12312247;11498;307983;26258;938470;0;0;0;0;12090;0;129840;14594;424482;218648;3086389;3691;0;0;25790;129840;10985836;6776;2964;3038211;2152502;7361;3254326;2822;1784175;722;3477496;1457
5;5283;25509;141791;917091;462271;3283;3306472;1290382;0;202412;579440;8264611;1107;224455;17095;168853;0;0;0;0;597;0;121637;72730;272728;117994;2314332;0;0;0;0;121637;8791197;13092;3756;475327;2310226;2164;1770599;13792;490887;21706;2259456;4002
6;2167;49384;75646;1044005;703991;727;4606829;1594445;0;137044;743378;11023752;1101;696580;197;0;0;0;0;0;0;0;157739;43307;120984;195180;4898937;1348;0;0;6622;157739;15229307;1972;3865;2051110;1207217;765;3269543;0;2559553;13507;5343190;1948
7;5397;38224;58798;994921;478977;1120;3757768;862668;0;0;815492;8514534;6029;56816;70767;280126;0;0;0;0;0;26189;45128;84444;76612;148853;853435;670;26427;109392;977309;45128;5971696;5013;2933;1479449;2284841;3748;1025068;6122;1403030;31803;1445822;3999
8;1771;46405;118047;949495;549491;958;4364060;1067463;0;10267;783842;9597826;9248;172484;1875;634587;0;0;0;0;1332;10061;91942;0;104780;179986;2182754;0;10061;53305;420707;91942;6948715;1038;7562;2232682;2162758;4315;1704800;4577;2542799;50994;2109694;1472
9;4178;76263;189895;1838015;813772;1662;5925513;2127651;0;83972;477121;14630700;183;423856;0;0;0;0;0;0;0;2116;128375;84890;198078;93689;1419191;281;2116;40912;369138;128375;11650501;227;0;1303874;1466277;1366;3012931;4560;1586523;95097;4847650;5424
10;984;99811;162934;1471866;995077;42;5616245;1362648;0;162203;612910;13022788;15119;330819;3581;452009;0;0;0;0;11023;0;121465;98588;651821;164022;2367514;0;0;0;45470;121465;12856391;1013;494;4558375;2134395;1223;2062746;1141;2435869;118282;3046944;5527
11;462;62172;92749;749441;570393;0;4088843;669247;0;107642;512624;8403100;7026;112026;10202;223034;0;0;0;0;656;0;22588;17415;107486;241144;599845;333;0;0;18715;22588;4756354;3073;2971;2174964;2783820;1583;420150;0;1338205;58677;1416916;617
12;0;0;0;3072;2304;0;13297;2615;0;0;4396;29362;0;0;0;0;0;0;0;0;0;3589;232;0;434;0;59380;0;3589;6494;46012;232;87799;0;0;0;0;0;6803;0;2342;0;0;0
13;0;0;0;1123;3832;0;28833;7752;0;0;0;54822;0;0;0;0;0;0;0;0;0;0;1180;0;0;0;0;0;0;0;0;1180;101251;0;0;51785;0;0;0;0;23999;0;0;0
14;0;0;0;7628;4962;0;33087;10103;0;0;0;73820;0;0;0;0;0;0;0;0;0;0;700;0;90;0;8349;0;0;0;36137;700;129819;0;0;0;1389;0;0;0;55810;0;0;340
15;0;0;0;4108;4053;0;31072;12212;0;0;0;67941;0;0;0;0;0;0;0;0;0;0;1168;0;123;0;5947;0;0;0;0;1168;70402;0;0;30195;0;0;0;0;72954;0;0;0
16;0;0;0;1021;2543;0;18156;4566;0;0;0;34851;0;0;0;0;0;0;0;0;0;0;1244;0;0;0;7781;0;0;0;266043;1244;74768;0;0;59364;0;0;12295;0;6392;0;0;247
17;35;211;3298;62658;27984;0;216789;77510;0;0;40268;519512;635;8968;0;111608;0;0;0;0;0;0;5585;0;499;8859;34335;0;0;5965;238811;5585;279950;0;0;198658;95337;0;99354;0;112683;0;0;0
18;0;0;0;2909;3593;0;23815;4337;0;0;0;45782;0;0;0;0;0;0;0;0;0;0;216;0;0;0;3204;0;0;0;0;216;43731;0;0;0;0;0;62958;0;42353;0;0;0
19;0;173;32;4726;3328;0;24341;3998;0;0;4180;49348;0;9630;2901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3946;32773;0;53170;0;0;0;0;0;16975;0;19597;0;0;0
20;0;0;0;20667;7471;0;55038;8989;0;0;2822;122048;0;0;0;0;0;0;0;0;0;0;182;0;0;3062;4084;0;0;0;0;182;102793;0;0;0;13999;0;50648;0;23433;0;0;0
21;0;0;0;12064;11595;0;74798;14397;0;0;0;150550;386;0;0;33472;0;0;0;0;0;0;790;0;2157;1929;17477;0;0;0;0;790;155601;0;0;111009;4268;0;78874;0;53503;0;0;0
22;0;0;0;1160;3360;0;21475;3353;0;0;0;43898;0;0;0;0;0;0;0;0;0;0;133;0;269;886;19831;0;0;0;0;133;124638;0;0;0;2255;0;61780;0;0;0;0;0
23;0;2086;32;34093;5579;0;36068;8205;0;0;0;122858;0;0;0;0;0;0;0;0;0;0;160;0;0;201;9648;0;0;0;0;160;174643;0;0;0;2604;0;44540;0;0;0;0;0
24;0;0;0;3133;4993;0;33788;4700;0;0;0;61679;0;0;0;0;0;0;0;0;0;0;143;0;113;0;1708;0;0;0;0;143;170286;0;0;0;0;0;37027;0;20712;0;0;0
25;0;0;0;13422;10779;0;63548;13126;0;0;1035;134419;0;5968;0;75370;0;0;0;0;0;0;2070;0;0;1214;4781;0;0;0;0;2070;115984;0;0;0;5331;0;66893;0;45944;0;0;0
26;0;0;0;1762;2959;0;21953;3692;0;0;7287;40169;0;0;0;0;0;0;0;0;0;0;360;0;0;193;17495;0;0;0;0;360;65518;0;0;0;12089;0;25928;0;7790;0;0;0
27;0;0;0;3038;4889;0;32656;9953;0;0;0;66934;0;0;0;44884;0;0;0;0;0;0;1323;0;0;0;8006;0;0;0;0;1323;106739;0;0;73310;3120;0;5017;0;13027;0;0;0
28;0;0;0;12391;9594;0;61463;8460;0;0;1891;129664;0;5350;70535;0;0;0;0;0;0;0;2030;0;0;589;57491;0;0;0;242596;2030;99097;0;0;0;7714;0;29746;0;51495;0;0;72
29;0;8783;29;13007;4822;0;30066;5812;0;2388;2678;89519;0;0;50581;0;0;0;0;0;225;0;789;0;0;0;73916;0;0;6330;92211;789;89475;0;0;0;0;0;21666;0;37210;0;0;349
30;0;0;0;5462;5665;0;40511;10974;0;0;263;82984;310;0;0;73311;0;0;0;0;0;0;943;0;0;231;29281;0;0;0;0;943;100885;0;0;69440;729;0;0;0;31441;0;0;0
31;0;0;0;3022;3889;0;24523;5414;0;0;0;48716;0;0;0;0;0;0;0;0;0;0;620;0;0;0;0;0;0;0;0;620;97068;0;0;0;0;0;0;0;42062;0;0;0
32;0;0;0;4703;3962;0;28620;3247;0;0;0;54241;0;7868;0;0;0;0;0;0;0;0;2331;0;0;371;6143;0;0;15858;146337;2331;48305;0;0;58003;7178;0;16637;0;23402;0;0;165
33;0;0;0;17138;8839;0;58252;12130;0;0;5841;134950;0;0;39645;0;0;0;0;0;0;0;329;0;862;0;52908;0;0;0;0;329;237014;0;0;0;709;0;16583;0;60013;0;0;0
