"zone";"mass_grand_t_10m2";"mass_building_dcmix_hr";"mass_building_dcmix_lr";"mass_building_dcmix_mr";"mass_building_irh";"mass_building_light";"mass_building_sdr_hr";"mass_building_sdr_lr";"mass_building_sdr_mr";"mass_building_sky";"mass_building";"mass_other_airport";"mass_other_parking";"mass_other_remaining_impervious";"mass_other";"mass_rail_bridge";"mass_rail_other";"mass_rail_railway";"mass_rail_subway_elevated";"mass_rail_subway_surface";"mass_rail_subway";"mass_rail";"mass_rail_tram";"mass_rail_tunnel";"mass_street_bridge_motorway";"mass_street_bridge_other";"mass_street_cycleway";"mass_street_footway";"mass_street_gravel";"mass_street_living_street";"mass_street_motorway_elevated";"mass_street_motorway_link";"mass_street_motorway";"mass_street_other_elevated";"mass_street_other";"mass_street_pedestrian";"mass_street_primary_link";"mass_street_primary";"mass_street_residential";"mass_street_secondary_link";"mass_street_secondary";"mass_street_tertiary_link";"mass_street_tertiary";"mass_street";"mass_street_trunk_link";"mass_street_trunk";"mass_street_tunnel"
-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;30605904,3652344;25379,6029052734;1306023,69848633;454234,94670105;1621956,36032104;901965,043609619;6577,20547485352;5727195,0949707;508254,789592743;0;10551595,4658203;10525,5228271484;391946,731689453;15453922,5820312;15856393,5625;24511,3568725586;4872,44774627686;55398,3641357422;0;0;0;102809,812919617;0;18027,6099853516;63965,13671875;154819,555114746;5648,58806610107;54015,9222106934;102990,55960083;1086,18786621094;7307,41162109375;0;20994,2197265625;11965,980919838;1708244,20935059;11027,4556427002;0;897191,919799805;303256,182983398;0;499737,708618164;995,381591796875;179551,186340332;4095038,79919434;0;30036,0699462891;42206,6823730469
1;59456468;23213,537109375;156465,6875;471169,625;2324598;933822,6875;11523,5244140625;8593289;4267587;0;16781698;1065800,125;1822905,625;13932415;16821114;43466,2265625;35735,60546875;202950,0625;0;0;0;294878,71875;0;12726,61328125;149349,875;235576,171875;21803,52734375;80502,9609375;205536;0;17061,81640625;308682;2411748,75;18207,65625;9480932;8402,0615234375;2776,40625;1632383,5;3699331;12671,076171875;1736673,25;833,925964355469;2215123;25558734;87920,2734375;3198906,5;34314,8125
2;99899657,8681641;28619,263671875;356587,633789062;1383214,69726562;3244226,74511719;1699838,47103882;10662,5263671875;14440813,9260254;8693361,18380737;0;29857344,4560547;48143,3564453125;1323374,45214844;23406703,605957;24778245,7387695;26959,2432861328;20001,1015625;224656,546875;0;0;0;289395,212036133;0;17778,3974609375;59136,23046875;384482,319824219;46918,486328125;67662,2778663635;259301,274902344;30545,7138671875;6755,75634765625;163086,796875;2260395,5;29716,5825195312;20475417,3895416;8712,02191162109;14369,6359863281;4470305,140625;4552119,62597656;1272,5458984375;4442067,93847656;2555,07397460938;2678228,01879883;44974785,2502441;171265,701171875;4830712,15234375;19746,2585449219
3;76856121;1216849,625;1193731,18945312;5971969,31640625;2669966,90625;1100398,546875;47979,24609375;10777041,5;11024262;25999,90234375;34028211,75;189704,703125;2530439,25;20182116,25;22902268,75;105414,3671875;361,172668457031;161638,770263672;0;0;0;323486,879638672;0;56072,28515625;433615,274414062;218342,783203125;97332,6640625;130704,541015625;70160,1884765625;126498,49609375;49855,3082885742;173586,671875;1117780,09375;16875,6833496094;4344222,875;49765,953125;38194,673828125;2456650,40625;7543573;19060,2214355469;586645,3125;12289,4356689453;621469,015625;19602126,25;204371,6484375;1210488,09375;80644,6953125
4;84755208;6601,8388671875;323895,1875;948060,0625;1593587,875;1503720,125;5123,89306640625;12071268;7204153;0;23656338;95296,5546875;1130158,25;19299878;20525308;41512,9765625;16156,185546875;370463,6875;0;0;0;479201,53125;0;51066,9609375;0;487173,4375;5685,6005859375;85181,4140625;945223,8125;4889,16943359375;0;0;38575,171875;37653,58984375;17220644;8975,6201171875;5143,29296875;4867603;3374109;11437,3720703125;5056464;4423,56982421875;2796746,75;40094100;1126,94323730469;5136198,5;6889,4384765625
5;58212216,3789062;65412,619140625;143543,557617188;1073679,609375;1791836,72814941;900894,144897461;40120,0888671875;7414251,41723633;6135111,99237061;0;17564823,5024414;302755,7890625;908289,46875;12955056,0124512;14166093,5124512;3996,77008056641;10518,30859375;66654,642578125;0;0;0;83691,408203125;0;2521,66870117188;0;456395,353149414;28334,4879608154;45968,65234375;708770,340820312;0;0;0;0;35274,7258071899;13780489,4069824;17341,9140625;6517,61285400391;761536,609375;3621350,37207031;3362,38012695312;2751120,07714844;21619,3737182617;769481,841308594;26397561,9199219;33880,0966796875;3337191,07470703;18923,4985351562
6;88598606,140625;26755,958984375;215251,15625;575399,3125;1908122,43212891;1345003,45996094;9096,6337890625;10175095,0976562;7371272,43505859;0;21625980,8046875;204982,1875;1165266,44726562;17280064,3007812;18650322,1015625;3975,10754394531;121,211288452148;0;0;0;0;4096,31872558594;0;0;0;591853,558959961;16871,7421875;76038,9427965879;1500323,40600586;1785,58679199219;0;0;9904,7978515625;45744,3737945557;23872450,984375;2612,1494140625;6706,755859375;3286141,12109375;1892350,76367188;1188,64172363281;5080156,37890625;0;4012170,09326172;48318418,15625;21082,580078125;7891663,87722015;9211,138671875
7;54177575;68486,7890625;161470,47265625;442375,533203125;1882591,875;916199,90625;15005,1850585938;8223116,75;4024993,375;0;15734234,25;0;1278308,12109375;13346770,25;14625078;21767,4128417969;43541,7216796875;110579,640380859;0;0;0;175888,71484375;0;0;124106,0078125;169325,2109375;32898,0913085938;57990,7136230469;261367,1328125;887,494934082031;14306,7841796875;170745,875;1461800,98046875;13087,1232910156;9360819,5;6640,31591796875;5089,49951171875;2370279,0625;3581565,125;5823,56750488281;1592728,375;9596,41943359375;2199290,625;23642347,5;49640,125;2135463,3125;18909,31640625
8;64629568;20416,677734375;203571,734375;862625,3125;1770012,375;1060970,375;12478,9189453125;9637675;4881015,5;0;18448742;15356,7587890625;1228696,75;15044884;16288937;33389,4609375;1153,66076660156;250501,765625;0;0;0;290671,03125;0;5626,2353515625;47677,671875;344976,375;0;70119,8515625;668478,25;0;5446,72314453125;83201,84375;629267,9375;26663,189453125;10892314;1374,95483398438;13121,98828125;3577046,75;3390187,75;6704,56005859375;2648889;7174,583984375;3985904,75;29601094;79594,65625;3115997,5;6960,3671875
