"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";2436504985,73328;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_dcmix_lr";8116581,31356812;493871,652721405;0;0;0;171189,073716164;0;0;1387602,2413044;5651406,21650696;0;0;408865,393121719;0;3646,55961780623
"building_dcmix_mr";32107225,638588;1403301,32223225;0;0;0;1153398,61933613;136869,298815966;0;0;25965068,9645844;0;0;3424001,28651524;0;24568,9431831725
"building_high";10188362,948452;324150,265922546;0;0;0;1743775,24080086;0;0;577139,996760845;7168626,1255455;0;0;355179,378084898;0;19489,2685774043
"building_irh";71143337,4964828;11730830,2685294;0;0;0;2470000,04041612;742892,069063108;0;7742680,10619038;40665179,8456974;0;0;7791794,62868071;0;0
"building_light";40892073,6994896;10065000,9435863;736,950661014416;0;9632,78115457669;2745957,62912297;0;0;0;22007190,4751701;33938,6831363738;0;303891,677430511;0;5725739,06323385
"building_sdr_lr";295027045,510254;27126097,2841339;0;0;0;0;0;0;142827169,036575;112430197,900574;0;0;406891,761236429;0;12236954,8501854
"building_sdr_mr";140437679,824448;11117481,3479834;0;0;0;19686278,747067;0;0;6515601,81149948;97769779,732605;0;0;5128469,39421862;0;220023,337762363
"building_sky";1291,1240234375;0;0;0,857318878173828;0;35,4355659484863;7,7158317565918;0;0;1125,74645996094;0;0;121,369003295898;0;0
"building";597914095,907776;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";5921496,09912109;5820861,74902344;0;0;0;0;0;100635,490455627;0;0;0;0;0;0;0
"other_parking";37790438,9243164;37067184,4642334;0;0;0;0;0;723248,142993927;0;0;0;0;0;0;0
"other_remaining_impervious";513350265,938507;503525227,716873;0;0;0;0;0;9824673,12238979;0;0;0;0;0;0;0
"other";557061923,891632;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1635022,32635498;310085,952903748;0;0;0;0;0;0;0;1100855,493927;0;0;0;0;0
"rail_other";4501116,86651611;292619,676372051;0;0;0;0;0;0;0;4075771,90467072;7315,48710571229;0;125408,259561062;0;0
"rail_railway";8890782,40509033;8213214,19842529;8351,53981631994;0;0;0;0;0;0;296748,214267731;0;0;333972,112501144;0;38513,541000843
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";311091,06137085;20224,3731250763;0;0;0;0;0;0;0;281694,934814453;505,606422841549;0;8667,55486106873;0;0
"rail_tunnel";581732,592834473;0;0;0;0;0;0;0;0;560536,583007812;0;0;21134,5446300507;0;0
"rail";15919735,3711548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";3836353,1875;459311,402587891;0;0;0;0;0;0;0;3201749,640625;0;0;175293,983459473;0;0
