"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",2467917409.5166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_dcmix_lr",9247948.88690186,562754.760360718,0,0,0,195040.208763599,0,0,1580931.49595261,6439222.31176758,0,0,465842.830462456,0,4154.61884568632
"building_dcmix_mr",36587862.6328812,1599005.42460155,0,0,0,1314423.30345035,155977.501550764,0,0,29588465.1697998,0,0,3901973.92897701,0,27999.0280966014
"building_high",11616635.7351456,369585.685673714,0,0,0,1988234.38451862,0,0,658049.199006557,8173574.21709824,0,0,404971.155589581,0,22221.4657823443
"building_irh",81060283.4754353,13367882.1924076,0,0,0,2813742.32635584,846277.166047141,0,8820206.26752198,46335692.8722525,0,0,8876473.56310505,0,0
"building_light",46815318.4679298,11522915.3936357,843.698463878362,0,11028.0936014438,3143709.11651182,0,0,0,25194935.0796547,38854.7094584331,0,347910.593004048,0,6555112.97831249
"building_sdr_lr",336351196.352417,30933814.4314194,0,0,0,0,0,0,162806138.97113,128196293.248764,0,0,464007.803380907,0,13950897.2319603
"building_sdr_mr",159888178.782106,12656983.809386,0,0,0,22412979.0365224,0,0,7418062.22674978,111310935.040022,0,0,5838752.43244028,0,250498.306893408
"building_sky",1467.18640136719,0,0,0.974225997924805,0,40.2676887512207,8.76799011230469,0,0,1279.25732421875,0,0,137.919326782227,0,0
"building",681568902.776001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",5921496.09912109,5820861.74902344,0,0,0,0,0,100635.490455627,0,0,0,0,0,0,0
"other_parking",37790438.9243164,37067184.4642334,0,0,0,0,0,723248.142993927,0,0,0,0,0,0,0
"other_remaining_impervious",461106777.253754,452282442.627762,0,0,0,0,0,8824827.52671909,0,0,0,0,0,0,0
"other",504819031.167816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1635022.32635498,310085.952903748,0,0,0,0,0,0,0,1100855.493927,0,0,0,0,0
"rail_other",4501116.86651611,292619.676372051,0,0,0,0,0,0,0,4075771.90467072,7315.48710571229,0,125408.259561062,0,0
"rail_railway",8890782.40509033,8213214.19842529,8351.53981631994,0,0,0,0,0,0,296748.214267731,0,0,333972.112501144,0,38513.541000843
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",311091.06137085,20224.3731250763,0,0,0,0,0,0,0,281694.934814453,505.606422841549,0,8667.55486106873,0,0
"rail_tunnel",581732.592834473,0,0,0,0,0,0,0,0,560536.583007812,0,0,21134.5446300507,0,0
"rail",15919735.3711548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",3836353.1875,459311.402587891,0,0,0,0,0,0,0,3201749.640625,0,0,175293.983459473,0,0
"street_bridge_other",12129588.6393433,2058583.3657608,0,0,0,0,0,0,0,8769837.48077393,0,0,1301160.09789276,0,0
"street_cycleway",1125111.28134155,1102715.90151978,0,0,0,0,0,22394.7701282501,0,0,0,0,0,0,0
"street_footway",3116956.77978516,3054908.86893463,0,0,0,0,0,62041.1839748621,0,0,0,0,0,0,0
"street_gravel",30782378.2592773,30578368.0393066,0,0,0,0,0,204022.840371132,0,0,0,0,0,0,0
"street_living_street",45524.5178833008,44672.6633453369,0,0,0,0,0,851.852250337601,0,0,0,0,0,0,0
"street_motorway",71589312.0115967,70372549.9776611,0,0,0,0,0,1216829.13423347,0,0,0,0,0,0,0
"street_motorway_elevated",438607.654785156,418007.094116211,0,0,0,0,0,20594.8004722595,0,0,0,0,0,0,0
"street_motorway_link",5565948.94824219,5471195.35253906,0,0,0,0,0,94747.1407318115,0,0,0,0,0,0,0
"street_other",556015811.54541,545373212.913574,0,0,0,0,0,10642673.3603058,0,0,0,0,0,0,0
"street_other_elevated",937494.51899147,890619.672605515,0,0,0,0,0,46874.7099788189,0,0,0,0,0,0,0
"street_pedestrian",368960.67225647,362025.252151489,0,0,0,0,0,6874.04899680614,0,0,0,0,0,0,0
"street_primary",84913687.3007812,83108014.6425781,0,0,0,0,0,1805869.07855225,0,0,0,0,0,0,0
"street_primary_link",53393.757232666,52235.456451416,0,0,0,0,0,1158.42747783661,0,0,0,0,0,0,0
"street_residential",101669989.49585,99724050.854248,0,0,0,0,0,1946063.55171204,0,0,0,0,0,0,0
"street_secondary",149692069.145508,146801612.766602,0,0,0,0,0,2890607.70845032,0,0,0,0,0,0,0
"street_secondary_link",347062.993118286,340361.415817261,0,0,0,0,0,6701.92200303078,0,0,0,0,0,0,0
"street_tertiary",169595381.188873,166349485.518158,0,0,0,0,0,3246225.9291501,0,0,0,0,0,0,0
"street_tertiary_link",441703.505523682,433249.046585083,0,0,0,0,0,8454.64778852463,0,0,0,0,0,0,0
"street_trunk",68224427.171875,67065405.8125,0,0,0,0,0,1158943.74829102,0,0,0,0,0,0,0
"street_trunk_link",2681459.93615723,2635808.89929199,0,0,0,0,0,45645.5059108734,0,0,0,0,0,0,0
"street_tunnel",2039033.69003296,0,0,0,0,0,0,0,0,1964952.87763977,0,0,74078.7787790298,0,0
"street",1265609780.71875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
