"category";"total";"aggregate";"all_other_fossil_fuel_based_materials";"all_other_materials";"all_other_metals";"all_other_minerals";"aluminum";"bitumen";"bricks";"concrete";"copper";"glass";"iron_steel";"other_biomass_based_materials";"timber"
"grand_total_t_10m2";826762985,519531;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_dcmix_lr";4810824,27392578;283599,018135071;0;0;0;103802,993690491;0;0;841392,536689758;3334465,28292847;0;0;245353,547681808;0;2211,14419284463
"building_dcmix_mr";15648120,9609375;730480,24432373;0;0;0;538629,289367676;63917,013458252;0;0;12686957,2998047;0;0;1616665,17834473;0;11473,5325927734
"building_high";2655743,72622681;83536,9686899185;0;0;0;455166,690223694;0;0;150647,20831871;1868755,88867188;0;0;92549,2023305893;0;5087,16148674488
"building_irh";27730880,4026489;4483254,6519165;0;0;0;989568,57069397;297628,451426983;0;3101989,14595032;15752117,8150635;0;0;3106318,59267807;0;0
"building_light";15950061,5131836;3925877,63513184;287,449512792751;0;3757,29160153866;1071067,24798584;0;0;0;8583961,73474121;13237,8672794104;0;118533,765081406;0;2233338,81843567
"building_sdr_lr";132330325,411133;11825448,3013306;0;0;0;0;0;0;65162913,0537109;49672638,9863281;0;0;177381,598773956;0;5491944,28302002
"building_sdr_mr";75588043,9335938;6049345,82894897;0;0;0;10552891,6515503;0;0;3492708,66061401;52612549,4814453;0;0;2762600,21147156;0;117944,223416805
"building_sky";29676,62890625;0;0;19,7055683135986;0;814,490417480469;177,349258422852;0;0;25875,40625;0;0;2789,67993164062;0;0
"building";274743683,507812;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";2456540,5859375;2414791,71191406;0;0;0;0;0;41748,7348937988;0;0;0;0;0;0;0
"other_parking";13886081,2873535;13620322,3830566;0;0;0;0;0;265757,299850464;0;0;0;0;0;0;0
"other_remaining_impervious";172403238,787109;169103698,000977;0;0;0;0;0;3299520,97077942;0;0;0;0;0;0;0
"other";188745851,302734;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";363529,181427002;68944,2075958252;0;0;0;0;0;0;0;244763,15423584;0;0;0;0;0
"rail_other";136726,630905151;8888,6900844574;0;0;0;0;0;0;0;123806,715698242;222,217027276754;0;3809,43079710007;0;0
"rail_railway";1671322,76306152;1543954,47692871;1569,94748938084;0;0;0;0;0;0;55783,6728668213;0;0;62781,281703949;0;7239,94367551804
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";196364,898193359;0;0;0;0;0;0;0;0;189210,21673584;0;0;7134,00614547729;0;0
"rail";2367943,11584473;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";823912,5390625;98643,7678222656;0;0;0;0;0;0;0;687622,078125;0;0;37646,919921875;0;0
"street_bridge_other";3913461,49478149;664176,329329491;0;0;0;0;0;0;0;2829479,43091202;0;0;419803,06144619;0;0
"street_cycleway";330655,834838867;324074,519241333;0;0;0;0;0;6581,5298140049;0;0;0;0;0;0;0
"street_footway";816798,164569855;800540,440055847;0;0;0;0;0;16257,9291810393;0;0;0;0;0;0;0
"street_gravel";5883614,41748047;5844629,22644043;0;0;0;0;0;38996,1321926117;0;0;0;0;0;0;0
"street_living_street";165419,779144287;162324,469726562;0;0;0;0;0;3095,32614088058;0;0;0;0;0;0;0
"street_motorway";8589599,0322876;8443607,32214355;0;0;0;0;0;146000,463212013;0;0;0;0;0;0;0
"street_motorway_elevated";94571,93359375;90130,0524902344;0;0;0;0;0;4440,61968231201;0;0;0;0;0;0;0
"street_motorway_link";963161,869140625;946764,368164062;0;0;0;0;0;16395,5472106934;0;0;0;0;0;0;0
"street_other";154745467,421875;151783488,485352;0;0;0;0;0;2961980,57035828;0;0;0;0;0;0;0
"street_other_elevated";302470,837982178;287347,244280338;0;0;0;0;0;15123,5419596434;0;0;0;0;0;0;0
"street_pedestrian";109043,990310669;106994,213508606;0;0;0;0;0;2031,58056914806;0;0;0;0;0;0;0
"street_primary";36328062,2150879;35555522,5583496;0;0;0;0;0;772591,945812225;0;0;0;0;0;0;0
"street_primary_link";97932,5186157227;95808,0115356445;0;0;0;0;0;2124,73754882812;0;0;0;0;0;0;0
"street_residential";41487240,1484375;40693124,4912109;0;0;0;0;0;794106,297729492;0;0;0;0;0;0;0
"street_secondary";32404159,7193604;31778448,6585693;0;0;0;0;0;625736,317230225;0;0;0;0;0;0;0
"street_secondary_link";68002,7364501953;66689,6346435547;0;0;0;0;0;1313,15901374817;0;0;0;0;0;0;0
"street_tertiary";27535398,6640625;27008393,5996094;0;0;0;0;0;527054,868988037;0;0;0;0;0;0;0
"street_tertiary_link";67239,2012634277;65952,2279663086;0;0;0;0;0;1287,02549171448;0;0;0;0;0;0;0
"street_trunk";44824402,7734375;44063037,8652344;0;0;0;0;0;761446,189239502;0;0;0;0;0;0;0
"street_trunk_link";1098593,37084961;1079889,98345947;0;0;0;0;0;18700,9505243301;0;0;0;0;0;0;0
"street_tunnel";256304,124069214;0;0;0;0;0;0;0;0;246992,559204102;0;0;9311,62060260773;0;0
"street";360905706,103516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
