"category","total","aggregate","all_other_fossil_fuel_based_materials","all_other_materials","all_other_metals","all_other_minerals","aluminum","bitumen","bricks","concrete","copper","glass","insulation","iron_steel","other_biomass_based_materials","timber"
"grand_total_t_10m2",819991278.579468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_dcmix_hr",1524237.41870117,47184.4442615509,0,0,0,72165.2335186005,21029.1796164513,0,0,1169236.17823792,0,0,0,213117.299610138,0,1550.95905411243
"building_dcmix_lr",4073024.26785278,248943.920257568,0,0,0,95119.9202423096,0,0,770801.215713501,2763600.26019287,0,0,0,192550.397327423,0,2009.57593309879
"building_dcmix_mr",14820511.0859375,641241.683410645,0,0,0,493376.696777344,143771.630661011,0,0,11969113.1259766,0,0,0,1562400.36315918,0,10603.5419788361
"building_irh",24620812.3486767,3959563.69774246,0,0,0,885194.01705423,0,0,2774442.68356037,13962080.7047396,0,0,0,2773533.86608303,0,0
"building_light",13934181.1860011,3429953.17173457,0,0,3062.45420315026,935580.373136908,0,0,0,7498929.12783325,11739.4134324919,0,0,103613.144212369,0,1951294.17297372
"building_sdr_hr",179034.695159912,4104.90012264252,0,0,0,27833.1050453186,0,0,1226.5764336586,136937.300872803,0,0,0,8937.67147064209,0,0
"building_sdr_lr",116115299.831837,10373813.3072164,0,0,0,0,0,0,57186585.849896,43580280.5174809,0,0,0,155607.359956983,0,4819016.48285282
"building_sdr_mr",72734417.0087357,5314010.24919891,0,0,0,9695996.88433743,0,0,3221030.26349401,51624230.4629288,0,0,0,2767609.01982999,0,109683.12796849
"building_sky",25999.90234375,0,0,16.9591407775879,0,713.825561523438,155.715744018555,0,0,22669.744140625,0,0,0,2444.42846679688,0,0
"building",248027421.09532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",2456540.92578125,2414791.63134766,0,0,0,0,0,41748.7430267334,0,0,0,0,NA,0,0,0
"other_parking",13886080.2563477,13620324.4892578,0,0,0,0,0,265757.255485535,0,0,0,0,NA,0,0,0
"other_remaining_impervious",192347468.389706,188666188.929218,0,0,0,0,0,3681213.96545112,0,0,0,0,NA,0,0,0
"other",208690107.088924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",363529.184967041,68944.2127532959,0,0,0,0,0,0,0,244763.143554688,0,0,NA,0,0,0
"rail_other",136726.575180054,8888.68997192383,0,0,0,0,0,0,0,123806.705413818,222.216990798712,0,NA,3809.43175268173,0,0
"rail_railway",1671323.78759766,1543953.58813477,1569.95596385002,0,0,0,0,0,0,55783.8189239502,0,0,NA,62781.5817718506,0,7239.93651866913
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0
"rail_tunnel",196364.905639648,0,0,0,0,0,0,0,0,189210.215026855,0,0,NA,7134.00623703003,0,0
"rail",2367946.60742188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",823912.48828125,98643.7657470703,0,0,0,0,0,0,0,687622.019042969,0,0,NA,37646.9237976074,0,0
"street_bridge_other",3913460.18644714,664176.228874207,0,0,0,0,0,0,0,2829479.78262329,0,0,NA,419803.146512985,0,0
"street_cycleway",330655.721923828,324074.305175781,0,0,0,0,0,6581.53115272522,0,0,0,0,NA,0,0,0
"street_footway",816797.801834106,800538.444629669,0,0,0,0,0,16257.9183392823,0,0,0,0,NA,0,0,0
"street_gravel",5883635.74160767,5844632.14221191,0,0,0,0,0,38996.0843597651,0,0,0,0,NA,0,0,0
"street_living_street",165419.777374268,162324.454437256,0,0,0,0,0,3095.32604551315,0,0,0,0,NA,0,0,0
"street_motorway",8589591.83203125,8443607.06152344,0,0,0,0,0,146000.382369995,0,0,0,0,NA,0,0,0
"street_motorway_elevated",94571.9273071289,90130.0603637695,0,0,0,0,0,4440.61911010742,0,0,0,0,NA,0,0,0
"street_motorway_link",963161.234375,946764.35546875,0,0,0,0,0,16395.5447998047,0,0,0,0,NA,0,0,0
"street_other",154745514.797516,151783420.718048,0,0,0,0,0,2961976.89549732,0,0,0,0,NA,0,0,0
"street_other_elevated",302470.933261871,287347.294344902,0,0,0,0,0,15123.5428240299,0,0,0,0,NA,0,0,0
"street_pedestrian",109043.990768433,106994.215248108,0,0,0,0,0,2031.58052718639,0,0,0,0,NA,0,0,0
"street_primary",36328037.7099609,35555534.909668,0,0,0,0,0,772593.026679993,0,0,0,0,NA,0,0,0
"street_primary_link",97932.5198364258,95808.018371582,0,0,0,0,0,2124.73747253418,0,0,0,0,NA,0,0,0
"street_residential",41487214.5438232,40693146.8608093,0,0,0,0,0,794106.74567318,0,0,0,0,NA,0,0,0
"street_secondary",32404102.0389404,31778526.8937988,0,0,0,0,0,625736.186384678,0,0,0,0,NA,0,0,0
"street_secondary_link",68002.735168457,66689.6311645508,0,0,0,0,0,1313.15900993347,0,0,0,0,NA,0,0,0
"street_tertiary",27535401.0061035,27008414.4390869,0,0,0,0,0,527055.788608551,0,0,0,0,NA,0,0,0
"street_tertiary_link",67239.1998901367,65952.2265014648,0,0,0,0,0,1287.02549266815,0,0,0,0,NA,0,0,0
"street_trunk",44824291.7575073,44063037.2772217,0,0,0,0,0,761446.961488724,0,0,0,0,NA,0,0,0
"street_trunk_link",1098593.41113281,1079890.00054932,0,0,0,0,0,18700.9480600357,0,0,0,0,NA,0,0,0
"street_tunnel",256304.14440918,0,0,0,0,0,0,0,0,246992.55078125,0,0,NA,9311.62073516846,0,0
"street",360905483.298706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
