"state";"grand_total_t_10m2";"building_hard_lr";"building_hard_mr";"building_high";"building_sky";"building";"building_wood_lr";"building_wood_mr";"other_airport";"other_parking";"other_remaining_impervious";"other";"rail_bridge";"rail_railway";"rail_shinkansen";"rail_subway_elevated";"rail_subway_surface";"rail_subway";"rail";"rail_tram";"rail_tunnel";"street_bridge_motorway";"street_bridge_other";"street_gravel";"street_living_street";"street_motorway_elevated";"street_motorway";"street_other_elevated";"street_primary";"street_secondary";"street_tertiary";"street";"street_tunnel"
"JP_AI";1384308881;285325235,75;541621045,6875;14517,39453125;1695415,72558594;1087352237,5;143263039,25;115431574,5;861605,1875;6435688,96875;210080768,25;217377774,1875;2876720,2734375;2444309,05371094;568541,66796875;39704,4921875;58068,87109375;2921398,75;9823110,1875;8229,97314453125;906118;1825910,9574585;1239028,9609375;3149657,89892578;31735767,21875;20318,6623735428;1969044,609375;13665,7253417969;8116704,98046875;9531873,24609375;10838224,9179688;69755712,5625;1315625,72753906
"JP_AK";315145156,234375;92459879,4609375;64885303,9140625;0;12420,8984375;194902702,796875;28271126,62146;9274095,84960938;431175,599609375;2025461,26953125;53474859,7753906;55931491,5253906;104570,221191406;1162329,30859375;186309,041015625;0;0;0;2082366,2421875;1059,53100585938;628090,270507812;97404,3215332031;1223575,62036133;13784600,4604492;20319632,4248047;1076,7720489502;1373209,96679688;13495,32554245;10837706,3125;7210859,0078125;6065953,57421875;62229174,203125;1301480,4609375
"JP_AO";407682493,539062;142172308,996094;68289870,7363281;0;50554,3359375;239968876,011719;24902938,6159239;4552459,92041016;2275557,984375;1442764,4296875;65256871,9951172;68975167,1201172;1151129,43215942;1306591,59179688;588757,3125;0;0;0;9078664,61328125;156,222038269043;6032015,96679688;49562,732421875;1287818,42871094;18152466,6152344;30744358,4882812;546,648040771484;1509204,0625;14203,8943939209;15649913,46875;12288762,28125;9282159,49279785;89660266,1875;681232,125488281
"JP_CH";1095468008;361340982;418006418;0;400590,4375;897544300;79779102,25;38019379,625;4765230,71875;3362521,0859375;160154338,75;168282189,75;2239649,17675781;2153177,47265625;649522,9375;146354,65625;22764,546875;337225,03125;6686370,43359375;3564,91943359375;1134077,03125;221895,2109375;454518,814941406;347343,656616211;8658480,72460938;2451,00939941406;926776,25;5013,07107543945;3829616,35546875;4706664,8125;3535047,91796875;22956894,46875;269095,5234375
"JP_EH";317820764,953125;95478170,2148438;96695620,5839844;0;0;244627502,447266;37399664,053196;15054155,359375;308007,840820312;544711,757049561;55391247,3999023;56243938,347168;112538,421142578;574365,90234375;0;0;0;0;1195064,17488956;1808,13509464264;506365,15625;236149,390625;175408,44229126;146022,515625;2061314,8659668;2618,35256958008;2164321,6875;1934,65030860901;4446058,32177734;3043138,78515625;1368267,7109375;15754576,3969727;2109324,8515625
"JP_FI";192834470;72602413;34847042,5;0;0;138739874,5;28096801,75;3193638,6796875;62059,337890625;544020,060546875;41072174,75;41678210,5;1080048,07617188;557235,5078125;0;0;0;0;4959694,10998535;9334,35882568359;3313017,0546875;12415,166015625;76837,8056640625;145725,440063477;1761506,35742188;136,932006835938;280707,791015625;847,475936889648;2288825,65625;1031929,73828125;807739,53515625;7457520,9375;1050859,40625
"JP_FO";768585949,322266;298384129,800781;173009952,393555;130843,0078125;378910,81640625;583643171,029297;99114736,0922604;12625398,484375;1971485,671875;2340451,78125;153973806,816406;158285594,066406;1941835,3125;1737601,38671875;1018385,25;23933,62109375;61899,29296875;939709,75;10305898,2421875;1444,83407592773;4581080,625;523512,65625;523967,255371094;88133,3576660156;3621115,0078125;5778,85388183594;1936457,375;5779,04641342163;4469192,296875;3047033,1640625;1526371,9296875;16347461,15625;600106,396484375
"JP_FS";569833067,5;150593513,375;127151319,390625;0;0;344217231,75;49220127,46875;17251971,9775391;308984,578125;2593231,515625;85346635;88248943,4375;1578631,14233398;1567791,97070312;559885,3125;0;0;0;7093102,3046875;71,4449920654297;3386698,37011719;584951,374511719;2411779,078125;6117804,1171875;46051334,125;6458,76368331909;8537388,390625;26600,5286254883;24936682,8125;20021052,40625;18202388,6875;130273801,5;3377392,328125
"JP_GF";496131117,25;103326464,65625;129594871,1875;0;129517,6875;321199274,25;59830470,2265625;28318220,8886719;262373,46875;1904054,57617188;77806439,6875;79972886,28125;586420,390686035;1250482,52392578;142145,21875;0;0;0;2923350,77587891;0;944320,96875;99431,25;2203422,80175781;4067801,83203125;45528770,8754883;1102,06817626953;2055971,42504883;24302,5065460205;11084774,375;12550062,1757812;10534787,3310547;92035903,2324219;3885418,30807495
"JP_GM";465494207,154297;166240878,414062;96995302,75;0;99636,7734375;344958332,381836;68909471,0700684;12712818,0859375;95800,3671875;2447295,19073486;92344981,2490234;94888165,9124146;1053146;1026900,59375;501319,890625;0;0;0;8625110,25;73,6229972839355;6043588;324502,484375;361387,815994263;318995,274414062;5987988,75341797;3581,31420898438;2199449,0625;3985,89767181873;2378673,921875;2885392,48828125;1836704,3125;17023335,4158325;722679,16796875
"JP_HG";1021544829;268105435,375;422581601,8125;0;1267950,53125;830163096,375;80916456,5625;57289930,265625;885362,359375;3089089,19433594;148552509,9375;152526696,6875;3458732,28540039;1723118,87890625;1202551,671875;31938,349609375;30644,79296875;1180351,3203125;12481902,6015625;3799,61810302734;4850746,94775391;1289954,21948242;373600,778686523;752379,420166016;5740442,3359375;14261,7960090637;5686258,80664062;4120,59754657745;2558842,57983398;3619307,9296875;3591940,70870972;26378985,546875;2747643,859375
"JP_HK";1497945898,63281;628990434,085938;392001634,992188;0;645087,4375;1114688904,60938;72781713,5898438;20269827,7181549;5260811,1640625;7089981,55529785;258258593,310547;270609034,392578;1818192,02301788;5051083,41503906;198219,703125;43176,60546875;1052,56188964844;1377912,625;19444429,7354736;4681,24885559082;10950080,9545898;710734,039855957;1682714,39208984;3594335,14743042;31457171,4511719;7883,22422075272;5542210,36474609;18559,3555932045;18686507,6491699;13942774,9501953;13557094,3234863;93201783,621582;4001532,34570312
"JP_HS";539122850,445312;125678356,503906;155866965,558594;0;296015,65625;363703004,585938;54660071,2539062;27200255,3271484;411106,9609375;1478554,23678589;80331348,7597656;82221142,4433594;1572934,64794922;1266770,09375;614506,515625;202010,328125;4747,3017578125;62105,65625;10580959,734375;8484,6728515625;6849305,08398438;549441,099609375;1369043,890625;6567034,0625;31681279,375;6095,92520141602;5838675,953125;15099,7506713867;9073925,97558594;11595351,125;12309820,71875;82617594,625;3611818,06054688
"JP_IB";802794760;262316360,75;236737580,5;0;0;619579226;86119486,125;34406086,03125;665911,275024414;2752679,5859375;138123893,125;141542565,125;684376,899414062;1261353,99609375;41387,07421875;0;0;0;2157164,7109375;174,998886108398;169877,427734375;274912,627929688;833306,75;1032888,48144531;15627122,75;3033,29005432129;2770836,734375;9190,87457275391;5103160,84375;6944414,03125;6236743,625;39515933;680362,75
"JP_IS";225256053,859375;81569108,9921875;40498174,375;0;0;162343700,109375;33895234,6015625;6381548,17919922;378373,49609375;1478840,5625;47826711,96875;49683912,21875;1469235,74493408;500598,143554688;155261,53125;0;0;0;3323236,31054688;0;1198156,04492188;4397,6962890625;108697,753692627;354802,94140625;3680401,43408203;48,5039939880371;215050,761230469;1198,87046337128;1503891,7890625;2282920,01513672;1594609,31298828;9905207,58007812;159176,515625
"JP_IW";440909407,75;118647136,03125;80550320,4863281;0;98957,421875;238336278,921875;31863675,3212891;7176527,82043457;280336,78125;1123832,19262695;60700127,6640625;62104300,015625;2332573,57617188;1627576,1328125;905116,19921875;0;0;0;12321007;0;7455703,46875;222971,468261719;1840626,30126953;17471534,421875;56733333,65625;2462,35217285156;4828434,703125;20301,0091629028;16325906,796875;13442368;13581023,5;128148524,3125;3679360,671875
"JP_KC";200116201,25;58335825,03125;59120504,9609375;0;0;145054535,78125;19449833,859375;8148260,62207031;265722,90625;675013,134460449;32530220,3046875;33470969,3828125;236177,03515625;480914,255859375;0;0;0;0;1590272,234375;4782,498046875;868413,7265625;150297,307128906;313836,687988281;242472,632537842;1888339,64135742;1657,72997283936;1349244,82617188;3461,43258666992;6504953,61328125;4964117,0546875;2324653,45605469;20000789,03125;2257781,0703125
"JP_KG";272051266,5;93966323,625;82821437;0;72152,421875;207229818;22618162,375;7751144,1875;274337,3125;734547,68359375;41367169,1875;42376142,5625;239342,236328125;388725,275390625;2625,85693359375;0;0;0;695044,150497437;7261,30772399902;57102,8522949219;359524,353515625;418816,852294922;41273,5966796875;4392389,09375;3991,25875854492;2183402,13189697;4619,30276489258;3584724,77578735;5214284,75976562;4967655;21750431;579812,350585938
"JP_KM";363698126,75;134861669,375;56936995,0625;0;0;244443879,375;47351177,53125;5294355,86328125;444524,109375;1453807,94726562;73514497,59375;75412814,71875;1457641,1171875;770574,186523438;514679,57421875;0;0;0;7261630,109375;1601,55737304688;4517098,796875;210288,765869141;449787,5078125;4120771,4609375;12021952,9375;2319,99398803711;2201128,31201172;4960,89874267578;7324548,46875;3673577,5703125;4229904,01171875;36579177,671875;2340026,15625
"JP_KN";1316280459,09654;346777754,09375;702941235,704086;0;4129515,1953125;1128585777,86034;40850489,9765625;33887427,5820312;679308,375;4070081,88476562;140482651,814325;145232145,95495;2187941,05371094;2477966,68554688;670709,051269531;123345,25390625;62406,796875;1754466,03125;11280103,5742188;4869,42828369141;3998442,2734375;1526863,0625;1164567,56811523;234476,272949219;15087879,7156372;16963,5932617188;4255561,625;12844,5020728111;2837086,75;2631629,30859375;1735451,62890625;31185909,1865234;1682604,4152832
"JP_KS";447489247,972656;167149148,839844;147295020,921875;0;0;341646960,25;21280455,1368484;5922510,93649292;1514342,00939941;1207282,11547852;65749890,2597656;68471580,2226562;557068,997924805;622805,095703125;346964,98046875;0;0;0;5598319,64550781;3419,94604492188;4068003,56213379;29423,853515625;434632,916992188;2039938,08087158;15107423,4200439;324,528015136719;279584,78125;4793,75062179565;2560372,75878906;5610927,62890625;5270964,23242188;31773392,9204102;434887,690429688
"JP_KY";335601248;76258738;114551298;583075,6875;0;249532712;41999634;16140397;58776,0390625;1993074,78125;54082875;56134698;973709,515625;1005489,125;571846,75;0;10776,9892578125;1005274,5625;5098896,625;2518,56113433838;1529274,59375;278367,078125;417796,125;141609,8046875;5390343,625;3070,21002197266;2228106,8125;4608,04455566406;3815944,125;5444459;5408205,625;24834570;1702116,5625
