"state","grand_total_t_10m2","building_hard_lr","building_hard_mr","building_high","building_sky","building","building_wood_lr","building_wood_mr","other_airport","other_parking","other_remaining_impervious","other","rail_bridge","rail_other","rail_railway","rail_shinkansen","rail_subway_elevated","rail_subway_surface","rail_subway","rail","rail_tram","rail_tunnel","street_bridge_motorway","street_bridge_other","street_gravel","street_living_street","street_motorway_elevated","street_motorway","street_other_elevated","street_primary","street_secondary","street_tertiary","street","street_tunnel"
"JP_AI",1865544806,285325731.75,541631765.6875,14517.39453125,1695415.72558594,1087365549.5,143263383.25,115433350.5,861605.1875,18718760.125,611039582.5,630620519.75,2876720.2734375,3050.88269042969,2559083.30371094,568541.66796875,39704.4921875,58068.87109375,2921398.75,9933881.1875,1178.66052246094,906118,1825910.9574585,1239028.9609375,1709880.3326416,1657088.88476562,20318.6623735428,11245916.0078125,13665.7253417969,12149065.875,14145969.625,92305368.625,137628057.25,1315625.72753906
"JP_AK",466825050.46875,92459951.4609375,64885303.9140625,0,12420.8984375,194902774.796875,28271126.62146,9274095.84960938,431175.599609375,5891226.953125,155535791.738281,161858205.738281,104570.221191406,1722.89774131775,1180542.40234375,186309.041015625,0,0,0,2101241.5390625,0,628090.270507812,97404.3215332031,1223575.62036133,3422480.77069092,11931262.5576172,1076.7720489502,13783369.375,13495.32554245,9190780.296875,7917232.65625,59080612.4980469,107962910.125,1301480.4609375
"JP_AO",603933313.8125,142172308.996094,68289870.7363281,0,50554.3359375,239968876.011719,24902938.6159239,4552459.92041016,2275557.984375,4196400.46875,189804494.446777,196276650.446777,1151129.43215942,2523.6007232666,1306591.59179688,588757.3125,0,0,0,9081030.98828125,0,6032015.96679688,49562.732421875,1287818.42871094,6205737.671875,13753230.9609375,546.648040771484,19429875.75,14203.8943939209,15662953.21875,12115051.1079102,89406637.15625,158606612.1875,681232.125488281
"JP_CH",1427006708,361340982,418006418,0,400590.4375,897544300,79779102.25,38019379.625,4765230.71875,9780163.5625,465822502,480367788,2239649.17675781,5516.04925537109,2153463.97265625,649522.9375,146354.65625,22764.546875,337225.03125,6688601.62109375,0,1134077.03125,221895.2109375,454518.814941406,301255.022949219,57498.3397216797,2451.00939941406,5310148.41796875,5013.07107543945,5999001.71875,4613939.5625,25170901.921875,42405779.59375,269095.5234375
"JP_EH",430440660.246094,95478170.2148438,96695620.5839844,0,0,244627502.447266,37399664.053196,15054155.359375,308007.840820312,1584342.30273438,161109186.34082,163001567.674805,112538.421142578,28.9409971237183,581670.43359375,0,0,0,0,1201945.67488956,1356.86083984375,506365.15625,236149.390625,175408.44229126,3624.9873046875,163862.189453125,2618.35256958008,7255228.15234375,1934.65030860901,3878719.51367188,1785853.29296875,5995519.81787109,21608330.0566406,2109324.8515625
"JP_FI",276659250,72602385,34847042.5,0,0,138739778.5,28096729.75,3193638.6796875,62059.337890625,1582329.40625,119461310.5,121105593,1080048.07617188,291.851898193359,717555.626953125,0,0,0,0,5110990.43652344,9.33899879455566,3313017.0546875,12415.166015625,76837.8056640625,5077.04046630859,161849.258270264,136.932006835938,2901731.78125,847.475936889648,1315275.265625,1054256.1328125,5123490.546875,11702815.65625,1050859.40625
"JP_FO",1075798210.51367,298384225.800781,173009952.393555,130843.0078125,378910.81640625,583643299.029297,99114744.0922604,12625398.484375,1971485.671875,6807409.7421875,447845705.467773,456625403.467773,1941835.3125,5456.45315551758,1737601.38671875,1018385.25,23933.62109375,61899.29296875,939709.75,10309916.5859375,0,4581080.625,523512.65625,523967.255371094,1445.50476074219,99754.9765625,5778.85388183594,7051756,5779.04641342163,3883611.203125,1992209.921875,10532266.8125,25219748.25,600106.396484375
"JP_FS",840992604,150593513.375,127151319.390625,0,0,344217239.75,49220134.96875,17251971.9775391,308984.578125,7542633.328125,248237752.5,256089563.25,1578631.14233398,91.1459980010986,1568569.97070312,559885.3125,0,0,0,7093899.1484375,0,3386698.37011719,584951.374511719,2411779.078125,1007694.140625,5888309.19140625,6458.76368331909,37093147.4375,26600.5286254883,25518370.53125,23757588.125,133921209.5,233593002.5,3377392.328125
"JP_GF",743959630.25,103326464.65625,129594871.1875,0,129517.6875,321199274.25,59830470.2265625,28318220.8886719,262373.46875,5538105.4921875,226306689.8125,232107087.8125,586420.390686035,330.890975952148,1250482.52392578,142145.21875,0,0,0,2923681.27587891,0,944320.96875,99431.25,2203422.80175781,554465.541992188,4043659.26953125,1102.06817626953,14749101.5422363,24302.5065460205,15995959.3105469,13749930.7475586,132422029.474365,187729052.347656,3885418.30807495
"JP_GM",659548821.0625,166240878.414062,96995302.75,0,99636.7734375,344958332.381836,68909471.0700684,12712818.0859375,95800.3671875,7118167.10864258,268594402.367188,275808531.523926,1053146,4095.13955688477,1026900.59375,501319.890625,0,0,0,8629122.25,0,6043588,324502.484375,361387.815994263,297001.614257812,25309.0358886719,3581.31420898438,4923381.546875,3985.89767181873,3677649.04882812,2397259.5,17416518.609375,30153246.0437622,722679.16796875
