"zone";"mass_grand_t_10m2";"mass_building_hard_lr";"mass_building_hard_mr";"mass_building_high";"mass_building_sky";"mass_building";"mass_building_wood_lr";"mass_building_wood_mr";"mass_other_airport";"mass_other_parking";"mass_other_remaining_impervious";"mass_other";"mass_rail_bridge";"mass_rail_other";"mass_rail_railway";"mass_rail_shinkansen";"mass_rail_subway_elevated";"mass_rail_subway_surface";"mass_rail_subway";"mass_rail";"mass_rail_tram";"mass_rail_tunnel";"mass_street_bridge_motorway";"mass_street_bridge_other";"mass_street_gravel";"mass_street_living_street";"mass_street_motorway_elevated";"mass_street_motorway";"mass_street_other_elevated";"mass_street_primary";"mass_street_secondary";"mass_street_tertiary";"mass_street";"mass_street_tunnel"
-9999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;2810,71328735352;205,456344604492;1881,47044372559;0;0;2126,11166381836;0;39,1849479675293;0;0;458,140394210815;458,140394210815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226,461196899414;226,461196899414;0
1;34169049342,7876;7461950213,57422;8388557960,88831;1095619,515625;49675030,5029297;19002522162,4087;2206734137,45997;894510286,971235;40969299,6691895;271035627,01178;11364359025,8594;11675811405,6855;59113814,0113602;124966,936440468;57808556,1815643;18529565,4155273;1154426,21191406;792251,359619141;23118992,09375;286793693,46679;34257,222486496;126116124,77948;17187674,9008179;34543472,2832184;25671256,8844795;108362669,660706;190552,14429903;439595938,608307;380994,271718383;351213775,901917;307515023,239838;1850435290,77783;3205456946,05814;70360445,9785004
2;40936167;5314554,5;25801608;0;525433,703125;31789071;76163,4765625;71307,060546875;0;102945,90625;6885018;6987963,75;13819,5327301025;0;85777,3173828125;0;0;0;497005,5390625;603374,28125;1088,73571777344;5682,78369140625;116875,109375;10890,8790283203;62,0481986999512;515,236785888672;1290,62414550781;80510,1186523438;120,119992494583;66556,8623046875;55568,2250976562;1213502,46875;1555744,875;9853,11596679688
3;22586346;5696230,5;8648775;0;0;15071045;478037,0625;248006,078125;0;94683,75;5640894,5;5735578,5;16239,365234375;0;16009,193359375;2441,1220703125;0;4605,2578125;100899,8125;142007,375;0;1812,78588867188;18944,255859375;19974,59765625;7379,9990234375;5027,14501953125;208,943939208984;278431,3125;220,308029174805;93074,03125;59279,94921875;1152415,5;1637703,875;2747,50341796875
4;10040229;2511329,75;1562788,375;0;0;5583372,5;1304407,5;204842,171875;15894,0595703125;88450,3125;4263102,5;4367445;4034,22778320312;0;16752,49609375;0;0;0;0;20786,681640625;0;0;0;3598,01635742188;0;0;0;2658,08984375;39,6840019226074;579,857421875;57649,48046875;4104,47900390625;68629,5625;0
5;11827577;984276,5;3970127,75;0;0;7542939;804464,5;1784066,125;0;31541,765625;4037669,5;4069213;1543,74633789062;0;28112,40234375;0;0;0;44400,9453125;75279,3828125;0;1222,10400390625;0;0;0;0;0;81889,8671875;0;0;0;6521,45654296875;140148,328125;51736,96875
6;3870615;736101,625;925735,5;0;0;2253286,25;397738,0625;193711,21875;0;40606,48046875;1542198,375;1582804,875;291,439514160156;0;7057,880859375;0;0;0;0;7349,3203125;0;0;0;0;0;0;0;2190,88598632812;0;15664,833984375;6227,52099609375;3090,09936523438;27173,34765625;0
7;15553723;6214021;2384491;0;0;9603618;865475,5;139627,984375;0;134253,90625;5464525,5;5598778;8116,150390625;0;3524,6884765625;0;0;0;0;11640,8388671875;0;0;0;9026,046875;0;5222,69189453125;0;3169,03100585938;99,552001953125;20355,775390625;37248,01953125;264574,53125;339695,71875;0
8;23814092;5957087,5;8193719,5;0;0;16156786;1287492,25;718497,6875;0;170094,234375;7381315;7551407;1538,44750976562;0;32243,640625;0;0;0;0;33782,08984375;0;0;0;0;0;1256,87646484375;0;22547,04296875;0;7499,95263671875;0;40789,1171875;72092,9140625;0
9;19982324;963954,5625;12028991;0;27607,6875;15000872;387033,59375;1593295;0;76083,6640625;4357300,5;4433385,5;63770,50390625;1055,17517089844;10254,0517578125;0;0;0;0;163797,1875;1851,46606445312;86866,1328125;0;8676,80078125;0;0;0;110460,8984375;95,7000045776367;0;2344,173828125;188530,515625;384258,28125;74150,109375
10;58395240;1037923,125;43809844;7732,5302734375;3453603;48599456;83832,265625;206536,203125;0;503488,90625;6655061;7158543;157762,625;0;48792,43359375;40238,625;10100,2861328125;0;922525,125;1818646,875;0;639226,0625;98892,6484375;45377,2265625;0;0;1098,83984375;51483,83203125;500,484039306641;116027,03125;38157,87109375;467027,75;818565,5625;0
11;2469560;752109,5625;197563,984375;0;0;1229614,5;245198,40625;34741,4609375;0;719,040405273438;1063320,375;1064039,375;0;0;0;0;0;0;0;0;0;0;2689,53588867188;298,112030029297;0;0;30,2279987335205;126208,59375;3,28799986839294;46676,77734375;0;0;175906,328125;0
12;20570683,125;5519434,09375;7347640,71875;0;0;13985302,875;712156,9765625;406077,58203125;0;137840,721679688;5814406,65625;5952248,40625;24258,3662109375;0;29087,310546875;14913,7856445312;0;0;0;87487,07421875;0;19227,7734375;0;11741,6931152344;1209,78430175781;4189,3486328125;0;0;129,504025936127;18244,671875;8720,1650390625;500230,868774414;545649,06640625;1182,91528320312
13;19271024;4059448,5;6329274;0;0;12574938;1536845,625;649364,1875;0;128497,40625;6310393,5;6438887,5;53626,62109375;21,9449977874756;39016,15234375;22948,884765625;0;0;0;122752,65625;0;7139,1240234375;0;453,695983886719;0;1039,08483886719;0;0;5,00399971008301;0;31964,404296875;98769,4609375;134459,421875;2227,77880859375
