"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";1865544806;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";285325731,75;0;41711727,875;267707,688415527;0;340061,028198242;190926667,5625;238766,393371582;27979071,515625;19231584,859375;2894123,96972656;1736483,50390625
"building_hard_mr";541631765,6875;0;38977799,4609375;389309,942565918;0;724116,969482422;456856068,625;225799,866729736;26862414,5195312;14490119,3925781;2483799,09667969;622895,521362305
"building_high";14517,39453125;0;823,052795410156;9,80025959014893;0;19,7694892883301;12765,68359375;4,90012979507446;575,173950195312;266,972595214844;50,0151176452637;2,02763986587524
"building_sky";1695415,72558594;0;104499,685852051;1157,19443225861;0;2289,23213577271;1471171,05175781;628,910004615784;72651,688293457;35772,4014892578;6465,19434356689;779,848247051239
"building_wood_lr";143263383,25;0;23043173,8671875;574319,393310547;0;15319124,3125;64804510,59375;1441660,35351562;2086309,69726562;750132,599121094;9271178,27734375;25973309,015625
"building_wood_mr";115433350,5;0;18560492,6210938;464220,177856445;0;12343274,9433594;52216547,828125;1160551,21789551;1682799,17871094;596854,093811035;7477267,2421875;20931389,34375
"building";1087365549,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";861605,1875;0;609428;0;252177,078125;0;0;0;0;0;0;0
"other_parking";18718760,125;0;16611200,625;0;2107567;0;0;0;0;0;0;0
"other_remaining_impervious";611039582,5;0;542243315,125;0;68797747,875;0;0;0;0;0;0;0
"other";630620519,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";2876720,2734375;0;0;0;0;0;2715636,23242188;0;161075,352905273;0;0;0
"rail_other";3050,88269042969;0;0;0;0;0;0;0;1081,67657470703;0;0;1969,20755004883
"rail_railway";2559083,30371094;0;2283521,33105469;0;0;0;18942,7986907959;0;119069,0546875;0;0;48033,4068603516
"rail_shinkansen";568541,66796875;0;535036,420898438;0;0;0;8946,50367736816;0;24558,9989929199;0;0;0
"rail_subway";2921398,75;0;2325023,5;0;0;0;373074,75;0;223308,09375;0;0;0
"rail_subway_elevated";39704,4921875;0;33425,453125;0;0;0;5363,58837890625;0;915,492309570312;0;0;0
"rail_subway_surface";58068,87109375;0;48885,546875;0;0;0;7844,39111328125;0;1338,93103027344;0;0;0
"rail_tram";1178,66052246094;0;0;0;0;0;0;0;417,888671875;0;0;760,771240234375
"rail_tunnel";906118;0;0;0;0;0;896855,6875;0;9271,04150390625;0;0;0
"rail";9933881,1875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1825910,9574585;0;1293912,79315186;0;0;0;176213,686325073;0;355783,800308228;0;0;0
"street_bridge_other";1239028,9609375;0;878023,373046875;0;0;0;119575,284423828;0;241427,782226562;0;0;0
"street_gravel";1709880,3326416;0;1709880,3326416;0;0;0;0;0;0;0;0;0
"street_living_street";1657088,88476562;0;1440026,73864746;0;217063,515106201;0;0;0;0;0;0;0
"street_motorway";11245916,0078125;0;10012745,6835938;0;1233136,58886719;0;0;0;0;0;0;0
"street_motorway_elevated";20318,6623735428;0;0;0;20318,6623735428;0;0;0;0;0;0;0
"street_other_elevated";13665,7253417969;0;0;0;13665,7253417969;0;0;0;0;0;0;0
"street_primary";12149065,875;0;10623524,6210938;0;1525552,19726562;0;0;0;0;0;0;0
"street_secondary";14145969,625;0;11881963,328125;0;2264017,70898438;0;0;0;0;0;0;0
"street_tertiary";92305368,625;0;81912428,875;0;10392776,890625;0;0;0;0;0;0;0
"street_tunnel";1315625,72753906;27363,3266906738;967195,928100586;0;0;0;273390,75;0;47679,4998588562;0;0;0
"street";137628057,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
