"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",1384308881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",285325235.75,0,41711655.875,267707.235290527,0,340060.434448242,190926331.5625,238765.971496582,27979022.515625,19231551.859375,2894119.09472656,1736480.44140625
"building_hard_mr",541621045.6875,0,38977023.4609375,389302.255065918,0,724102.656982422,456847076.625,225795.429229736,26861882.5195312,14489831.3925781,2483750.09667969,622883.208862305
"building_high",14517.39453125,0,823.052795410156,9.80025959014893,0,19.7694892883301,12765.68359375,4.90012979507446,575.173950195312,266.972595214844,50.0151176452637,2.02763986587524
"building_sky",1695415.72558594,0,104499.685852051,1157.19443225861,0,2289.23213577271,1471171.05175781,628.910004615784,72651.688293457,35772.4014892578,6465.19434356689,779.848247051239
"building_wood_lr",143263039.25,0,23043119.8671875,574318.018310547,0,15319088.3125,64804358.59375,1441656.91601562,2086304.69726562,750130.786621094,9271156.27734375,25973247.015625
"building_wood_mr",115431574.5,0,18560207.6210938,464212.959106445,0,12343082.9433594,52215731.828125,1160533.21789551,1682773.17871094,596844.812561035,7477150.2421875,20931063.34375
"building",1087352237.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",861605.1875,0,609428,0,252177.078125,0,0,0,0,0,0,0
"other_parking",6435688.96875,0,5592663.796875,0,843027.733398438,0,0,0,0,0,0,0
"other_remaining_impervious",210080768.25,0,182561664.875,0,27518895.5,0,0,0,0,0,0,0
"other",217377774.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2876720.2734375,0,0,0,0,0,2715636.23242188,0,161075.352905273,0,0,0
"rail_railway",2444309.05371094,0,2181111.83105469,0,0,0,18093.2391204834,0,113728.58984375,0,0,45879.1568603516
"rail_shinkansen",568541.66796875,0,535036.420898438,0,0,0,8946.50367736816,0,24558.9989929199,0,0,0
"rail_subway",2921398.75,0,2325023.5,0,0,0,373074.75,0,223308.09375,0,0,0
"rail_subway_elevated",39704.4921875,0,33425.453125,0,0,0,5363.58837890625,0,915.492309570312,0,0,0
"rail_subway_surface",58068.87109375,0,48885.546875,0,0,0,7844.39111328125,0,1338.93103027344,0,0,0
"rail_tram",8229.97314453125,0,0,0,0,0,0,0,2917.89617919922,0,0,5312.08148193359
"rail_tunnel",906118,0,0,0,0,0,896855.6875,0,9271.04150390625,0,0,0
"rail",9823110.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1825910.9574585,0,1293912.79315186,0,0,0,176213.686325073,0,355783.800308228,0,0,0
"street_bridge_other",1239028.9609375,0,878023.373046875,0,0,0,119575.284423828,0,241427.782226562,0,0,0
"street_gravel",3149657.89892578,0,3149657.89892578,0,0,0,0,0,0,0,0,0
"street_living_street",31735767.21875,0,27578634.84375,0,4157132.34375,0,0,0,0,0,0,0
"street_motorway",1969044.609375,0,1753134.88769531,0,215910.604858398,0,0,0,0,0,0,0
"street_motorway_elevated",20318.6623735428,0,0,0,20318.6623735428,0,0,0,0,0,0,0
"street_other_elevated",13665.7253417969,0,0,0,13665.7253417969,0,0,0,0,0,0,0
"street_primary",8116704.98046875,0,7097530.6796875,0,1019200.87158203,0,0,0,0,0,0,0
"street_secondary",9531873.24609375,0,8006335.87890625,0,1525552.19726562,0,0,0,0,0,0,0
"street_tertiary",10838224.9179688,0,9617932.046875,0,1220287.67773438,0,0,0,0,0,0,0
"street_tunnel",1315625.72753906,27363.3266906738,967195.928100586,0,0,0,273390.75,0,47679.4998588562,0,0,0
"street",69755712.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
