"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",466825050.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",92459951.4609375,0,13516708.1650391,86751.0311164856,0,110197.033153534,61869819.6933594,77372.4622383118,9066660.58374023,6231996.58325195,937846.53527832,562707.974945068
"building_hard_mr",64885303.9140625,0,4669371.89648438,46637.7630558014,0,86746.2389335632,54729394.6347656,27049.897892952,3218001.96398926,1735856.77154541,297548.617904663,74620.4303207397
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",12420.8984375,0,765.582275390625,8.4778003692627,0,16.7712993621826,10778.048828125,4.60750007629395,532.258422851562,262.074584960938,47.3651008605957,5.71329975128174
"building_wood_lr",28271126.62146,0,4547240.37347412,113333.998941422,0,3023013.993927,12788266.2175903,284491.764102936,411704.146659851,148028.596171379,1829538.29372406,5125488.31488037
"building_wood_mr",9274095.84960938,0,1491178.85600281,37296.2058906555,0,991677.287246704,4195143.73330688,93240.4191160202,135198.548501968,47952.2356734276,600734.240997314,1681657.41882324
"building",194902774.796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",431175.599609375,0,304977.875,0,126197.733886719,0,0,0,0,0,0,0
"other_parking",5891226.953125,0,5227926.046875,0,663299.624023438,0,0,0,0,0,0,0
"other_remaining_impervious",155535791.738281,0,138023829.527344,0,17511958.1542969,0,0,0,0,0,0,0
"other",161858205.738281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",104570.221191406,0,0,0,0,0,98715.0791015625,0,5855.17709350586,0,0,0
"rail_other",1722.89774131775,0,0,0,0,0,0,0,610.845339775085,0,0,1112.05121326447
"rail_railway",1180542.40234375,0,1053411.93359375,0,0,0,8738.66909790039,0,54928.3193359375,0,0,22158.6510009766
"rail_shinkansen",186309.041015625,0,175326.728515625,0,0,0,2931.70333862305,0,8047.79150390625,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",628090.270507812,0,0,0,0,0,621664.21875,0,6426.32525634766,0,0,0
"rail",2101241.5390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",97404.3215332031,0,69024.5581054688,0,0,0,9400.23056030273,0,18979.5081787109,0,0,0
"street_bridge_other",1223575.62036133,0,867074.855957031,0,0,0,118083.984596252,0,238417.480438232,0,0,0
"street_gravel",3422480.77069092,0,3422480.77069092,0,0,0,0,0,0,0,0,0
"street_living_street",11931262.5576172,0,10368348.9438477,0,1562898.61877441,0,0,0,0,0,0,0
"street_motorway",13783369.375,0,12271970.625,0,1511390.875,0,0,0,0,0,0,0
"street_motorway_elevated",1076.7720489502,0,0,0,1076.7720489502,0,0,0,0,0,0,0
"street_other_elevated",13495.32554245,0,0,0,13495.32554245,0,0,0,0,0,0,0
"street_primary",9190780.296875,0,8036625.390625,0,1154068.7265625,0,0,0,0,0,0,0
"street_secondary",7917232.65625,0,6650100.59375,0,1267131.59960938,0,0,0,0,0,0,0
"street_tertiary",59080612.4980469,0,52428675.0957031,0,6651962.64770508,0,0,0,0,0,0,0
"street_tunnel",1301480.4609375,27069.0816650391,956793.87890625,0,0,0,270450.5625,0,47166.6225585938,0,0,0
"street",107962910.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
