"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",1427006708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",361340982,0,52824560.75,339029.614257812,0,430659.478515625,241791362.5,302376.645996094,35433087.5,24355110.65625,3665187.1328125,2199102.1328125
"building_hard_mr",418006418,0,30081194.8125,300452.002441406,0,558840.551757812,352580066.5,174261.72265625,20731190.53125,11182816.484375,1916883.0390625,480723.067382812
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",400590.4375,0,24691.044921875,273.420288085938,0,540.896728515625,347606.4375,148.598007202148,17166.041015625,8452.25390625,1527.58740234375,184.261520385742
"building_wood_lr",79779102.25,0,12831994.6875,319820.786132812,0,8530716.90625,36087497,802814.333984375,1161799.86328125,417724.893554688,5162826.734375,14463746.96875
"building_wood_mr",38019379.625,0,6113129.4375,152896.416015625,0,4065412.4375,17198152.8125,382240.873046875,554250.13671875,196581.406738281,2462728.1171875,6894001.203125
"building",897544300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",4765230.71875,0,3370525.640625,0,1394701.0234375,0,0,0,0,0,0,0
"other_parking",9780163.5625,0,8679004.953125,0,1101158.86523438,0,0,0,0,0,0,0
"other_remaining_impervious",465822502,0,413373189,0,52447336.125,0,0,0,0,0,0,0
"other",480367788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2239649.17675781,0,0,0,0,0,2114239.37121582,0,125403.999816895,0,0,0
"rail_other",5516.04925537109,0,0,0,0,0,0,0,1955.6848526001,0,0,3560.35655212402
"rail_railway",2153463.97265625,0,1921576.46679688,0,0,0,15940.4423522949,0,100196.674560547,0,0,40420.4300537109
"rail_shinkansen",649522.9375,0,611245.5,0,0,0,10220.7958984375,0,28057.103515625,0,0,0
"rail_subway",337225.03125,0,268382.8125,0,0,0,43065.0078125,0,25777.197265625,0,0,0
"rail_subway_elevated",146354.65625,0,123209.6953125,0,0,0,19770.728515625,0,3374.59692382812,0,0,0
"rail_subway_surface",22764.546875,0,19164.439453125,0,0,0,3075.21069335938,0,524.896850585938,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",1134077.03125,0,0,0,0,0,1122473.34375,0,11603.3361816406,0,0,0
"rail",6688601.62109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",221895.2109375,0,157244.00390625,0,0,0,21414.5444335938,0,43236.9541015625,0,0,0
"street_bridge_other",454518.814941406,0,322089.877441406,0,0,0,43864.4008789062,0,88564.2265625,0,0,0
"street_gravel",301255.022949219,0,301255.022949219,0,0,0,0,0,0,0,0,0
"street_living_street",57498.3397216797,0,49966.6065673828,0,7531.85446166992,0,0,0,0,0,0,0
"street_motorway",5310148.41796875,0,4727876.91015625,0,582265.930664062,0,0,0,0,0,0,0
"street_motorway_elevated",2451.00939941406,0,0,0,2451.00939941406,0,0,0,0,0,0,0
"street_other_elevated",5013.07107543945,0,0,0,5013.07107543945,0,0,0,0,0,0,0
"street_primary",5999001.71875,0,5245703.015625,0,753287.21875,0,0,0,0,0,0,0
"street_secondary",4613939.5625,0,3875495.30078125,0,738452.803710938,0,0,0,0,0,0,0
"street_tertiary",25170901.921875,0,22336946.1875,0,2834020.13378906,0,0,0,0,0,0,0
"street_tunnel",269095.5234375,5596.83532714844,197827.83203125,0,0,0,55918.6875,0,9752.2197265625,0,0,0
"street",42405779.59375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
