"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",430440660.246094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",95478170.2148438,0,13957906.1602783,89582.4350585938,0,113794.12230587,63889216.4082031,79898.0891036987,9362567.3104248,6435409.87188721,968461.128051758,581076.181900024
"building_hard_mr",96695620.5839844,0,6958562.91040039,69502.2492790222,0,129274.136554718,81560764.5551758,40311.3017573357,4795650.65951538,2586873.33673096,443424.908988953,111203.451411247
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",37399664.053196,0,6015539.24916553,149929.871268928,0,3999135.71680069,16917574.9279537,376352.902738631,544642.85723114,195826.18430832,2420296.86181927,6780470.72519732
"building_wood_mr",15054155.359375,0,2420554.546875,60540.9036865234,0,1609735.62109375,6809763.8125,151352.091796875,219460.740234375,77838.3067626953,975140.28125,2729743.0625
"building",244627502.447266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",308007.840820312,0,217859.248046875,0,90148.6850585938,0,0,0,0,0,0,0
"other_parking",1584342.30273438,0,1405959.73950195,0,178382.616989136,0,0,0,0,0,0,0
"other_remaining_impervious",161109186.34082,0,142970062.841797,0,18139535.8101807,0,0,0,0,0,0,0
"other",163001567.674805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",112538.421142578,0,0,0,0,0,106236.765869141,0,6301.32502746582,0,0,0
"rail_other",28.9409971237183,0,0,0,0,0,0,0,10.2609004974365,0,0,18.680100440979
"rail_railway",581670.43359375,0,519030.247070312,0,0,0,4305.62554931641,0,27063.5493774414,0,0,10917.8092651367
"rail_shinkansen",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",1356.86083984375,0,0,0,0,0,0,0,481.068817138672,0,0,875.792297363281
"rail_tunnel",506365.15625,0,0,0,0,0,501183.890625,0,5180.83422851562,0,0,0
"rail",1201945.67488956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",236149.390625,0,167344.59765625,0,0,0,22790.1608886719,0,46014.4140625,0,0,0
"street_bridge_other",175408.44229126,0,124301.414978027,0,0,0,16928.1790561676,0,34178.8722457886,0,0,0
"street_gravel",3624.9873046875,0,3624.9873046875,0,0,0,0,0,0,0,0,0
"street_living_street",163862.189453125,0,142397.56640625,0,21464.6970214844,0,0,0,0,0,0,0
"street_motorway",7255228.15234375,0,6459709.8112793,0,795561.680877686,0,0,0,0,0,0,0
"street_motorway_elevated",2618.35256958008,0,0,0,2618.35256958008,0,0,0,0,0,0,0
"street_other_elevated",1934.65030860901,0,0,0,1934.65030860901,0,0,0,0,0,0,0
"street_primary",3878719.51367188,0,3391666.79541016,0,487043.91746521,0,0,0,0,0,0,0
"street_secondary",1785853.29296875,0,1500029.8046875,0,285819.754882812,0,0,0,0,0,0,0
"street_tertiary",5995519.81787109,0,5320484.45703125,0,675042.927398682,0,0,0,0,0,0,0
"street_tunnel",2109324.8515625,43871.2690429688,1550692.84765625,0,0,0,438323.0625,0,76443.5961914062,0,0,0
"street",21608330.0566406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
