"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";276659250;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";72602385;0;10613710,96875;68119,3901367188;0;86529,8010253906;48581770,75;60755,2033691406;7119386,421875;4893534,71875;736425,59765625;441855,4140625
"building_hard_mr";34847042,5;0;2507716,5;25047,1640625;0;46587,6696777344;29392846,75;14527,3205566406;1728250;932253,796875;159800,921875;40075,4396972656
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";28096729,75;0;4519198,390625;112635,217773438;0;3004375,8671875;12709361,78125;282736,768554688;409164,157226562;147115,001464844;1818250,3359375;5093858,34375
"building_wood_mr";3193638,6796875;0;513503,505859375;12843,3475341797;0;341494,970703125;1444646,76171875;32108,3216552734;46557,1082763672;16512,8612670898;206869,614257812;579095,8125
"building";138739778,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";62059,337890625;0;43895,6225585938;0;18163,7059326172;0;0;0;0;0;0;0
"other_parking";1582329,40625;0;1404171,93359375;0;178155,890625;0;0;0;0;0;0;0
"other_remaining_impervious";119461310,5;0;106011301,75;0;13450340,84375;0;0;0;0;0;0;0
"other";121105593;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1080048,07617188;0;0;0;0;0;1019570,60974121;0;60474,5523319244;0;0;0
"rail_other";291,851898193359;0;0;0;0;0;0;0;103,474830627441;0;0;188,377304077148
"rail_railway";717555,626953125;0;640285,689453125;0;0;0;5311,44660186768;0;33386,1932373047;0;0;13468,6240234375
"rail_shinkansen";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";9,33899879455566;0;0;0;0;0;0;0;3,31110000610352;0;0;6,02789974212646
"rail_tunnel";3313017,0546875;0;0;0;0;0;3279119,59570312;0;33897,3761749268;0;0;0
"rail";5110990,43652344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";12415,166015625;0;8797,8818359375;0;0;0;1198,15502929688;0;2419,13208007812;0;0;0
"street_bridge_other";76837,8056640625;0;54450,3442993164;0;0;0;7415,41315460205;0;14972,0811309814;0;0;0
"street_gravel";5077,04046630859;0;5077,04046630859;0;0;0;0;0;0;0;0;0
"street_living_street";161849,258270264;0;140648,410247803;0;21201,0248184204;0;0;0;0;0;0;0
"street_motorway";2901731,78125;0;2583556,75;0;318182,158203125;0;0;0;0;0;0;0
"street_motorway_elevated";136,932006835938;0;0;0;136,932006835938;0;0;0;0;0;0;0
"street_other_elevated";847,475936889648;0;0;0;847,475936889648;0;0;0;0;0;0;0
"street_primary";1315275,265625;0;1150117,34375;0;165157,131347656;0;0;0;0;0;0;0
"street_secondary";1054256,1328125;0;885522,9765625;0;168729,985839844;0;0;0;0;0;0;0
"street_tertiary";5123490,546875;0;4546636,640625;0;576860,028320312;0;0;0;0;0;0;0
"street_tunnel";1050859,40625;21856,5122070312;772548,4453125;0;0;0;218370,9375;0;38083,8720703125;0;0;0
"street";11702815,65625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
