"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",840992604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",150593513.375,0,22015274.640625,141294.869995117,0,179482.663208008,100769832,126019.930541992,14767221.984375,10150309.125,1527512.29003906,916507.674804688
"building_hard_mr",127151319.390625,0,9150270.140625,91393.0847167969,0,169990.907897949,107249609.171875,53008.0205764771,6306113.00976562,3401648.04931641,583087.645324707,146228.971328735
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",49220134.96875,0,7916784.77734375,197315.474975586,0,5263084.171875,22264417.0625,495302.240722656,716779.723144531,257718.461303711,3185234.44726562,8923498.8828125
"building_wood_mr",17251971.9775391,0,2773949.08679199,69379.6417770386,0,1844756.30761719,7803977.80371094,173449.147613525,251501.574775696,89202.4144287109,1117506.3815918,3128280.39819336
"building",344217239.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",308984.578125,0,218549.8828125,0,90434.46484375,0,0,0,0,0,0,0
"other_parking",7542633.328125,0,6693404.48828125,0,849233.719238281,0,0,0,0,0,0,0
"other_remaining_impervious",248237752.5,0,220288855.625,0,27949373.6875,0,0,0,0,0,0,0
"other",256089563.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1578631.14233398,0,0,0,0,0,1490255.43212891,0,88391.9893341064,0,0,0
"rail_other",91.1459980010986,0,0,0,0,0,0,0,32.3154048919678,0,0,58.8305988311768
"rail_railway",1568569.97070312,0,1399664.0078125,0,0,0,11611.0201568604,0,72982.3400268555,0,0,29442.1610412598
"rail_shinkansen",559885.3125,0,526889.8515625,0,0,0,8810.05590820312,0,24185.318359375,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",3386698.37011719,0,0,0,0,0,3352034.92480469,0,34650.8817138672,0,0,0
"rail",7093899.1484375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",584951.374511719,0,414519.517089844,0,0,0,56452.1419677734,0,113979.464355469,0,0,0
"street_bridge_other",2411779.078125,0,1709081.29296875,0,0,0,232754.92578125,0,469942.59375,0,0,0
"street_gravel",1007694.140625,0,1007694.140625,0,0,0,0,0,0,0,0,0
"street_living_street",5888309.19140625,0,5116969.90625,0,771320.770019531,0,0,0,0,0,0,0
"street_motorway",37093147.4375,0,33025134.5625,0,4067285.8671875,0,0,0,0,0,0,0
"street_motorway_elevated",6458.76368331909,0,0,0,6458.76368331909,0,0,0,0,0,0,0
"street_other_elevated",26600.5286254883,0,0,0,26600.5286254883,0,0,0,0,0,0,0
"street_primary",25518370.53125,0,22314112.84375,0,3204310.24609375,0,0,0,0,0,0,0
"street_secondary",23757588.125,0,19955374,0,3802319.4921875,0,0,0,0,0,0,0
"street_tertiary",133921209.5,0,118843016.25,0,15078342.625,0,0,0,0,0,0,0
"street_tunnel",3377392.328125,70245.4816894531,2482918.7421875,0,0,0,701830.6875,0,122399.337890625,0,0,0
"street",233593002.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
