"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";496131117,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";103326464,65625;0;15105286,1640625;96946,344909668;0;123148,065063477;69141054,296875;86465,7624511719;10132197,6855469;6964417,88476562;1048069,17749023;628840,706542969
"building_hard_mr";129594871,1875;0;9326107,72851562;93149,2718200684;0;173257,513366699;109310733,53125;54026,5440063477;6427306,20117188;3467020,02246094;594292,271240234;149038,698974609
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";129517,6875;0;7983,03271484375;88,4014282226562;0;174,881057739258;112387,03125;48,0442504882812;5550,07177734375;2732,7568359375;493,894866943359;59,5748672485352
"building_wood_lr";59830470,2265625;0;9623381,07421875;239850,465789795;0;6397630,69042969;27063950,671875;602073,23425293;871292,88293457;313273,616943359;3871872,40234375;10847116,9511719
"building_wood_mr";28318220,8886719;0;4553287,37524414;113883,129508972;0;3028067,44628906;12809804,9648438;284707,81842041;412826,161407471;146420,93296814;1834332,04858398;5134899,90429688
"building";321199274,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";262373,46875;0;185581,21875;0;76792,1640625;0;0;0;0;0;0;0
"other_parking";1904054,57617188;0;1654639,82519531;0;249416,1328125;0;0;0;0;0;0;0
"other_remaining_impervious";77806439,6875;0;67614345,890625;0;10192049,8847656;0;0;0;0;0;0;0
"other";79972886,28125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";586420,390686035;0;0;0;0;0;553585,099517822;0;32835,3032417297;0;0;0
"rail_railway";1250482,52392578;0;1115815,05566406;0;0;0;9256,29493331909;0;58181,9667053223;0;0;23471,2260742188
"rail_shinkansen";142145,21875;0;133767,984375;0;0;0;2236,77758789062;0;6140,1787109375;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";944320,96875;0;0;0;0;0;934658,953125;0;9661,83813476562;0;0;0
"rail";2923350,77587891;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";99431,25;0;70460,91796875;0;0;0;9595,84448242188;0;19374,4741210938;0;0;0
"street_bridge_other";2203422,80175781;0;1561436,30957031;0;0;0;212647,034667969;0;429343,860351562;0;0;0
"street_gravel";4067801,83203125;0;4067801,83203125;0;0;0;0;0;0;0;0;0
"street_living_street";45528770,8754883;0;39564888,3023682;0;5963916,6318512;0;0;0;0;0;0;0
"street_motorway";2055971,42504883;0;1830526,65307617;0;225442,218002319;0;0;0;0;0;0;0
"street_motorway_elevated";1102,06817626953;0;0;0;1102,06817626953;0;0;0;0;0;0;0
"street_other_elevated";24302,5065460205;0;0;0;24302,5065460205;0;0;0;0;0;0;0
"street_primary";11084774,375;0;9692970,6953125;0;1391905,50488281;0;0;0;0;0;0;0
"street_secondary";12550062,1757812;0;10541455,5732422;0;2008599,90014648;0;0;0;0;0;0;0
"street_tertiary";10534787,3310547;0;9348634,58984375;0;1186119,37109375;0;0;0;0;0;0;0
"street_tunnel";3885418,30807495;80811,8975563049;2856408,43017578;0;0;0;807400,125;0;140810,741836548;0;0;0
"street";92035903,2324219;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
