"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";465494207,154297;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";166240878,414062;0;24302763,4997559;155976,141170502;0;198131,586996078;111240223,737305;139113,543651104;16301597,6282349;11204960,3289185;1686221,32080078;1011734,4826889
"building_hard_mr";96995302,75;0;6980143,42578125;69717,8203582764;0;129674,863998413;81813713,515625;40436,1327018738;4810518,54492188;2594902,73999023;444799,150695801;111548,251083374
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";99636,7734375;0;6141,27392578125;68,0063934326172;0;134,534408569336;86458,3125;36,9599990844727;4269,619140625;2102,28466796875;379,948822021484;45,8303985595703
"building_wood_lr";68909471,0700684;0;11083688,5876923;276246,208076477;0;7368445,63308716;31170760,3085327;693436,109745026;1003506,23864174;360811,550707817;4459410,34609222;12493126,0254211
"building_wood_mr";12712818,0859375;0;2044090,20410156;51125,1385803223;0;1359377,77734375;5750666,40820312;127812,87322998;185328,066345215;65732,452911377;823479,572509766;2305196,70068359
"building";344958332,381836;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";95800,3671875;0;67761,2265625;0;28039,119140625;0;0;0;0;0;0;0
"other_parking";2447295,19073486;0;2126715,37548828;0;320576,315681458;0;0;0;0;0;0;0
"other_remaining_impervious";92344981,2490234;0;80248646,2207031;0;12096491,2926025;0;0;0;0;0;0;0
"other";94888165,9124146;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1053146;0;0;0;0;0;994177,1640625;0;58968,5625;0;0;0
"rail_railway";1026900,59375;0;916308,796875;0;0;0;7601,24963378906;0;47779,509765625;0;0;19274,736328125
"rail_shinkansen";501319,890625;0;471774,375;0;0;0;7888,74365234375;0;21655,2607421875;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";73,6229972839355;0;0;0;0;0;0;0;26,1027011871338;0;0;47,520299911499
"rail_tunnel";6043588;0;0;0;0;0;5981762,125;0;61835,220703125;0;0;0
"rail";8625110,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";324502,484375;0;229955,25;0;0;0;31316,8701171875;0;63230,271484375;0;0;0
"street_bridge_other";361387,815994263;0;256093,5470047;0;0;0;34876,520154953;0;70417,5027503967;0;0;0
"street_gravel";318995,274414062;0;318995,274414062;0;0;0;0;0;0;0;0;0
"street_living_street";5987988,75341797;0;5203568,29052734;0;784371,213989258;0;0;0;0;0;0;0
"street_motorway";2199449,0625;0;1958272,5625;0;241175,0703125;0;0;0;0;0;0;0
"street_motorway_elevated";3581,31420898438;0;0;0;3581,31420898438;0;0;0;0;0;0;0
"street_other_elevated";3985,89767181873;0;0;0;3985,89767181873;0;0;0;0;0;0;0
"street_primary";2378673,921875;0;2079982,1484375;0;298685,901367188;0;0;0;0;0;0;0
"street_secondary";2885392,48828125;0;2423596,6171875;0;461796,868896484;0;0;0;0;0;0;0
"street_tertiary";1836704,3125;0;1629907,9375;0;206797,0390625;0;0;0;0;0;0;0
"street_tunnel";722679,16796875;15030,8047790527;531284,823242188;0;0;0;150174,5625;0;26190,4404296875;0;0;0
"street";17023335,4158325;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
