"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",659548821.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",166240878.414062,0,24302763.4997559,155976.141170502,0,198131.586996078,111240223.737305,139113.543651104,16301597.6282349,11204960.3289185,1686221.32080078,1011734.4826889
"building_hard_mr",96995302.75,0,6980143.42578125,69717.8203582764,0,129674.863998413,81813713.515625,40436.1327018738,4810518.54492188,2594902.73999023,444799.150695801,111548.251083374
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",99636.7734375,0,6141.27392578125,68.0063934326172,0,134.534408569336,86458.3125,36.9599990844727,4269.619140625,2102.28466796875,379.948822021484,45.8303985595703
"building_wood_lr",68909471.0700684,0,11083688.5876923,276246.208076477,0,7368445.63308716,31170760.3085327,693436.109745026,1003506.23864174,360811.550707817,4459410.34609222,12493126.0254211
"building_wood_mr",12712818.0859375,0,2044090.20410156,51125.1385803223,0,1359377.77734375,5750666.40820312,127812.87322998,185328.066345215,65732.452911377,823479.572509766,2305196.70068359
"building",344958332.381836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",95800.3671875,0,67761.2265625,0,28039.119140625,0,0,0,0,0,0,0
"other_parking",7118167.10864258,0,6316709.05358887,0,801441.922195435,0,0,0,0,0,0,0
"other_remaining_impervious",268594402.367188,0,238351998.023438,0,30241196.6582031,0,0,0,0,0,0,0
"other",275808531.523926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1053146,0,0,0,0,0,994177.1640625,0,58968.5625,0,0,0
"rail_other",4095.13955688477,0,0,0,0,0,0,0,1451.9115524292,0,0,2643.22431945801
"rail_railway",1026900.59375,0,916308.796875,0,0,0,7601.24963378906,0,47779.509765625,0,0,19274.736328125
"rail_shinkansen",501319.890625,0,471774.375,0,0,0,7888.74365234375,0,21655.2607421875,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",6043588,0,0,0,0,0,5981762.125,0,61835.220703125,0,0,0
"rail",8629122.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",324502.484375,0,229955.25,0,0,0,31316.8701171875,0,63230.271484375,0,0,0
"street_bridge_other",361387.815994263,0,256093.5470047,0,0,0,34876.520154953,0,70417.5027503967,0,0,0
"street_gravel",297001.614257812,0,297001.614257812,0,0,0,0,0,0,0,0,0
"street_living_street",25309.0358886719,0,21993.7421875,0,3315.28332519531,0,0,0,0,0,0,0
"street_motorway",4923381.546875,0,4383510.203125,0,539861.174804688,0,0,0,0,0,0,0
"street_motorway_elevated",3581.31420898438,0,0,0,3581.31420898438,0,0,0,0,0,0,0
"street_other_elevated",3985.89767181873,0,0,0,3985.89767181873,0,0,0,0,0,0,0
"street_primary",3677649.04882812,0,3215855.60546875,0,461796.868896484,0,0,0,0,0,0,0
"street_secondary",2397259.5,0,2013588.53125,0,383676.328125,0,0,0,0,0,0,0
"street_tertiary",17416518.609375,0,15455559.5742188,0,1960941.75439453,0,0,0,0,0,0,0
"street_tunnel",722679.16796875,15030.8047790527,531284.823242188,0,0,0,150174.5625,0,26190.4404296875,0,0,0
"street",30153246.0437622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
