"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",1021544829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",268105435.375,0,39194391.0390625,251550.870544434,0,319537.16784668,179403444.3125,224357.020385742,26290443.734375,18070879.0898438,2719459.58203125,1631684.17089844
"building_hard_mr",422581601.8125,0,30410501.515625,303740.861755371,0,564957.491271973,356439442.34375,176169.224777222,20958088.5742188,11305246.5556641,1937863.16040039,485985.284423828
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",1267950.53125,0,78152.205078125,865.431121826172,0,1712.04864501953,1100245.1875,470.343032836914,54334.0302734375,26753.107421875,4835.12646484375,583.225280761719
"building_wood_lr",80916456.5625,0,13014997.5390625,324381.381347656,0,8652405.4609375,36602106.734375,814263.9140625,1178368.359375,423682.238769531,5236441.7734375,14669981.2109375
"building_wood_mr",57289930.265625,0,9211647.46875,230393.675109863,0,6126009.58984375,25915174.1328125,575985.066040039,835178.776367188,296221.122375488,3710985.96191406,10388299.8691406
"building",830163096.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",885362.359375,0,626231.65234375,0,259130.330078125,0,0,0,0,0,0,0
"other_parking",3089089.19433594,0,2684447.84179688,0,404646.234008789,0,0,0,0,0,0,0
"other_remaining_impervious",148552509.9375,0,129093487.6875,0,19459154.0390625,0,0,0,0,0,0,0
"other",152526696.6875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",3458732.28540039,0,0,0,0,0,3265065.37182617,0,193663.592376709,0,0,0
"rail_railway",1723118.87890625,0,1537565.53125,0,0,0,12754.7730712891,0,80172.8770751953,0,0,32342.4669189453
"rail_shinkansen",1202551.671875,0,1131680.390625,0,0,0,18923.1628417969,0,51946.0864257812,0,0,0
"rail_subway",1180351.3203125,0,939392.0078125,0,0,0,150735.479980469,0,90224.8693847656,0,0,0
"rail_subway_elevated",31938.349609375,0,26887.451171875,0,0,0,4314.47900390625,0,736.423217773438,0,0,0
"rail_subway_surface",30644.79296875,0,25798.462890625,0,0,0,4139.73583984375,0,706.5966796875,0,0,0
"rail_tram",3799.61810302734,0,0,0,0,0,0,0,1347.13784408569,0,0,2452.48052978516
"rail_tunnel",4850746.94775391,0,0,0,0,0,4801105.38110352,0,49630.8810138702,0,0,0
"rail",12481902.6015625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1289954.21948242,0,914111.712341309,0,0,0,124489.972923279,0,251351.632110596,0,0,0
"street_bridge_other",373600.778686523,0,264748.361633301,0,0,0,36055.2402267456,0,72797.2487640381,0,0,0
"street_gravel",752379.420166016,0,752379.420166016,0,0,0,0,0,0,0,0,0
"street_living_street",5740442.3359375,0,4988474.62097168,0,751950.747528076,0,0,0,0,0,0,0
"street_motorway",5686258.80664062,0,5062785.20605469,0,623510.139892578,0,0,0,0,0,0,0
"street_motorway_elevated",14261.7960090637,0,0,0,14261.7960090637,0,0,0,0,0,0,0
"street_other_elevated",4120.59754657745,0,0,0,4120.59754657745,0,0,0,0,0,0,0
"street_primary",2558842.57983398,0,2237526.83081055,0,321307.566375732,0,0,0,0,0,0,0
"street_secondary",3619307.9296875,0,3040042.50976562,0,579257.529296875,0,0,0,0,0,0,0
"street_tertiary",3591940.70870972,0,3187526.05462646,0,404420.350597382,0,0,0,0,0,0,0
"street_tunnel",2747643.859375,57147.4710693359,2019951.83398438,0,0,0,570966.75,0,99576.6719970703,0,0,0
"street",26378985.546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
