"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",1497945898.63281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",628990434.085938,0,91952113.015625,590152.992671967,0,749653.025497437,420890129.433594,526352.05815506,61678922.2436523,42395308.0319824,6380028.78131104,3828014.92434692
"building_hard_mr",392001634.992188,0,28209820.7705688,281760.189994812,0,524074.590978622,330645815.696289,163420.942694664,19441425.8475342,10487123.5349731,1797629.88711929,450816.149247169
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",645087.4375,0,39761.015625,440.300018310547,0,871.0283203125,559764.9375,239.293502807617,27643.18359375,13611.0166015625,2459.93774414062,296.723968505859
"building_wood_lr",72781713.5898438,0,11706524.3652954,291770.240833282,0,7782516.15380859,32922389.4643555,732402.486999512,1059900.0442276,381087.509159088,4710004.16964722,13195158.5855713
"building_wood_mr",20269827.7181549,0,3259187.43286896,81516.0871029496,0,2167450.25915909,9169101.92105103,203790.125596285,295495.864168167,104806.445516944,1312990.2349329,3675500.00502777
"building",1114688904.60938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",5260811.1640625,0,3721061.61499023,0,1539749.96496582,0,0,0,0,0,0,0
"other_parking",7089981.55529785,0,6161247.46942139,0,928731.766624451,0,0,0,0,0,0,0
"other_remaining_impervious",258258593.310547,0,224428374.628906,0,33829799.9401855,0,0,0,0,0,0,0
"other",270609034.392578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1818192.02301788,0,0,0,0,0,1716391.59947968,0,101805.767858505,0,0,0
"rail_railway",5051083.41503906,0,4507145.11474609,0,0,0,37389.3420009613,0,235016.302139282,0,0,94808.7781219482
"rail_shinkansen",198219.703125,0,186536.953125,0,0,0,3119.14294433594,0,8562.322265625,0,0,0
"rail_subway",1377912.625,0,1096621.125,0,0,0,175964.875,0,105326.265625,0,0,0
"rail_subway_elevated",43176.60546875,0,36348.33984375,0,0,0,5832.6298828125,0,995.549133300781,0,0,0
"rail_subway_surface",1052.56188964844,0,886.104248046875,0,0,0,142.188201904297,0,24.2695980072021,0,0,0
"rail_tram",4681.24885559082,0,0,0,0,0,0,0,1659.71465110779,0,0,3021.53975868225
"rail_tunnel",10950080.9545898,0,0,0,0,0,10838026.9648438,0,112036.026321411,0,0,0
"rail",19444429.7354736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",710734.039855957,0,503653.479522705,0,0,0,68590.9509410858,0,138488.578609467,0,0,0
"street_bridge_other",1682714.39208984,0,1192439.40106201,0,0,0,162394.273357391,0,327882.035114288,0,0,0
"street_gravel",3594335.14743042,0,3594335.14743042,0,0,0,0,0,0,0,0,0
"street_living_street",31457171.4511719,0,27336557.2443237,0,4120644.60045624,0,0,0,0,0,0,0
"street_motorway",5542210.36474609,0,4934487.61376953,0,607717.60748291,0,0,0,0,0,0,0
"street_motorway_elevated",7883.22422075272,0,0,0,7883.22422075272,0,0,0,0,0,0,0
"street_other_elevated",18559.3555932045,0,0,0,18559.3555932045,0,0,0,0,0,0,0
"street_primary",18686507.6491699,0,16340058.3568115,0,2346440.84207153,0,0,0,0,0,0,0
"street_secondary",13942774.9501953,0,11711269.4199219,0,2231500.13342285,0,0,0,0,0,0,0
"street_tertiary",13557094.3234863,0,12030673.7979736,0,1526407.59902954,0,0,0,0,0,0,0
"street_tunnel",4001532.34570312,83226.5785589218,2941762.39239502,0,0,0,831527.4375,0,145018.485780716,0,0,0
"street",93201783.621582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
