"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";764987060,5625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";125678380,503906;0;18372989,8574219;117918,623794556;0;149788,158920288;84097603,8984375;105170,435569763;12324081,6625977;8470989,31665039;1274788,92425537;764875,576568604
"building_hard_mr";155866965,558594;0;11216707,0246582;112032,687147141;0;208380,52101326;131469950,701172;64979,0056695938;7730250,44995117;4169866,58584595;714767,383850098;179252,31893158
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";296015,65625;0;18245,40625;202,043502807617;0;399,694732666016;256863,171875;109,806259155273;12684,8193359375;6245,77978515625;1128,80822753906;136,159759521484
"building_wood_lr";54660071,2539062;0;8791765,40283203;219122,631435394;0;5844783,68505859;24725132,5737305;550044,459838867;795996,97277832;286201,834220886;3537269,79766846;9909725,21118164
"building_wood_mr";27200255,3271484;0;4373532,37109375;109387,123548508;0;2908529,67437744;12304085,048584;273467,819313049;396527,999420166;140640,506248474;1761912,10205078;4932177,50012207
"building";363703020,585938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";411106,9609375;0;290783,19140625;0;120324,01171875;0;0;0;0;0;0;0
"other_parking";4300504,4095459;0;3816304,6027832;0;484198,4947052;0;0;0;0;0;0;0
"other_remaining_impervious";233648695,265625;0;207343010,640625;0;26306903,9648438;0;0;0;0;0;0;0
"other";238361219,460938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1572934,64794922;0;0;0;0;0;1484858,46594238;0;88072,8581848145;0;0;0
"rail_other";3620,8609161377;0;0;0;0;0;0;0;1283,75847625732;0;0;2337,09841156006
"rail_railway";1329200,1875;0;1186073,2578125;0;0;0;9838,93701171875;0;61844,8608398438;0;0;24948,7990722656
"rail_shinkansen";614506,515625;0;578290;0;0;0;9669,751953125;0;26544,484375;0;0;0
"rail_subway";62105,65625;0;49427,28515625;0;0;0;7931,12646484375;0;4747,29736328125;0;0;0
"rail_subway_elevated";202010,328125;0;170063,515625;0;0;0;27289,1328125;0;4657,888671875;0;0;0
"rail_subway_surface";4747,3017578125;0;3996,53857421875;0;0;0;641,302185058594;0;109,46159362793;0;0;0
"rail_tram";4598,52099609375;0;0;0;0;0;0;0;1630,38293457031;0;0;2968,13330078125
"rail_tunnel";6849305,08398438;0;0;0;0;0;6779273,55029297;0;70079,1848907471;0;0;0
"rail";10643126,734375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";549441,099609375;0;389357,068359375;0;0;0;53025,1094970703;0;107060,129394531;0;0;0
"street_bridge_other";1369043,890625;0;970159,23046875;0;0;0;132122,931152344;0;266762,443359375;0;0;0
"street_gravel";275602,706787109;0;275602,706787109;0;0;0;0;0;0;0;0;0
"street_living_street";7244177,78125;0;6295230,6875;0;948926,1640625;0;0;0;0;0;0;0
"street_motorway";16227635,6875;0;14448203,203125;0;1779392,50622559;0;0;0;0;0;0;0
"street_motorway_elevated";6095,92520141602;0;0;0;6095,92520141602;0;0;0;0;0;0;0
"street_other_elevated";15099,7506713867;0;0;0;15099,7506713867;0;0;0;0;0;0;0
"street_primary";14779150,46875;0;12923541,125;0;1855808,73828125;0;0;0;0;0;0;0
"street_secondary";16066782,625;0;13495444,90625;0;2571421,015625;0;0;0;0;0;0;0
"street_tertiary";92134981,875;0;81761124,375;0;10373546,78125;0;0;0;0;0;0;0
"street_tunnel";3611818,06054688;75121,1699523926;2655256,8125;0;0;0;750544,3125;0;130894,820556641;0;0;0
"street";152279969,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
