"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",802794760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",262316360.75,0,38348076.8125,246119.536132812,0,312637.593017578,175529890.125,219511.606689453,25722797.78125,17680696.875,2660749.90039062,1596448.02734375
"building_hard_mr",236737580.5,0,17036479.4375,170160.39050293,0,316498.939208984,199683777,98693.1791992188,11741083.234375,6333371.0390625,1085625.16015625,272256.954589844
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",86119486.125,0,13851797.546875,345238.837402344,0,9208708.484375,38955579.15625,866620.122070312,1254133.21289062,450923.757324219,5573141.97265625,15613236.9375
"building_wood_mr",34406086.03125,0,5532161.56640625,138365.62298584,0,3679046.13671875,15563651.53125,345914.153808594,501575.123046875,177898.717529297,2228678.44921875,6238806.80859375
"building",619579226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",665911.275024414,0,471010.568756104,0,194901.081237793,0,0,0,0,0,0,0
"other_parking",2752679.5859375,0,2392099.77734375,0,360579.333984375,0,0,0,0,0,0,0
"other_remaining_impervious",138123893.125,0,120030848.875,0,18093162.59375,0,0,0,0,0,0,0
"other",141542565.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",684376.899414062,0,0,0,0,0,646053.812988281,0,38319.9970703125,0,0,0
"rail_railway",1261353.99609375,0,1125527.44140625,0,0,0,9336.79501342773,0,58688.4943847656,0,0,23675.2440795898
"rail_shinkansen",41387.07421875,0,38948.33203125,0,0,0,651.263427734375,0,1787.79235839844,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",174.998886108398,0,0,0,0,0,0,0,62.0450325012207,0,0,112.95386505127
"rail_tunnel",169877.427734375,0,0,0,0,0,168139.693359375,0,1738.10919952393,0,0,0
"rail",2157164.7109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",274912.627929688,0,194814.024414062,0,0,0,26531.0687255859,0,53567.5297851562,0,0,0
"street_bridge_other",833306.75,0,590513.70703125,0,0,0,80420.2534179688,0,162372.186523438,0,0,0
"street_gravel",1032888.48144531,0,1032888.48144531,0,0,0,0,0,0,0,0,0
"street_living_street",15627122.75,0,13580111.5,0,2047030.0703125,0,0,0,0,0,0,0
"street_motorway",2770836.734375,0,2467000.546875,0,303827.9609375,0,0,0,0,0,0,0
"street_motorway_elevated",3033.29005432129,0,0,0,3033.29005432129,0,0,0,0,0,0,0
"street_other_elevated",9190.87457275391,0,0,0,9190.87457275391,0,0,0,0,0,0,0
"street_primary",5103160.84375,0,4462334.59375,0,640790.9921875,0,0,0,0,0,0,0
"street_secondary",6944414.03125,0,5832994.96875,0,1111437.1484375,0,0,0,0,0,0,0
"street_tertiary",6236743.625,0,5534541.03125,0,702203.2578125,0,0,0,0,0,0,0
"street_tunnel",680362.75,14150.6690673828,500174.98828125,0,0,0,141381,0,24656.8577880859,0,0,0
"street",39515933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
