"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";270119489,625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";58335845,03125;0;8528096,875;54733,9799804688;0;69526,6044158936;39035654,6640625;48816,6977539062;5720435,44921875;3931964,22363281;591716,342651367;355031,693359375
"building_hard_mr";59120504,9609375;0;4254516,56445312;42494,243560791;0;79038,9260406494;49866973,7734375;24646,5632514954;2932096,19042969;1581629,81518555;271112,185791016;67990,5463562012
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";19449836,859375;0;3128407,2409668;77971,1277236938;0;2079766,62268066;8798021,28417969;195724,031707764;283243,09954834;101840,036346436;1258681,1595459;3526210,64868164
"building_wood_mr";8148260,62207031;0;1310160,07470703;32768,6145248413;0;871293,81640625;3685887,25891113;81921,5129013062;118786,397338867;42130,9862957001;527808,848449707;1477516,18469238
"building";145054551,78125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";265722,90625;0;187950,390625;0;77772,5390625;0;0;0;0;0;0;0
"other_parking";1963335,9017334;0;1742279,45812988;0;221053,875511169;0;0;0;0;0;0;0
"other_remaining_impervious";94616652,40625;0;83963850,140625;0;10653007,1855469;0;0;0;0;0;0;0
"other";96845703,21875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";236177,03515625;0;0;0;0;0;222953,0546875;0;13224,2159423828;0;0;0
"rail_other";0;0;0;0;0;0;0;0;0;0;0;0
"rail_railway";480914,255859375;0;429124,494140625;0;0;0;3559,81019592285;0;22375,7458496094;0;0;9026,57180786133
"rail_shinkansen";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";4782,498046875;0;0;0;0;0;0;0;1695,61145019531;0;0;3086,87524414062
"rail_tunnel";868413,7265625;0;0;0;0;0;859525,6015625;0;8885,17163085938;0;0;0
"rail";1590272,234375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";150297,307128906;0;106506,582519531;0;0;0;14504,8099975586;0;29285,9010009766;0;0;0
"street_bridge_other";313836,687988281;0;222397,200683594;0;0;0;30287,5537109375;0;61151,9735107422;0;0;0
"street_gravel";8577,92905044556;0;8577,92905044556;0;0;0;0;0;0;0;0;0
"street_living_street";283775,823486328;0;246603,671630859;0;37172,3985595703;0;0;0;0;0;0;0
"street_motorway";8797526,51953125;0;7832915,609375;0;964680,092773438;0;0;0;0;0;0;0
"street_motorway_elevated";1657,72997283936;0;0;0;1657,72997283936;0;0;0;0;0;0;0
"street_other_elevated";3461,43258666992;0;0;0;3461,43258666992;0;0;0;0;0;0;0
"street_primary";6327126,390625;0;5532640,4296875;0;794491,149414062;0;0;0;0;0;0;0
"street_secondary";3034126,98828125;0;2548526,38476562;0;485604,731933594;0;0;0;0;0;0;0
"street_tertiary";5450002,61547852;0;4836380,25158691;0;613620,715316772;0;0;0;0;0;0;0
"street_tunnel";2257781,0703125;46958,9144287109;1659828,8515625;0;0;0;469172,25;0;81823,7253417969;0;0;0
"street";26628322,90625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
