"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",272051266.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",93966323.625,0,13737044.875,88164.4600830078,0,111993.004394531,62878022.25,78633.4393310547,9214384.40625,6333532.03125,953130.056640625,571877.90234375
"building_hard_mr",82821437,0,5960128.5703125,59529.9474487305,0,110725.448852539,69858159.125,34527.2760925293,4107555.68359375,2215701.61914062,379800.0078125,95247.4122314453
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",72152.421875,0,4447.23095703125,49.247142791748,0,97.4236907958984,62609.171875,26.7647514343262,3091.86401367188,1522.37902832031,275.141632080078,33.1882934570312
"building_wood_lr",22618162.375,0,3638000.44921875,90672.3771972656,0,2418549.515625,10231188.515625,227605.953613281,329382.075195312,118428.899902344,1463711.3046875,4100610
"building_wood_mr",7751144.1875,0,1246302.63671875,31171.4881591797,0,828827.774414062,3506234.421875,77928.7827148438,112996.775756836,40077.6197814941,502083.346679688,1405502.49609375
"building",207229818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",274337.3125,0,194043.375,0,80293.8203125,0,0,0,0,0,0,0
"other_parking",734547.68359375,0,638327.945800781,0,96220.0113525391,0,0,0,0,0,0,0
"other_remaining_impervious",41367169.1875,0,35948433.625,0,5418778.3203125,0,0,0,0,0,0,0
"other",42376142.5625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",239342.236328125,0,0,0,0,0,225941.302734375,0,13401.4689331055,0,0,0
"rail_railway",388725.275390625,0,346868.384765625,0,0,0,2877.47717285156,0,18086.2542724609,0,0,7296.42727661133
"rail_shinkansen",2625.85693359375,0,2471.1103515625,0,0,0,41.3202018737793,0,113.428009033203,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",7261.30772399902,0,0,0,0,0,0,0,2574.47167396545,0,0,4686.8807220459
"rail_tunnel",57102.8522949219,0,0,0,0,0,56518.5275878906,0,584.249229431152,0,0,0
"rail",695044.150497437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",359524.353515625,0,254773.22265625,0,0,0,34696.6940917969,0,70054.345703125,0,0,0
"street_bridge_other",418816.852294922,0,296790.00378418,0,0,0,40418.915802002,0,81607.7522583008,0,0,0
"street_gravel",41273.5966796875,0,41273.5966796875,0,0,0,0,0,0,0,0,0
"street_living_street",4392389.09375,0,3817026.03125,0,575366.8515625,0,0,0,0,0,0,0
"street_motorway",2183402.13189697,0,1943987.12487793,0,239415.131999969,0,0,0,0,0,0,0
"street_motorway_elevated",3991.25875854492,0,0,0,3991.25875854492,0,0,0,0,0,0,0
"street_other_elevated",4619.30276489258,0,0,0,4619.30276489258,0,0,0,0,0,0,0
"street_primary",3584724.77578735,0,3134614.47180176,0,450133.147750854,0,0,0,0,0,0,0
"street_secondary",5214284.75976562,0,4379768.31445312,0,834535.859375,0,0,0,0,0,0,0
"street_tertiary",4967655,0,4408346.28125,0,559312.1796875,0,0,0,0,0,0,0
"street_tunnel",579812.350585938,12059.3210220337,426253.574462891,0,0,0,120486.375,0,21012.856552124,0,0,0
"street",21750431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
