"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";1622705295,15674;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";346777914,09375;0;50695423,9296875;325365,171356201;0;413301,128295898;232046844,5625;290190,538299561;34005065,1953125;23373472,3085938;3517452,41113281;2110476,84838867
"building_hard_mr";702941875,704086;0;50586181,6475334;505255,636017427;0;939774,120040134;592917809,093384;293048,213541597;34862675,7306309;18805612,8871336;3223527,30595833;808408,768018499
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";4129515,1953125;0;254529,244140625;2818,57228088379;0;5575,86965942383;3583324,125;1531,83237457275;176957,255371094;87130,609375;15747,2366943359;1899,47204589844
"building_wood_lr";40850521,9765625;0;6570579,56835938;163763,049530029;0;4368120,6171875;18478474,9550781;411079,11328125;594893,880371094;213894,600036621;2643602,85498047;7406090,80761719
"building_wood_mr";33887427,5820312;0;5448753,45410156;136279,985076904;0;3623584,90087891;15329059,4589844;340700,257019043;494014,696472168;175217,077545166;2195078,77685547;6144765,23144531
"building";1128586577,86034;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";679308,375;0;480486,53125;0;198822,03125;0;0;0;0;0;0;0
"other_parking";11838167,7216797;0;10505276,6557617;0;1332871,44351196;0;0;0;0;0;0;0
"other_remaining_impervious";408605855,70265;0;362600212,25765;0;46005455,0895312;0;0;0;0;0;0;0
"other";421123153,45265;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";2187941,05371094;0;0;0;0;0;2065412,88378906;0;122507,343322754;0;0;0
"rail_other";3569,91741943359;0;0;0;0;0;0;0;1265,69319152832;0;0;2304,21136474609
"rail_railway";2542055,18554688;0;2268321,41210938;0;0;0;18816,830078125;0;118276,435302734;0;0;47713,9214477539
"rail_shinkansen";670709,051269531;0;631183,537109375;0;0;0;10554,1637649536;0;28972,2301940918;0;0;0
"rail_subway";1754466,03125;0;1396304,9140625;0;0;0;224051,6640625;0;134109,81640625;0;0;0
"rail_subway_elevated";123345,25390625;0;103839,0546875;0;0;0;16662,4321289062;0;2844,05389404297;0;0;0
"rail_subway_surface";62406,796875;0;52537,455078125;0;0;0;8430,39086914062;0;1438,95355224609;0;0;0
"rail_tram";56,5950012207031;0;0;0;0;0;0;0;20,0654983520508;0;0;36,5294990539551
"rail_tunnel";3998442,2734375;0;0;0;0;0;3957530,4140625;0;40910,2452392578;0;0;0
"rail";11342948,5742188;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1526863,0625;0;1081991,5;0;0;0;147353,3984375;0;297512,828125;0;0;0
"street_bridge_other";1164567,56811523;0;825260,28994751;0;0;0;112389,292697906;0;226919,559799194;0;0;0
"street_gravel";133256,112426758;0;133256,112426758;0;0;0;0;0;0;0;0;0
"street_living_street";117438,790039062;0;102055,254638672;0;15383,580871582;0;0;0;0;0;0;0
"street_motorway";7499348;0;6677023,75;0;822323,875;0;0;0;0;0;0;0
"street_motorway_elevated";16963,5932617188;0;0;0;16963,5932617188;0;0;0;0;0;0;0
"street_other_elevated";12844,5020728111;0;0;0;12844,5020728111;0;0;0;0;0;0;0
"street_primary";3354217,171875;0;2933014,84082031;0;421182,680908203;0;0;0;0;0;0;0
"street_secondary";2265103,79003906;0;1902580,65380859;0;362523,409301758;0;0;0;0;0;0;0
"street_tertiary";43881566,8687744;0;38941013,5249634;0;4940661,01171875;0;0;0;0;0;0;0
"street_tunnel";1682604,4152832;34995,9263401031;1236981,31750488;0;0;0;349648,875;0;60978,7466545105;0;0;0
"street";61654763,0664062;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
