"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",1316280459.09654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",346777754.09375,0,50695401.9296875,325365.030731201,0,413300.925170898,232046740.5625,290190.397674561,34005050.1953125,23373462.3085938,3517450.78613281,2110475.78588867
"building_hard_mr",702941235.704086,0,50586137.6475334,505255.198517427,0,939773.370040134,592917265.093384,293047.963541597,34862645.7306309,18805596.8871336,3223524.43095833,808408.049268499
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",4129515.1953125,0,254529.244140625,2818.57228088379,0,5575.86965942383,3583324.125,1531.83237457275,176957.255371094,87130.609375,15747.2366943359,1899.47204589844
"building_wood_lr",40850489.9765625,0,6570574.56835938,163762.932342529,0,4368117.6171875,18478460.9550781,411078.83203125,594893.442871094,213894.443786621,2643600.85498047,7406085.30761719
"building_wood_mr",33887427.5820312,0,5448753.45410156,136279.985076904,0,3623584.90087891,15329059.4589844,340700.257019043,494014.696472168,175217.077545166,2195078.77685547,6144765.23144531
"building",1128585777.86034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",679308.375,0,480486.53125,0,198822.03125,0,0,0,0,0,0,0
"other_parking",4070081.88476562,0,3536916.78027344,0,533147.650756836,0,0,0,0,0,0,0
"other_remaining_impervious",140482651.814325,0,122080541.592575,0,18402130.0303438,0,0,0,0,0,0,0
"other",145232145.95495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2187941.05371094,0,0,0,0,0,2065412.88378906,0,122507.343322754,0,0,0
"rail_railway",2477966.68554688,0,2211129.84960938,0,0,0,18342.4487304688,0,115294.720458984,0,0,46511.0269165039
"rail_shinkansen",670709.051269531,0,631183.537109375,0,0,0,10554.1637649536,0,28972.2301940918,0,0,0
"rail_subway",1754466.03125,0,1396304.9140625,0,0,0,224051.6640625,0,134109.81640625,0,0,0
"rail_subway_elevated",123345.25390625,0,103839.0546875,0,0,0,16662.4321289062,0,2844.05389404297,0,0,0
"rail_subway_surface",62406.796875,0,52537.455078125,0,0,0,8430.39086914062,0,1438.95355224609,0,0,0
"rail_tram",4869.42828369141,0,0,0,0,0,0,0,1726.42539978027,0,0,3142.98411560059
"rail_tunnel",3998442.2734375,0,0,0,0,0,3957530.4140625,0,40910.2452392578,0,0,0
"rail",11280103.5742188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1526863.0625,0,1081991.5,0,0,0,147353.3984375,0,297512.828125,0,0,0
"street_bridge_other",1164567.56811523,0,825260.28994751,0,0,0,112389.292697906,0,226919.559799194,0,0,0
"street_gravel",234476.272949219,0,234476.272949219,0,0,0,0,0,0,0,0,0
"street_living_street",15087879.7156372,0,13111489.2625122,0,1976392.36132812,0,0,0,0,0,0,0
"street_motorway",4255561.625,0,3788921.625,0,466632.171875,0,0,0,0,0,0,0
"street_motorway_elevated",16963.5932617188,0,0,0,16963.5932617188,0,0,0,0,0,0,0
"street_other_elevated",12844.5020728111,0,0,0,12844.5020728111,0,0,0,0,0,0,0
"street_primary",2837086.75,0,2480819.375,0,356247.859375,0,0,0,0,0,0,0
"street_secondary",2631629.30859375,0,2210441.84570312,0,421182.680908203,0,0,0,0,0,0,0
"street_tertiary",1735451.62890625,0,1540054.48583984,0,195397.043395996,0,0,0,0,0,0,0
"street_tunnel",1682604.4152832,34995.9263401031,1236981.31750488,0,0,0,349648.875,0,60978.7466545105,0,0,0
"street",31185909.1865234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
