"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";607917315,320312;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";167149148,839844;0;24435518,1130371;156827,585075378;0;199213,76382637;111847513,620117;139873,808853149;16390616,6422119;11266208,8778076;1695425,97515869;1017256,98122406
"building_hard_mr";147295020,921875;0;10599892,4106445;105871,660384178;0;196920,821510315;124240564,298828;61405,7923841476;7305142,44360352;3940552,45849609;675460,920425415;169395,326339722
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";21280455,1368484;0;3422842,85551786;85309,7681468576;0;2275514,9589386;9626082,83520126;214145,267311648;309902,221918523;111425,144441962;1377145,96226656;3858106,73496246
"building_wood_mr";5922510,93649292;0;952277,64471817;23817,591230832;0;633292,368525505;2679056,0643177;59543,9036926925;86338,7562976778;30622,7305191159;383633,225889802;1073918,04817557
"building";341646960,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";1514342,00939941;0;1071120,21252441;0;443222,250488281;0;0;0;0;0;0;0
"other_parking";3511481,64233398;0;3116113,98388672;0;395361,581481934;0;0;0;0;0;0;0
"other_remaining_impervious";191237408,78125;0;169706160,34375;0;21531747,4255371;0;0;0;0;0;0;0
"other";196263618,546875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";557068,997924805;0;0;0;0;0;525875,789794922;0;31191,724822998;0;0;0
"rail_other";0;0;0;0;0;0;0;0;0;0;0;0
"rail_railway";622805,095703125;0;555728,203125;0;0;0;4610,1565322876;0;28977,7022094727;0;0;11689,9760742188
"rail_shinkansen";346964,98046875;0;326518,19921875;0;0;0;5459,79418945312;0;14987,7203369141;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";3419,94604492188;0;0;0;0;0;0;0;1212,52856445312;0;0;2207,4248046875
"rail_tunnel";4068003,56213379;0;0;0;0;0;4026395,3918457;0;41621,9716911316;0;0;0
"rail";5598319,64550781;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";29423,853515625;0;20850,91796875;0;0;0;2839,62133789062;0;5733,3310546875;0;0;0
"street_bridge_other";434632,916992188;0;307997,923095703;0;0;0;41945,3325805664;0;84689,5514526367;0;0;0
"street_gravel";164847,944641113;0;164847,944641113;0;0;0;0;0;0;0;0;0
"street_living_street";2159202,6171875;0;1876361,67236328;0;282840,708068848;0;0;0;0;0;0;0
"street_motorway";3211564,71289062;0;2859414,88671875;0;352157,137573242;0;0;0;0;0;0;0
"street_motorway_elevated";324,528015136719;0;0;0;324,528015136719;0;0;0;0;0;0;0
"street_other_elevated";4793,75062179565;0;0;0;4793,75062179565;0;0;0;0;0;0;0
"street_primary";7151507,5703125;0;6253497,94921875;0;898017,0234375;0;0;0;0;0;0;0
"street_secondary";6879638,73046875;0;5778564,671875;0;1101060,51269531;0;0;0;0;0;0;0
"street_tertiary";43937075,3859863;0;38990091,5605469;0;4946915,40457153;0;0;0;0;0;0;0
"street_tunnel";434887,690429688;9045,10102844238;319711,341308594;0;0;0;90370,6875;0;15760,6640930176;0;0;0
"street";64407664,5224609;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
