"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";335601248;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";76258738;0;11148255,5;71549,982421875;0;90887,69921875;51028567;63814,6640625;7477939,75;5139993,75;773512,1875;464107,9609375
"building_hard_mr";114551298;0;8243506,25;82336,2138671875;0;153145,494140625;96621720;47755,03515625;5681203,5;3064559,75;525305,984375;131738,19140625
"building_high";583075,6875;0;33057,04296875;393,616973876953;0;794,0205078125;512720,0625;196,808486938477;23101,248046875;10722,6689453125;2008,80407714844;81,4379959106445
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";41999634;0;6755390,375;168369,66015625;0;4491001,625;18998304,5;422641,359375;611629,375;219911,58984375;2717972,1875;7614438,75
"building_wood_mr";16140397;0;2595215;64909,4384765625;0;1725895,53125;7301139;162273,22265625;235296,58203125;83454,818359375;1045505,375;2926713,625
"building";249532712;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";58776,0390625;0;41573,30078125;0;17202,744140625;0;0;0;0;0;0;0
"other_parking";1993074,78125;0;1731993,84375;0;261076,33984375;0;0;0;0;0;0;0
"other_remaining_impervious";54082875;0;46998516;0;7084438,75;0;0;0;0;0;0;0
"other";56134698;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";973709,515625;0;0;0;0;0;919188,3828125;0;54520,6682128906;0;0;0
"rail_railway";1005489,125;0;897217,25;0;0;0;7442,85083007812;0;46783,408203125;0;0;18872,9384765625
"rail_shinkansen";571846,75;0;538144,6875;0;0;0;8998,4990234375;0;24701,841796875;0;0;0
"rail_subway";1005274,5625;0;800055,1875;0;0;0;128377,34375;0;76841,875;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";10776,9892578125;0;9072,6630859375;0;0;0;1455,83837890625;0;248,491973876953;0;0;0
"rail_tram";2518,56113433838;0;0;0;0;0;0;0;892,944225311279;0;0;1625,61666870117
"rail_tunnel";1529274,59375;0;0;0;0;0;1513628,15625;0;15646,8117675781;0;0;0
"rail";5098896,625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";278367,078125;0;197261,856445312;0;0;0;26864,4676513672;0;54240,5861816406;0;0;0
"street_bridge_other";417796,125;0;296067,0625;0;0;0;40320,3955078125;0;81408,91796875;0;0;0
"street_gravel";141609,8046875;0;141609,8046875;0;0;0;0;0;0;0;0;0
"street_living_street";5390343,625;0;4684256,625;0;706093,109375;0;0;0;0;0;0;0
"street_motorway";2228106,8125;0;1983789,5;0;244317,078125;0;0;0;0;0;0;0
"street_motorway_elevated";3070,21002197266;0;0;0;3070,21002197266;0;0;0;0;0;0;0
"street_other_elevated";4608,04455566406;0;0;0;4608,04455566406;0;0;0;0;0;0;0
"street_primary";3815944,125;0;3336775;0;479160,828125;0;0;0;0;0;0;0
"street_secondary";5444459;0;4573091;0;871369,28125;0;0;0;0;0;0;0
"street_tertiary";5408205,625;0;4799297,875;0;608913,6875;0;0;0;0;0;0;0
"street_tunnel";1702116,5625;35401,734375;1251325,78125;0;0;0;353703,375;0;61685,818359375;0;0;0
"street";24834570;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
