"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";603794367,226562;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";140067370,833252;0;20476449,7003479;131418,481313229;0;166937,058005095;93726053,3449707;117210,999439955;13734997,3454895;9440817,29748535;1420737,39434814;852442,652133942
"building_hard_mr";85875657,8014832;0;6179910,85329819;61725,0435397625;0;114808,398699999;72434177,86203;35800,5556412339;4259021,15054321;2297405,26339722;393805,315819502;98760,0090922713
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";64533238,2568588;0;10379825,020081;258704,236960754;0;6900525,05021703;29191271,269207;649398,90462932;939781,126600564;337898,50582245;4176211,95015383;11699725,887706
"building_wood_mr";11613084,6757812;0;1867265,29492188;46702,4676513672;0;1241786,984375;5253196,19140625;116756,276672363;169296,492980957;60046,1956481934;752243,815429688;2105785,75292969
"building";302088848,406982;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";64178,57421875;0;45394,59765625;0;18783,97265625;0;0;0;0;0;0;0
"other_parking";6022092,75195312;0;5344055,67675781;0;678033,588256836;0;0;0;0;0;0;0
"other_remaining_impervious";245708458,093018;0;218044692,73584;0;27664670,3731689;0;0;0;0;0;0;0
"other";251794765,843018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";414366,439453125;0;0;0;0;0;391165,2109375;0;23201,5404052734;0;0;0
"rail_other";2131,23913955688;0;0;0;0;0;0;0;755,620779037476;0;0;1375,62042999268
"rail_railway";964289,510513306;0;860451,76348877;0;0;0;7137,92867767811;0;44866,3101286888;0;0;18099,3620722294
"rail_shinkansen";795500,40625;0;748618,90625;0;0;0;12517,8969726562;0;34362,9130859375;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";1468869,90625;0;0;0;0;0;1453846,84375;0;15028,783203125;0;0;0
"rail";3645149,82301331;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";272995,59375;0;193455,19921875;0;0;0;26346,037109375;0;53193,921875;0;0;0
"street_bridge_other";538176,303466797;0;381373,335571289;0;0;0;51938,0065917969;0;104865,02935791;0;0;0
"street_gravel";260784,282226562;0;260784,282226562;0;0;0;0;0;0;0;0;0
"street_living_street";1492407,19546509;0;1296905,36047363;0;195493,225833893;0;0;0;0;0;0;0
"street_motorway";8270890,625;0;7363998,0859375;0;906930,821289062;0;0;0;0;0;0;0
"street_motorway_elevated";3020,84899902344;0;0;0;3020,84899902344;0;0;0;0;0;0;0
"street_other_elevated";5935,76723098755;0;0;0;5935,76723098755;0;0;0;0;0;0;0
"street_primary";5634862;0;4927298,25;0;707563,265625;0;0;0;0;0;0;0
"street_secondary";5532074,5;0;4646688,8125;0;885390,431640625;0;0;0;0;0;0;0
"street_tertiary";23101278,0859375;0;20500290,6484375;0;2601000,42956543;0;0;0;0;0;0;0
"street_tunnel";1150458,53125;23928,0915527344;845769,4609375;0;0;0;239068,125;0;41693,5014648438;0;0;0
"street";46262891,8209534;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
