"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",588822661.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",165062737.5,0,24130519.7890625,154870.702392578,0,196727.399414062,110451910.65625,138127.936798096,16186125.0429688,11125581.8398438,1674277.84472656,1004568.36132812
"building_hard_mr",195470555.203125,0,14066774.1425781,140499.0650177,0,261327.903625488,164875696.34375,81489.4097137451,9694428.50292969,5229373.86572266,896383.966430664,224798.917938232
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",492818.59375,0,30375.66796875,336.369964599609,0,665.427429199219,427635.90625,182.809768676758,21118.181640625,10398.21875,1879.2841796875,226.68408203125
"building_wood_lr",42447547.5078125,0,6827453.9921875,170165.240692139,0,4538896.01171875,19200884.96875,427148.782226562,618151.341430664,222256.445861816,2746956.24316406,7695635.1171875
"building_wood_mr",19633021.8789062,0,3156792.80786133,78955.2210998535,0,2099358.77978516,8881035.46484375,197387.542419434,286212.523986816,101513.660041809,1271742.77648926,3560031.74121094
"building",423107279.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",1258091.36523438,0,889869.204101562,0,368221.818359375,0,0,0,0,0,0,0
"other_parking",1613100.31835938,0,1401795.98535156,0,211302.932983398,0,0,0,0,0,0,0
"other_remaining_impervious",81691440.53125,0,70990374.96875,0,10700998.140625,0,0,0,0,0,0,0
"other",84562940.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1933071.96508789,0,0,0,0,0,1824832.30981445,0,108238.056884766,0,0,0
"rail_railway",1107373.58496094,0,988141.03125,0,0,0,8197.00875091553,0,51523.6624755859,0,0,20785.4805145264
"rail_shinkansen",603250.762695312,0,567697.838134766,0,0,0,9492.67321014404,0,26058.2946624756,0,0,0
"rail_subway",801168.4375,0,637615.15625,0,0,0,102312.165039062,0,61240.4077148438,0,0,0
"rail_subway_elevated",39019.80859375,0,32848.98828125,0,0,0,5271.09716796875,0,899.704467773438,0,0,0
"rail_subway_surface",24943.087890625,0,20998.4521484375,0,0,0,3369.50439453125,0,575.128746032715,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",3785855.22827148,0,0,0,0,0,3747115.82641602,0,38735.0345363617,0,0,0
"rail",8294661.05273438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",456402.585205078,0,323425.938842773,0,0,0,44046.436706543,0,88931.5531311035,0,0,0
"street_bridge_other",1262034.40185547,0,894328.548583984,0,0,0,121795.758636475,0,245911.099731445,0,0,0
"street_gravel",3112299.0234375,0,3112299.0234375,0,0,0,0,0,0,0,0,0
"street_living_street",33232459.8828125,0,28879278.3476562,0,4353193.56298828,0,0,0,0,0,0,0
"street_motorway",5871351.06640625,0,5227502.19921875,0,643800.998535156,0,0,0,0,0,0,0
"street_motorway_elevated",5057.47472381592,0,0,0,5057.47472381592,0,0,0,0,0,0,0
"street_other_elevated",13919.4826126099,0,0,0,13919.4826126099,0,0,0,0,0,0,0
"street_primary",11022160.359375,0,9638191.3125,0,1384053.2265625,0,0,0,0,0,0,0
"street_secondary",10161815.0546875,0,8535501.07421875,0,1626380.21875,0,0,0,0,0,0,0
"street_tertiary",6295665.13574219,0,5586830.83691406,0,708834.990356445,0,0,0,0,0,0,0
"street_tunnel",1424381.14404297,29625.2624130249,1047145.86572266,0,0,0,295989.75,0,51620.6071395874,0,0,0
"street",72857712.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
