"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",432338059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",110422935.875,0,16142702.53125,103604.610107422,0,131605.927246094,73889725.125,92404.0045166016,10828093.640625,7442740.671875,1120051.54492188,672030.241210938
"building_hard_mr",98886732.25,0,7116228.875,71077.1583251953,0,132203.472167969,83408986.125,41224.6962890625,4904314.3046875,2645489.98046875,453472.204101562,113723.217041016
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",57706.296875,0,3556.82104492188,39.3870391845703,0,77.9178314208984,50073.7734375,21.4060020446777,2472.82104492188,1217.5732421875,220.053695678711,26.5434417724609
"building_wood_lr",25641556.375,0,4124293.4140625,102792.745849609,0,2741836.4765625,11598808.21875,258030.91015625,373410.48828125,134260.087158203,1659367.7890625,4648757.2890625
"building_wood_mr",13493154.328125,0,2169563.28515625,54263.3717651367,0,1442822.08789062,6103662.3125,135658.375732422,196704.344482422,69767.0607910156,874026.975585938,2446695.875
"building",248502243.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",908943.0625,0,642911.0625,0,266032.125,0,0,0,0,0,0,0
"other_parking",1997195.984375,0,1772331.4140625,0,224866.130859375,0,0,0,0,0,0,0
"other_remaining_impervious",148684848.5,0,131944585.75,0,16740609.0625,0,0,0,0,0,0,0
"other",151591045.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",144225.6953125,0,0,0,0,0,136149.521240234,0,8075.57565307617,0,0,0
"rail_other",1462.13616943359,0,0,0,0,0,0,0,518.392135620117,0,0,943.734985351562
"rail_railway",538823.025146484,0,480800.243652344,0,0,0,3988.5031452179,0,25070.3621063232,0,0,10113.5744285583
"rail_shinkansen",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",310699.845947266,0,0,0,0,0,307521.268554688,0,3178.94128799438,0,0,0
"rail",995213.92578125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",47549.9545898438,0,33695.783203125,0,0,0,4588.91989135742,0,9265.24920654297,0,0,0
"street_bridge_other",310213.833984375,0,219829.764648438,0,0,0,29937.9022216797,0,60446.0920410156,0,0,0
"street_gravel",12298.0179443359,0,12298.0179443359,0,0,0,0,0,0,0,0,0
"street_living_street",591133.763671875,0,513700.454101562,0,77433.8901367188,0,0,0,0,0,0,0
"street_motorway",4251240.5625,0,3785080.375,0,466158.40625,0,0,0,0,0,0,0
"street_motorway_elevated",524.44787979126,0,0,0,524.44787979126,0,0,0,0,0,0,0
"street_other_elevated",3421.47576904297,0,0,0,3421.47576904297,0,0,0,0,0,0,0
"street_primary",2476543.921875,0,2165567.25,0,310976.884765625,0,0,0,0,0,0,0
"street_secondary",1228299.9309082,0,1031715.36279297,0,196585.693115234,0,0,0,0,0,0,0
"street_tertiary",21892432.5146484,0,19427527.5341797,0,2464891.60473633,0,0,0,0,0,0,0
"street_tunnel",436103.05078125,9070.37768554688,320604.71484375,0,0,0,90623.25,0,15804.7100830078,0,0,0
"street",31249769.9550781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
