"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",589897896.52449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",161725675.368851,0,23642640.0782213,151739.380838394,0,192749.909211598,108219375.202362,135335.101541728,15858873.4738951,10900657.6088338,1640429.14719617,984259.779406607
"building_hard_mr",125148285.363281,0,9006133.46801758,89953.0769729614,0,167312.636604309,105559996.929688,52172.6603889465,6206778.72827148,3348056.90014648,573900.341079712,143924.838493347
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",74103760.5117188,0,11919129.3599854,297068.836709976,0,7923856.28320312,33520310.0849609,745704.378883362,1079150.43849182,388008.712936401,4795539.79153442,13434765.7388916
"building_wood_mr",20685696.0375977,0,3326045.25097656,83188.515871048,0,2211918.34680176,9357208.68139648,207971.134841919,301557.078811646,106956.48292923,1339929.15478516,3750904.64147949
"building",381662658.689163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",499948.5703125,0,353622.189453125,0,146326.440429688,0,0,0,0,0,0,0
"other_parking",2116459.74957275,0,1839217.90113831,0,277238.935626984,0,0,0,0,0,0,0
"other_remaining_impervious",102058879.561888,0,88689946.3657627,0,13368924.8304024,0,0,0,0,0,0,0
"other",104675289.1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",2678361.3828125,0,0,0,0,0,2528417.84179688,0,149969.486450195,0,0,0
"rail_railway",1874494.25,0,1672656.734375,0,0,0,13875.4301757812,0,87215.009765625,0,0,35183.9194335938
"rail_shinkansen",981608.96875,0,923747.984375,0,0,0,15446.1794433594,0,42401.9794921875,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",23.3969993591309,0,0,0,0,0,0,0,8.29530048370361,0,0,15.1016998291016
"rail_tunnel",10837109.65625,0,0,0,0,0,10726242.9375,0,110880.561767578,0,0,0
"rail",16371756.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",545269.694091797,0,386399.918334961,0,0,0,52622.600769043,0,106247.248901367,0,0,0
"street_bridge_other",1844829.61105347,0,1307322.6187439,0,0,0,178040.515300751,0,359470.845932007,0,0,0
"street_gravel",7507776.16943359,0,7507776.16943359,0,0,0,0,0,0,0,0,0
"street_living_street",23527359.0507812,0,20445525.0068359,0,3081904.28479004,0,0,0,0,0,0,0
"street_motorway",6136542.8671875,0,5463664.6171875,0,672889.599609375,0,0,0,0,0,0,0
"street_motorway_elevated",6028.75724220276,0,0,0,6028.75724220276,0,0,0,0,0,0,0
"street_other_elevated",20347.4171578884,0,0,0,20347.4171578884,0,0,0,0,0,0,0
"street_primary",18017457.2412109,0,15755069.6767578,0,2262448.54345703,0,0,0,0,0,0,0
"street_secondary",13581192.3554688,0,11407598.2910156,0,2173625.06982422,0,0,0,0,0,0,0
"street_tertiary",11868395.28125,0,10532132.578125,0,1336271.85351562,0,0,0,0,0,0,0
"street_tunnel",4134025.02734375,85982.3767700195,3039169.39648438,0,0,0,859060.125,0,149820.104248047,0,0,0
"street",87189305.609375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
