"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";730904869,563477;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";140590053,15625;0;20552824,9257812;131908,877532959;0;167560,03817749;94075893,203125;117648,621246338;13786287,7167969;9476050,42773438;1426042,57226562;855626,952880859
"building_hard_mr";139140544,546875;0;10013077,3730469;100010,739181519;0;186019,886779785;117362543,890625;58006,224395752;6900727,14453125;3722396,984375;638067,715698242;160016,885391235
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";76982188,4082031;0;12382116,7478027;308608,3568573;0;8231653,9543457;34822395,0537109;774670,633300781;1121065,64749146;403080,992172241;4981820,39196777;13956658,1401367
"building_wood_mr";30455945,375;0;4897011,85144043;122479,967666626;0;3256656,0513916;13776786,2050781;306199,777534485;443990,011489868;157474,288787842;1972803,45812988;5522542,24145508
"building";387169204,3125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";116232,337890625;0;82213,1787109375;0;34019,2143554688;0;0;0;0;0;0;0
"other_parking";7014370,94384766;0;6224626,72363281;0;789756,092529297;0;0;0;0;0;0;0
"other_remaining_impervious";283395768,53125;0;251487802,65625;0;31907756,0078125;0;0;0;0;0;0;0
"other";290525765,608887;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1086200,63952637;0;0;0;0;0;1025383,60217285;0;60819,5329742432;0;0;0
"rail_other";669,768127441406;0;0;0;0;0;0;0;237,463218688965;0;0;432,304779052734
"rail_railway";1641410,56640625;0;1464678,45410156;0;0;0;12150,1413421631;0;76370,9812011719;0;0;30809,1331176758
"rail_shinkansen";635090,6328125;0;597661,15625;0;0;0;9993,69189453125;0;27433,7387695312;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";5570014,0390625;0;0;0;0;0;5513014,5234375;0;56989,6920166016;0;0;0
"rail";8933468,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";63355,3291015625;0;44896,1044921875;0;0;0;6114,25512695312;0;12344,9721679688;0;0;0
"street_bridge_other";605235,45123291;0;428893,340576172;0;0;0;58409,6317214966;0;117931,851608276;0;0;0
"street_gravel";354900,052734375;0;354900,052734375;0;0;0;0;0;0;0;0;0
"street_living_street";932534,700683594;0;810383,798339844;0;122155,193054199;0;0;0;0;0;0;0
"street_motorway";7353098,796875;0;6546834,421875;0;806292,827636719;0;0;0;0;0;0;0
"street_motorway_elevated";699,22797203064;0;0;0;699,22797203064;0;0;0;0;0;0;0
"street_other_elevated";6675,39216995239;0;0;0;6675,39216995239;0;0;0;0;0;0;0
"street_primary";6644695,8057251;0;5810338,04736328;0;834374,8931427;0;0;0;0;0;0;0
"street_secondary";5302716,21289062;0;4454027,1184082;0;848684,844501495;0;0;0;0;0;0;0
"street_tertiary";20717602,0625;0;18384977,9375;0;2332619,796875;0;0;0;0;0;0;0
"street_tunnel";2293684,8046875;47705,6824951172;1686222,0234375;0;0;0;476633,25;0;83124,8624267578;0;0;0
"street";44275419,5166626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
