"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",523255061.127441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",140590053.15625,0,20552824.9257812,131908.877532959,0,167560.03817749,94075893.203125,117648.621246338,13786287.7167969,9476050.42773438,1426042.57226562,855626.952880859
"building_hard_mr",139140544.546875,0,10013077.3730469,100010.739181519,0,186019.886779785,117362543.890625,58006.224395752,6900727.14453125,3722396.984375,638067.715698242,160016.885391235
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",76982188.4082031,0,12382116.7478027,308608.3568573,0,8231653.9543457,34822395.0537109,774670.633300781,1121065.64749146,403080.992172241,4981820.39196777,13956658.1401367
"building_wood_mr",30455945.375,0,4897011.85144043,122479.967666626,0,3256656.0513916,13776786.2050781,306199.777534485,443990.011489868,157474.288787842,1972803.45812988,5522542.24145508
"building",387169204.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",116232.337890625,0,82213.1787109375,0,34019.2143554688,0,0,0,0,0,0,0
"other_parking",2411610.62451172,0,2095713.78479004,0,315901.851776123,0,0,0,0,0,0,0
"other_remaining_impervious",97434325.375,0,84670920.421875,0,12763141.4355469,0,0,0,0,0,0,0
"other",99962139.5473633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",1086200.63952637,0,0,0,0,0,1025383.60217285,0,60819.5329742432,0,0,0
"rail_railway",1640924.19140625,0,1464244.51660156,0,0,0,12146.5422210693,0,76348.3601074219,0,0,30800.0061645508
"rail_shinkansen",635090.6328125,0,597661.15625,0,0,0,9993.69189453125,0,27433.7387695312,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",56.5949935913086,0,0,0,0,0,0,0,20.065502166748,0,0,36.5294990539551
"rail_tunnel",5570014.0390625,0,0,0,0,0,5513014.5234375,0,56989.6920166016,0,0,0
"rail",8932372.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",63355.3291015625,0,44896.1044921875,0,0,0,6114.25512695312,0,12344.9721679688,0,0,0
"street_bridge_other",605235.45123291,0,428893.340576172,0,0,0,58409.6317214966,0,117931.851608276,0,0,0
"street_gravel",1165281.06054688,0,1165281.06054688,0,0,0,0,0,0,0,0,0
"street_living_street",7122906.03125,0,6189874.03125,0,933045.46875,0,0,0,0,0,0,0
"street_motorway",1864202.34375,0,1659785.40625,0,204414.37890625,0,0,0,0,0,0,0
"street_motorway_elevated",699.22797203064,0,0,0,699.22797203064,0,0,0,0,0,0,0
"street_other_elevated",6675.39216995239,0,0,0,6675.39216995239,0,0,0,0,0,0,0
"street_primary",4793237.22265625,0,4191321.6484375,0,601875.046386719,0,0,0,0,0,0,0
"street_secondary",5213290.95343018,0,4378901.6872406,0,834374.8931427,0,0,0,0,0,0,0
"street_tertiary",4062766.09390259,0,3605342.27389526,0,457431.351249695,0,0,0,0,0,0,0
"street_tunnel",2293684.8046875,47705.6824951172,1686222.0234375,0,0,0,476633.25,0,83124.8624267578,0,0,0
"street",27191334.5706177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
