"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",227683086.830078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",64074103.7294922,0,9366971.56835938,60117.559928894,0,76365.5005941391,42875262.9765625,53618.3703832626,6283097.73034668,4318709.75708008,649920.45451355,389951.747703552
"building_hard_mr",70265894.7597656,0,5056583.19171143,50505.2934627533,0,93939.6134967804,59267957.3657227,29293.0098958015,3484859.89733887,1879805.71815491,322223.776824951,80808.2359457016
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",30820893.3147736,0,4957366.72785378,123556.244759023,0,3295665.48871231,13941668.0900726,310150.749917984,448836.619673252,161379.47131145,1994545.42655659,5587759.33185387
"building_wood_mr",10470004,0,1683477.125,42105.701171875,0,1119561.125,4736135.25,105264.23046875,152633.15625,54135.89453125,678201.78125,1898515.1875
"building",175630695.800781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",0,0,0,0,0,0,0,0,0,0,0,0
"other_parking",1057617.40625,0,919077.84375,0,138539.62890625,0,0,0,0,0,0,0
"other_remaining_impervious",39891437.0371094,0,34665887.9023438,0,5225463.88842773,0,0,0,0,0,0,0
"other",40949063.0371094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",188693.79296875,0,0,0,0,0,178128.39453125,0,10565.4877929688,0,0,0
"rail_railway",358342.421875,0,319754.453125,0,0,0,2652.5126953125,0,16672.8994140625,0,0,6726.052734375
"rail_shinkansen",507913.5,0,477980.90625,0,0,0,7992.46118164062,0,21940.107421875,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",375.902648925781,0,0,0,0,0,0,0,133.274841308594,0,0,242.628326416016
"rail_tunnel",810082.30859375,0,0,0,0,0,801793.8515625,0,8288.37608337402,0,0,0
"rail",1865404.9375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",14772.861328125,0,10468.6320800781,0,0,0,1425.68981933594,0,2878.53601074219,0,0,0
"street_bridge_other",142566.03515625,0,101027.966796875,0,0,0,13758.6743164062,0,27779.40625,0,0,0
"street_gravel",18490.9890136719,0,18490.9890136719,0,0,0,0,0,0,0,0,0
"street_living_street",1710994.5625,0,1486871.625,0,224127.984375,0,0,0,0,0,0,0
"street_motorway",1031227.53125,0,918151.09375,0,113076.7109375,0,0,0,0,0,0,0
"street_motorway_elevated",162.935970306396,0,0,0,162.935970306396,0,0,0,0,0,0,0
"street_other_elevated",1572.41879272461,0,0,0,1572.41879272461,0,0,0,0,0,0,0
"street_primary",2133439.125,0,1865545.0625,0,267892.46875,0,0,0,0,0,0,0
"street_secondary",2270473.4375,0,1907091.6875,0,363381.984375,0,0,0,0,0,0,0
"street_tertiary",1287462.1875,0,1142506.5625,0,144957.1640625,0,0,0,0,0,0,0
"street_tunnel",626765.953125,13035.9130859375,460772.640625,0,0,0,130243.5,0,22714.4404296875,0,0,0
"street",9237930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
