"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",448931021.680725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",85594469.0625,0,12513116.609375,80309.416015625,0,102014.432861328,57275410.8125,71626.9686279297,8393369.984375,5769225.0703125,868203.739257812,520924.232421875
"building_hard_mr",139639057.126984,0,10048927.9793854,100368.966676772,0,186686.178172588,117783176.290466,58213.9877550304,6925455.59168625,3735727.42049789,640354.432810307,160590.112991393
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",27607.6875,0,1701.64453125,18.8434410095215,0,37.2772407531738,23956.16015625,10.2410001754761,1183.04028320312,582.508056640625,105.277481079102,12.6988410949707
"building_wood_lr",19886494.96875,0,3198623.10253906,79721.5094604492,0,2126456.24121094,8995540.4453125,200117.437988281,289601.234741211,104126.580932617,1286929.26513672,3605370.0234375
"building_wood_mr",19419419.5990105,0,3122446.71656179,78096.0479343385,0,2076516.26231146,8784405.70585442,195240.291787118,283097.645338714,100409.278657809,1257903.62465358,3521297.64636564
"building",264566811.81192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",797147.395019531,0,563835.772949219,0,233311.340576172,0,0,0,0,0,0,0
"other_parking",1203431.37347412,0,1067936.39776611,0,135495.549926758,0,0,0,0,0,0,0
"other_remaining_impervious",134726664.993805,0,119558119.116302,0,15169032.9400005,0,0,0,0,0,0,0
"other",136727168.493805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",434970.337982178,0,0,0,0,0,410615.575531006,0,24355.1977577209,0,0,0
"rail_other",1102.6951713562,0,0,0,0,0,0,0,390.955572128296,0,0,711.739442825317
"rail_railway",443550.818847656,0,395788.429199219,0,0,0,3283.26223373413,0,20637.492767334,0,0,8325.39138031006
"rail_shinkansen",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",2735.63421630859,0,0,0,0,0,0,0,969.906372070312,0,0,1765.72747802734
"rail_tunnel",2505251.76953125,0,0,0,0,0,2479617.9375,0,25632.6124572754,0,0,0
"rail",3387614.86474609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1312.12805175781,0,929.825927734375,0,0,0,126.630004882812,0,255.671997070312,0,0,0
"street_bridge_other",268446.620422363,0,190231.873931885,0,0,0,25907.063129425,0,52307.6242790222,0,0,0
"street_gravel",112542.652587891,0,112542.652587891,0,0,0,0,0,0,0,0,0
"street_living_street",1801650.31384277,0,1565669.33636475,0,236005.262466431,0,0,0,0,0,0,0
"street_motorway",5953589.3984375,0,5300761.0234375,0,652825.555664062,0,0,0,0,0,0,0
"street_motorway_elevated",14.4720001220703,0,0,0,14.4720001220703,0,0,0,0,0,0,0
"street_other_elevated",2960.80793976784,0,0,0,2960.80793976784,0,0,0,0,0,0,0
"street_primary",6763237.15625,0,5913968,0,849245.82421875,0,0,0,0,0,0,0
"street_secondary",3177651.58203125,0,2669074.11499023,0,508573.032470703,0,0,0,0,0,0,0
"street_tertiary",25069972.671875,0,22247345.59375,0,2822666.53710938,0,0,0,0,0,0,0
"street_tunnel",1096137.6875,22798.2364501953,805834.61328125,0,0,0,227779.875,0,39724.8034667969,0,0,0
"street",44247684.078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
