"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",292631627.339355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",100609190.565674,0,14708049.7377014,94396.8326656818,0,119909.512786627,67322808.2341309,84191.9221715927,9865755.03817749,6781259.34841919,1020506.03199959,612303.764318466
"building_hard_mr",88600297.1328125,0,6375981.16210938,63683.3717346191,0,118451.263946533,74732482.3984375,36936.3517532349,4394150.96777344,2370298.37841797,406299.787506104,101893.552986145
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",707267.638427734,0,113759.926971436,2835.31589126587,0,75627.7263946533,319927.906005859,7117.2229642868,10299.7317066193,3703.2744269371,45770.140411377,128225.832382202
"building_wood_mr",80690.317024231,0,12974.1983270645,324.499920606613,0,8628.21461772919,36500.4358215332,811.24934566021,1176.31191635132,417.213857471943,5226.76410198212,14631.4726772308
"building",189997248.690674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",3211406.94873047,0,2271480.74267578,0,939925.249023438,0,0,0,0,0,0,0
"other_parking",3223795.30541992,0,2860825.1138916,0,362970.065109253,0,0,0,0,0,0,0
"other_remaining_impervious",85739462.0871582,0,76085913.9194336,0,9653484.15576172,0,0,0,0,0,0,0
"other",91620842.8371582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",173861.870239258,0,0,0,0,0,164127.03125,0,9735.02450180054,0,0,0
"rail_other",3371.93920898438,0,0,0,0,0,0,0,1195.50476074219,0,0,2176.43212890625
"rail_railway",2564.64794921875,0,2288.47631835938,0,0,0,18.9839973449707,0,119.327995300293,0,0,48.1380043029785
"rail_shinkansen",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",16366.0083007812,0,0,0,0,0,16198.5595703125,0,167.449396133423,0,0,0
"rail",196164.946777344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1249.02404785156,0,885.107971191406,0,0,0,120.539993286133,0,243.376007080078,0,0,0
"street_bridge_other",118212.288330078,0,83769.9252624512,0,0,0,11408.3532562256,0,23034.0141372681,0,0,0
"street_gravel",47881.5537414551,0,47881.5537414551,0,0,0,0,0,0,0,0,0
"street_living_street",84923.6283569336,0,73799.283996582,0,11124.3405685425,0,0,0,0,0,0,0
"street_motorway",923962.89453125,0,822646.620117188,0,101314.776367188,0,0,0,0,0,0,0
"street_motorway_elevated",13.7760009765625,0,0,0,13.7760009765625,0,0,0,0,0,0,0
"street_other_elevated",1303.81192302704,0,0,0,1303.81192302704,0,0,0,0,0,0,0
"street_primary",1419385.22851562,0,1241153.01269531,0,178230.030639648,0,0,0,0,0,0,0
"street_secondary",1871181.8515625,0,1571704.33984375,0,299476.97265625,0,0,0,0,0,0,0
"street_tertiary",7864779.5625,0,6979275.92578125,0,885502.698242188,0,0,0,0,0,0,0
"street_tunnel",28503.6557769775,592.83903169632,20954.7004699707,0,0,0,5923.125,0,1032.99286460876,0,0,0
"street",12361374.6796875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
