"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";1336394081,875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";188268274,109375;0;27522857,0234375;176643,115875244;0;224384,622131348;125979835,929688;157546,488311768;18461565,8710938;12689645,6552734;1909656,14050293;1145797,10693359
"building_hard_mr";535509155,609375;0;38537173,3496094;384910,014526367;0;715931,790985107;451690884,6875;223247,296470642;26558800,2148438;14326347,1811523;2455717,29266357;615854,932632446
"building_high";7732,5302734375;0;438,390014648438;5,22000026702881;0;10,5299997329712;6799,5;2,6100001335144;306,360015869141;142,199981689453;26,6400012969971;1,08000004291534
"building_sky";7824599,734375;0;482282,060546875;5340,62979125977;0;10565,1561889648;6789679,40625;2902,51467895508;335298,515625;165095,038085938;29837,8526000977;3599,11918640137
"building_wood_lr";89020093,921875;0;14318395,0224609;356866,950012207;0;9518867,80761719;40267695,1152344;895808,991424561;1296373,86663818;466113,201660156;5760842,38793945;16139118,0019531
"building_wood_mr";66325333,5351562;0;10664433,6430664;266729,100814819;0;7092151,92724609;30002394,6132812;666825,273956299;966896,547363281;342938,154098511;4296267,6105957;12026650,8422852
"building";886954131,65625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";1243328,9375;0;879428,03125;0;363900,99609375;0;0;0;0;0;0;0
"other_parking";10777369,90625;0;9563951,02001953;0;1213437,42926025;0;0;0;0;0;0;0
"other_remaining_impervious";399954563,4375;0;354923193,71875;0;45031218,890625;0;0;0;0;0;0;0
"other";411974885,4375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";4268137;0;0;0;0;0;4029133,828125;0;238985,131835938;0;0;0
"rail_other";6396,22520446777;0;0;0;0;0;0;0;2267,7551651001;0;0;4128,47713470459
"rail_railway";1799606,12109375;0;1605813,23828125;0;0;0;13320,9767150879;0;83731,5500488281;0;0;33778,3477172852
"rail_shinkansen";1055048,15625;0;992871,6484375;0;0;0;16602,1266479492;0;45574,3559570312;0;0;0
"rail_subway";3734350,625;0;2972018;0;0;0;476890,3515625;0;285448,64453125;0;0;0
"rail_subway_elevated";128023,997070312;0;107777,547851562;0;0;0;17294,4523925781;0;2951,93173217773;0;0;0
"rail_subway_surface";67184,4285888672;0;56559,5278320312;0;0;0;9075,78770446777;0;1549,11412811279;0;0;0
"rail_tram";4983,09228515625;0;0;0;0;0;0;0;1766,7314453125;0;0;3216,35522460938
"rail_tunnel";1927916,6875;0;0;0;0;0;1908200,625;0;19725,6357421875;0;0;0
"rail";12991656,375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";1354205,7421875;0;959654,6328125;0;0;0;130690,555664062;0;263871,529296875;0;0;0
"street_bridge_other";544106,5859375;0;385575,580078125;0;0;0;52510,3168945312;0;106020,705078125;0;0;0
"street_gravel";13060,0595703125;0;13060,0595703125;0;0;0;0;0;0;0;0;0
"street_living_street";26737,4233398438;0;23235,033203125;0;3502,39440917969;0;0;0;0;0;0;0
"street_motorway";3269811,08203125;0;2911269,37890625;0;358543,405761719;0;0;0;0;0;0;0
"street_motorway_elevated";14986,5356445312;0;0;0;14986,5356445312;0;0;0;0;0;0;0
"street_other_elevated";6001,17276000977;0;0;0;6001,17276000977;0;0;0;0;0;0;0
"street_primary";3006490,65625;0;2628962,8671875;0;377519,525390625;0;0;0;0;0;0;0
"street_secondary";1218333,43359375;0;1023343,38867188;0;194990,371582031;0;0;0;0;0;0;0
"street_tertiary";14546729,75;0;12908901,625;0;1637829,44140625;0;0;0;0;0;0;0
"street_tunnel";473163,375;9841,1845703125;347850,078125;0;0;0;98324,4375;0;17147,7841796875;0;0;0
"street";24473657,5625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
