"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",1056083164.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",188268274.109375,0,27522857.0234375,176643.115875244,0,224384.622131348,125979835.929688,157546.488311768,18461565.8710938,12689645.6552734,1909656.14050293,1145797.10693359
"building_hard_mr",535509155.609375,0,38537173.3496094,384910.014526367,0,715931.790985107,451690884.6875,223247.296470642,26558800.2148438,14326347.1811523,2455717.29266357,615854.932632446
"building_high",7732.5302734375,0,438.390014648438,5.22000026702881,0,10.5299997329712,6799.5,2.6100001335144,306.360015869141,142.199981689453,26.6400012969971,1.08000004291534
"building_sky",7824599.734375,0,482282.060546875,5340.62979125977,0,10565.1561889648,6789679.40625,2902.51467895508,335298.515625,165095.038085938,29837.8526000977,3599.11918640137
"building_wood_lr",89020093.921875,0,14318395.0224609,356866.950012207,0,9518867.80761719,40267695.1152344,895808.991424561,1296373.86663818,466113.201660156,5760842.38793945,16139118.0019531
"building_wood_mr",66325333.5351562,0,10664433.6430664,266729.100814819,0,7092151.92724609,30002394.6132812,666825.273956299,966896.547363281,342938.154098511,4296267.6105957,12026650.8422852
"building",886954131.65625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",1243328.9375,0,879428.03125,0,363900.99609375,0,0,0,0,0,0,0
"other_parking",3705369.02856445,0,3219992.40869141,0,485373.928741455,0,0,0,0,0,0,0
"other_remaining_impervious",137508099.726562,0,119495901.070312,0,18012486.0996094,0,0,0,0,0,0,0
"other",142456728.585938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",4268137,0,0,0,0,0,4029133.828125,0,238985.131835938,0,0,0
"rail_railway",1780706.24609375,0,1588951.11328125,0,0,0,13181.0821838379,0,82852.3039550781,0,0,33423.6309204102
"rail_shinkansen",1055048.15625,0,992871.6484375,0,0,0,16602.1266479492,0,45574.3559570312,0,0,0
"rail_subway",3734350.625,0,2972018,0,0,0,476890.3515625,0,285448.64453125,0,0,0
"rail_subway_elevated",128023.997070312,0,107777.547851562,0,0,0,17294.4523925781,0,2951.93173217773,0,0,0
"rail_subway_surface",67184.4285888672,0,56559.5278320312,0,0,0,9075.78770446777,0,1549.11412811279,0,0,0
"rail_tram",12033.078125,0,0,0,0,0,0,0,4266.27563476562,0,0,7766.806640625
"rail_tunnel",1927916.6875,0,0,0,0,0,1908200.625,0,19725.6357421875,0,0,0
"rail",12973414.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",1354205.7421875,0,959654.6328125,0,0,0,130690.555664062,0,263871.529296875,0,0,0
"street_bridge_other",544106.5859375,0,385575.580078125,0,0,0,52510.3168945312,0,106020.705078125,0,0,0
"street_gravel",36257.0283203125,0,36257.0283203125,0,0,0,0,0,0,0,0,0
"street_living_street",5001330.578125,0,4346196.5,0,655133.54296875,0,0,0,0,0,0,0
"street_motorway",941123,0,837927.219482422,0,103196.636444092,0,0,0,0,0,0,0
"street_motorway_elevated",14986.5356445312,0,0,0,14986.5356445312,0,0,0,0,0,0,0
"street_other_elevated",6001.17276000977,0,0,0,6001.17276000977,0,0,0,0,0,0,0
"street_primary",2034906.4375,0,1779377.88671875,0,255518.59375,0,0,0,0,0,0,0
"street_secondary",2358806.1875,0,1981290.8828125,0,377519.525390625,0,0,0,0,0,0,0
"street_tertiary",933450.435546875,0,828352.822265625,0,105098.414306641,0,0,0,0,0,0,0
"street_tunnel",473163.375,9841.1845703125,347850.078125,0,0,0,98324.4375,0,17147.7841796875,0,0,0
"street",13698355.1875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
