"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";511812682,234375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";103566941,444092;0;15140544,3343201;97172,5439405441;0;123435,448763847;69302436,3876953;86667,7722452879;10155848,0947266;6980676,17414856;1050512,78668594;630306,930607796
"building_hard_mr";87152566,6679688;0;6271779,56394958;62642,8953883052;0;116515,585441709;73511382,1494751;36332,8160659373;4322357,48247147;2331564,43958473;399660,171610355;100228,687381983
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";24239608,7915039;0;3898803,38623047;97172,5106601715;0;2591931,59466553;10964588,4494629;243922,479343414;352993,345199585;126919,198951721;1568642,23291016;4394576,70666504
"building_wood_mr";6142177,0390625;0;987602,98046875;24701,0209960938;0;656783,251953125;2778434,11328125;61752,6669921875;89541,5017089844;31758,5245361328;397863,268554688;1113753,07226562
"building";221101373,652344;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";402166,69921875;0;284459,427734375;0;117707,2578125;0;0;0;0;0;0;0
"other_parking";2819982,109375;0;2502472,96875;0;317504,408203125;0;0;0;0;0;0;0
"other_remaining_impervious";140816887,130859;0;124961658,695312;0;15854701,9371338;0;0;0;0;0;0;0
"other";144038801,130859;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";94802,9434509277;0;0;0;0;0;89494,2147216797;0;5308,26244163513;0;0;0
"rail_other";978,28759765625;0;0;0;0;0;0;0;346,846527099609;0;0;631,435180664062
"rail_railway";793998,422241211;0;708510,550598145;0;0;0;5877,29397392273;0;36944,0720405579;0;0;14903,1767997742
"rail_shinkansen";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";449804,485351562;0;0;0;0;0;445203,101074219;0;4602,20889282227;0;0;0
"rail";1339606,61035156;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";149150,505859375;0;105693,983398438;0;0;0;14394,1416015625;0;29062,4404296875;0;0;0
"street_bridge_other";1547219,8125;0;1096421,4921875;0;0;0;149318,205078125;0;301480,7890625;0;0;0
"street_gravel";180791,610168457;0;180791,610168457;0;0;0;0;0;0;0;0;0
"street_living_street";6816222,918396;0;5923366,07867432;0;892872,792877197;0;0;0;0;0;0;0
"street_motorway";13794364,5888672;0;12281573,0761719;0;1512558,04321289;0;0;0;0;0;0;0
"street_motorway_elevated";1647,75495910645;0;0;0;1647,75495910645;0;0;0;0;0;0;0
"street_other_elevated";17064,8900146484;0;0;0;17064,8900146484;0;0;0;0;0;0;0
"street_primary";13069314,0625;0;11428227,625;0;1641100,4609375;0;0;0;0;0;0;0
"street_secondary";14536401,125;0;12209911,5625;0;2326506,875;0;0;0;0;0;0;0
"street_tertiary";92038954,2128906;0;81676341,109375;0;10362745,0400391;0;0;0;0;0;0;0
"street_tunnel";3178725,13574219;66113,7276763916;2336878,29003906;0;0;0;660548,25;0;115199,556976318;0;0;0
"street";145329572,8125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
