"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",348522223.164062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",103566941.444092,0,15140544.3343201,97172.5439405441,0,123435.448763847,69302436.3876953,86667.7722452879,10155848.0947266,6980676.17414856,1050512.78668594,630306.930607796
"building_hard_mr",87152566.6679688,0,6271779.56394958,62642.8953883052,0,116515.585441709,73511382.1494751,36332.8160659373,4322357.48247147,2331564.43958473,399660.171610355,100228.687381983
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",24239606.7915039,0,3898803.13623047,97172.5028476715,0,2591931.34466553,10964587.4494629,243922.463718414,352993.313949585,126919.183326721,1568642.10791016,4394576.70666504
"building_wood_mr",6142177.0390625,0,987602.98046875,24701.0209960938,0,656783.251953125,2778434.11328125,61752.6669921875,89541.5017089844,31758.5245361328,397863.268554688,1113753.07226562
"building",221101373.652344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",402166.69921875,0,284459.427734375,0,117707.2578125,0,0,0,0,0,0,0
"other_parking",969536.4453125,0,842535.46875,0,127001.768554688,0,0,0,0,0,0,0
"other_remaining_impervious",48414393.0410156,0,42072238.315918,0,6341903.56878662,0,0,0,0,0,0,0
"other",49786121.5410156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",94802.9434509277,0,0,0,0,0,89494.2147216797,0,5308.26244163513,0,0,0
"rail_railway",793998.422241211,0,708510.550598145,0,0,0,5877.29397392273,0,36944.0720405579,0,0,14903.1767997742
"rail_shinkansen",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",64.911003112793,0,0,0,0,0,0,0,23.0138988494873,0,0,41.8970947265625
"rail_tunnel",449804.485351562,0,0,0,0,0,445203.101074219,0,4602.20889282227,0,0,0
"rail",1338693.61035156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",149150.505859375,0,105693.983398438,0,0,0,14394.1416015625,0,29062.4404296875,0,0,0
"street_bridge_other",1547219.8125,0,1096421.4921875,0,0,0,149318.205078125,0,301480.7890625,0,0,0
"street_gravel",6103311.00439453,0,6103311.00439453,0,0,0,0,0,0,0,0,0
"street_living_street",31644851.0922852,0,27499615.8505859,0,4145234.89733887,0,0,0,0,0,0,0
"street_motorway",1705236.10546875,0,1518252.6015625,0,186983.747070312,0,0,0,0,0,0,0
"street_motorway_elevated",1647.75495910645,0,0,0,1647.75495910645,0,0,0,0,0,0,0
"street_other_elevated",17064.8900146484,0,0,0,17064.8900146484,0,0,0,0,0,0,0
"street_primary",10557040.3730469,0,9231529.48535156,0,1325638.66821289,0,0,0,0,0,0,0
"street_secondary",10253873.4375,0,8612769.0625,0,1641100.4609375,0,0,0,0,0,0,0
"street_tertiary",11137322.1875,0,9883389.375,0,1253967,0,0,0,0,0,0,0
"street_tunnel",3178725.13574219,66113.7276763916,2336878.29003906,0,0,0,660548.25,0,115199.556976318,0,0,0
"street",76295466.1113281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
