"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";435637482,049835;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";111261361,197556;0;16265308,1976395;104391,464376837;0;132605,059425905;74450722,6978874;93105,6023337841;10910308,6567411;7499245,53415775;1128554,90352499;677133,538990021
"building_hard_mr";78696528,0154724;0;5663283,79819965;56564,924697265;0;105210,566435933;66378991,7568665;32807,7076574191;3902979,51187515;2105348,78857517;360884,227346897;90503,9213124961
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";41421904,125;0;6662462,3125;166053,479980469;0;4429217,34375;18736889,3125;416827,977539062;603213,271484375;216886,060058594;2680576,3125;7509665,625
"building_wood_mr";8310719,03125;0;1336281,3359375;33421,9742431641;0;888665,28125;3759370,765625;83554,8403320312;121154,409179688;42970,9865722656;538330,990234375;1506968,3359375
"building";239689894,213013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";0;0;0;0;0;0;0;0;0;0;0;0
"other_parking";4509751,78125;0;4002001,25;0;507757,861328125;0;0;0;0;0;0;0
"other_remaining_impervious";173792777,3368;0;154225374,496796;0;19567529,1525002;0;0;0;0;0;0;0
"other";178302523,3368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1099796,46484375;0;0;0;0;0;1038216,609375;0;61580,5090332031;0;0;0
"rail_other";511,862844467163;0;0;0;0;0;0;0;181,478773593903;0;0;330,384407997131
"rail_railway";1003630,74609375;0;895555,671875;0;0;0;7429,08932495117;0;46696,94140625;0;0;18838,1342163086
"rail_shinkansen";406997,212890625;0;383011,4921875;0;0;0;6404,46850585938;0;17580,7258300781;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";83,0279998779297;0;0;0;0;0;0;0;29,4372005462646;0;0;53,5908012390137
"rail_tunnel";1116463,43652344;0;0;0;0;0;1105039,57958984;0;11423,13306427;0;0;0
"rail";3627495,21875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";63827,5390625;0;45230,73828125;0;0;0;6159,82275390625;0;12436,9775390625;0;0;0
"street_bridge_other";140077,895202637;0;99264,686706543;0;0;0;13518,5325584412;0;27294,5748977661;0;0;0
"street_gravel";15242,6647949219;0;15242,6647949219;0;0;0;0;0;0;0;0;0
"street_living_street";96228,2996826172;0;83623,2737426758;0;12605,1759643555;0;0;0;0;0;0;0
"street_motorway";2942350,125;0;2619713,5;0;322635,6953125;0;0;0;0;0;0;0
"street_motorway_elevated";703,979431152344;0;0;0;703,979431152344;0;0;0;0;0;0;0
"street_other_elevated";1544,97531318665;0;0;0;1544,97531318665;0;0;0;0;0;0;0
"street_primary";881650,15625;0;770940,046875;0;110707,46875;0;0;0;0;0;0;0
"street_secondary";2738919,15429688;0;2300564,77929688;0;438354,306640625;0;0;0;0;0;0;0
"street_tertiary";6044602,7109375;0;5364034,5234375;0;680567,541992188;0;0;0;0;0;0;0
"street_tunnel";1090018,77880859;22670,9930992126;801336,707519531;0;0;0;226508,625;0;39503,0927429199;0;0;0
"street";14015170,921875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
