"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",1638704288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",349820473,0,51140364.5,328219.71875,0,416929.3671875,234083539,292737.064453125,34303430.25,23578655.375,3548324.984375,2129000.3984375
"building_hard_mr",543967070,0,39145833.625,390989.271484375,0,727239,458826508,226774.049804688,26978185.5,14552612.3125,2494508.4609375,625582.171875
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",324014.96875,0,19971.185546875,221.154220581055,0,437.500701904297,281159.15625,120.192504882812,13884.638671875,6836.54931640625,1235.57897949219,149.038681030273
"building_wood_lr",98261893,0,15804876.25,393917.173828125,0,10507128.84375,44448287.125,988809.81640625,1430961.5234375,514502.677734375,6358957.03125,17814663.0625
"building_wood_mr",50738735,0,8158268.671875,204047.540039062,0,5425497.140625,22951757.0625,510120.556640625,739673.96875,262347.198730469,3286637.1015625,9200361.890625
"building",1043111912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",541884.1875,0,383283.875,0,158600.15625,0,0,0,0,0,0,0
"other_parking",11024848.09375,0,9783566.375,0,1241302.5703125,0,0,0,0,0,0,0
"other_remaining_impervious",509434886,0,452076730,0,57357625.25,0,0,0,0,0,0,0
"other",521000466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",3598823.625,0,0,0,0,0,3397310.3984375,0,201506.52911377,0,0,0
"rail_other",920.369873046875,0,0,0,0,0,0,0,326.312938690186,0,0,594.05638885498
"rail_railway",2468762.953125,0,2202907.75,0,0,0,18274.2111816406,0,114866.457519531,0,0,46338.1166992188
"rail_shinkansen",479453.75,0,451197.875,0,0,0,7544.62158203125,0,20710.736328125,0,0,0
"rail_subway",449185.875,0,357486.71875,0,0,0,57363.09375,0,34335.27734375,0,0,0
"rail_subway_elevated",11112.1513671875,0,9354.81640625,0,0,0,1501.11499023438,0,256.220001220703,0,0,0
"rail_subway_surface",90754.140625,0,76401.796875,0,0,0,12259.771484375,0,2092.57666015625,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",361793.159179688,0,0,0,0,0,358091.537109375,0,3701.70863342285,0,0,0
"rail",7460801.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",798618.305664062,0,565935.080078125,0,0,0,77072.6741943359,0,155613.517089844,0,0,0
"street_bridge_other",828477,0,587091.822265625,0,0,0,79954.1716308594,0,161431.251464844,0,0,0
"street_gravel",493798.545898438,0,493798.545898438,0,0,0,0,0,0,0,0,0
"street_living_street",126780.210449219,0,110173.086914062,0,16607.2254638672,0,0,0,0,0,0,0
"street_motorway",7437870.15625,0,6622267.875,0,815576.83984375,0,0,0,0,0,0,0
"street_motorway_elevated",8882.81536865234,0,0,0,8882.81536865234,0,0,0,0,0,0,0
"street_other_elevated",9137.60919189453,0,0,0,9137.60919189453,0,0,0,0,0,0,0
"street_primary",4908284.5,0,4291954.390625,0,616330.23828125,0,0,0,0,0,0,0
"street_secondary",4650000.1875,0,3905783.484375,0,744220.33984375,0,0,0,0,0,0,0
"street_tertiary",47118461.75,0,41813369.25,0,5305114.71875,0,0,0,0,0,0,0
"street_tunnel",750787.359375,15615.4206542969,551948.44921875,0,0,0,156015.5625,0,27209.1711425781,0,0,0
"street",67131150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
