"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";1108847147,25879;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";269165735,125;0;39349371,765625;252546,3359375;0;320802,106201172;180113005,3125;225243,74597168;26394437,828125;18142341,3984375;2730224,45019531;1638136,79541016
"building_hard_mr";246774037,625;0;17758766,7578125;177374,886810303;0;329916,930786133;208149120,71875;102877,351013184;12238860,0703125;6601874,484375;1131650,46044922;283799,38482666
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";243463,09375;0;15006,2421875;166,174072265625;0;328,735687255859;211261,4375;90,31201171875;10432,84375;5136,94677734375;928,407470703125;111,986869812012
"building_wood_lr";91526194,0546875;0;14721443,6210938;366913,64465332;0;9786868,3671875;41401296,125;921024,59362793;1332868,55358887;479235,416015625;5923024,09863281;16593498,265625
"building_wood_mr";33590604,4726562;0;5401032,24511719;135086,118881226;0;3591844,40673828;15194792,3339844;337715,669372559;489687,244750977;173681,964004517;2175854,0559082;6090938,68701172
"building";641300041,75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";1278462,32617188;0;904277,931640625;0;374183,95703125;0;0;0;0;0;0;0
"other_parking";13940605,4394531;0;12371034,8808594;0;1569588,32543945;0;0;0;0;0;0;0
"other_remaining_impervious";418833403,75;0;371676120,5;0;47156740,25;0;0;0;0;0;0;0
"other";434051986;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";1135459,83569336;0;0;0;0;0;1071882,89257812;0;63577,4331359863;0;0;0
"rail_other";1034,35256958008;0;0;0;0;0;0;0;366,724967956543;0;0;667,626800537109
"rail_railway";1530110,75390625;0;1365356,515625;0;0;0;11326,2702331543;0;71192,9536132812;0;0;28720,025390625
"rail_shinkansen";798937,697265625;0;751856,581054688;0;0;0;12572,0050048828;0;34511,3797912598;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";3802542,72613525;0;0;0;0;0;3763647,48370361;0;38905,9388828278;0;0;0
"rail";7268110,796875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";277765,380859375;0;196835,377685547;0;0;0;26806,3799133301;0;54123,3842163086;0;0;0
"street_bridge_other";458696,631103516;0;325050,128234863;0;0;0;44267,5574493408;0;89378,2190856934;0;0;0
"street_gravel";416256,620178223;0;416256,620178223;0;0;0;0;0;0;0;0;0
"street_living_street";262396,543640137;0;228024,753479004;0;34371,7056045532;0;0;0;0;0;0;0
"street_motorway";5721292,1640625;0;5093947,99414062;0;627358,848144531;0;0;0;0;0;0;0
"street_motorway_elevated";3067,16678619385;0;0;0;3067,16678619385;0;0;0;0;0;0;0
"street_other_elevated";5059,16075754166;0;0;0;5059,16075754166;0;0;0;0;0;0;0
"street_primary";3384092,546875;0;2959144,87841797;0;424936,230712891;0;0;0;0;0;0;0
"street_secondary";4079778,27539062;0;3426818,88037109;0;652959,101074219;0;0;0;0;0;0;0
"street_tertiary";10667962,5351562;0;9466815,21289062;0;1201112,0625;0;0;0;0;0;0;0
"street_tunnel";952838,7265625;19817,7976074219;700487,84375;0;0;0;198002,25;0;34531,6225585938;0;0;0
"street";26229194,4072266;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
