"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";783121440;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";191680808;0;28021793;179845,078125;0;228451,8125;128263504;160402,51953125;18796216;12919682;1944268,4375;1166561,8125
"building_hard_mr";170141048;0;12243944;122292,63671875;0;227464,234375;143510416;70929,79296875;8438193,75;4551740,875;780227,34375;195668,3203125
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";60760102;0;9772932,25;243577,5390625;0;6497062,125;27484494;611429,21875;884831,15625;318142,1015625;3932031,75;11015661
"building_wood_mr";21911357;0;3523131,75;88117,65234375;0;2342985,5;9911647,5;220293,8828125;319426,140625;113294,03125;1419323,5625;3973156,375
"building";444493040;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";193518,453125;0;136878,875;0;56639,53515625;0;0;0;0;0;0;0
"other_parking";5992169,25;0;5317504,25;0;674664,421875;0;0;0;0;0;0;0
"other_remaining_impervious";289494584;0;256899744;0;32594461;0;0;0;0;0;0;0
"other";295680064;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";2380866,125;0;0;0;0;0;2247567,625;0;133311,09765625;0;0;0
"rail_other";477,279075622559;0;0;0;0;0;0;0;169,217151641846;0;0;308,062065124512
"rail_railway";1209859,125;0;1079581,375;0;0;0;8955,68408203125;0;56292,43359375;0;0;22708,978515625
"rail_shinkansen";484861,28125;0;456288,578125;0;0;0;7629,71459960938;0;20944,08203125;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";1017557,80566406;0;0;0;0;0;1007140,47363281;0;10411,1405563354;0;0;0
"rail";5093634,375;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";116418,203125;0;82498,564453125;0;0;0;11235,2124023438;0;22684,3876953125;0;0;0
"street_bridge_other";742801,890625;0;526380,078125;0;0;0;71686;0;144737,40625;0;0;0
"street_gravel";235366,96875;0;235366,96875;0;0;0;0;0;0;0;0;0
"street_living_street";463817,1484375;0;403060,890625;0;60756,4453125;0;0;0;0;0;0;0
"street_motorway";9295630;0;8276369,25;0;1019291,1875;0;0;0;0;0;0;0
"street_motorway_elevated";1284,87561035156;0;0;0;1284,87561035156;0;0;0;0;0;0;0
"street_other_elevated";8192,66796875;0;0;0;8192,66796875;0;0;0;0;0;0;0
"street_primary";6179196;0;5403287,5;0;775922,09375;0;0;0;0;0;0;0
"street_secondary";3719036,125;0;3123817,5;0;595224,5;0;0;0;0;0;0;0
"street_tertiary";16640293,5;0;14766580,5;0;1873535,625;0;0;0;0;0;0;0
"street_tunnel";452669,296875;9414,93041992188;332783,53125;0;0;0;94065,75;0;16405,078125;0;0;0
"street";37854610;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
