"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";2005025852,17529;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";364319153,991501;0;53259807,8134999;341823,939305861;0;434208,896792188;243785182,749201;304869,963782033;35725227,4490499;24555889,220325;3695394,00453126;2217236,91228907
"building_hard_mr";1027070384,59265;0;73911691,3354416;738230,358680546;0;1373108,54641318;866313177,466919;428173,624890119;50937884,2552986;27476916,0683403;4709911,6406374;1181169,95689654
"building_high";367183,42578125;0;20817,1984863281;247,874607086182;0;500,022891998291;322878,056640625;123,937303543091;14547,6770019531;6752,44549560547;1265,01487731934;51,2843990325928
"building_sky";35434739,1796875;0;2184078,40649414;24185,7373466492;0;47845,7016296387;30747950,0625;13144,415304184;1518442,98974609;747654,933837891;135124,720626831;16299,0795478821
"building_wood_lr";21252926,6015625;0;3418409,26708984;85199,4652404785;0;2272564,83081055;9613637,76367188;213868,510772705;309500,224243164;111280,934005737;1375362,77294922;3853103,45458984
"building_wood_mr";15550871,7480469;0;2500420,34765625;62538,5222930908;0;1662856,40893555;7034459,19824219;156346,175018311;226701,976226807;80406,7446899414;1007315,25280762;2819815,73876953
"building";1463996267,08411;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";4602097,56640625;0;3255143,71679688;0;1346955,62792969;0;0;0;0;0;0;0
"other_parking";10339308,40625;0;9175196,62109375;0;1164113,03637695;0;0;0;0;0;0;0
"other_remaining_impervious";411392268,62999;0;365072623,817505;0;46319022,40625;0;0;0;0;0;0;0
"other";426333134,37999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";4598914,2514801;0;0;0;0;0;4341411,70175171;0;257506,285615921;0;0;0
"rail_other";9101,09362792969;0;0;0;0;0;0;0;3226,75512695312;0;0;5874,33685302734
"rail_railway";3171664,16113281;0;2830128,71582031;0;0;0;23477,2627410889;0;147570,984313965;0;0;59531,5955505371
"rail_shinkansen";490882,2734375;0;461953,15625;0;0;0;7724,4690246582;0;21204,3786621094;0;0;0
"rail_subway";10120674,8515625;0;8054610,48046875;0;0;0;1292447,42480469;0;773614,334960938;0;0;0
"rail_subway_elevated";375907,234375;0;316458,892578125;0;0;0;50780,3403320312;0;8667,52142333984;0;0;0
"rail_subway_surface";361613,806640625;0;304426,2734375;0;0;0;48849,5661621094;0;8337,96160888672;0;0;0
"rail_tram";3951,12210083008;0;0;0;0;0;0;0;1400,85278320312;0;0;2550,27102661133
"rail_tunnel";3214021,97900391;0;0;0;0;0;3181131,67089844;0;32884,3440361023;0;0;0
"rail";22346726,65625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";2447795,3125;0;1734602,49609375;0;0;0;236230,202880859;0;476959,892578125;0;0;0
"street_bridge_other";1527925,83996582;0;1082749,43803406;0;0;0;147456,169628143;0;297720,651008606;0;0;0
"street_gravel";42944,5339927673;0;42944,5339927673;0;0;0;0;0;0;0;0;0
"street_living_street";151273,659637451;0;131458,076843262;0;19815,6740608215;0;0;0;0;0;0;0
"street_motorway";5491296,72021484;0;4889166,04394531;0;602134,014953613;0;0;0;0;0;0;0
"street_motorway_elevated";27278,8121337891;0;0;0;27278,8121337891;0;0;0;0;0;0;0
"street_other_elevated";16852,1204807758;0;0;0;16852,1204807758;0;0;0;0;0;0;0
"street_primary";7099162,54980469;0;6207721,32617188;0;891433,795166016;0;0;0;0;0;0;0
"street_secondary";3882209,03759766;0;3260874,06640625;0;621336,19934082;0;0;0;0;0;0;0
"street_tertiary";69096267,9299469;0;61316798,1668243;0;7779635,929142;0;0;0;0;0;0;0
"street_tunnel";2565403,8815918;53357,1111984253;1885979,09973145;0;0;0;533097,5625;0;92972,2538909912;0;0;0
"street";92348533,3361969;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
