"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",295293028.28125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",84244093.765625,0,12315578.7226562,79042.3709945679,0,100404.904159546,56372029.0625,70497.063621521,8260958.88671875,5678221.61816406,854514.121582031,512706.443359375
"building_hard_mr",46873545.3125,0,3373191.62988281,33691.5355834961,0,62666.121887207,39537018.0078125,19541.0436668396,2324718.49121094,1253995.40161133,214951.394104004,53906.3566894531
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",17725874.1010742,0,2851103.46118164,71059.972700119,0,1895416.13842773,8018176.609375,178374.828903198,258136.051651001,92812.7219009399,1147108.12841797,3213646.29382324
"building_wood_mr",4021021.37133789,0,646539.434326172,16170.7970619202,0,429967.940643311,1818914.86669922,40426.7646598816,58618.7812423706,20790.9795684814,260463.942092896,729126.284484863
"building",152864990.34375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",350998.53125,0,248267.328125,0,102731.3046875,0,0,0,0,0,0,0
"other_parking",1922172.08203125,0,1705752.19287109,0,216419.496765137,0,0,0,0,0,0,0
"other_remaining_impervious",102158805.015625,0,90657237.90625,0,11502228.8261719,0,0,0,0,0,0,0
"other",104431873.078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",62555.3431091309,0,0,0,0,0,59052.7261352539,0,3502.65293121338,0,0,0
"rail_other",333.234008789062,0,0,0,0,0,0,0,118.146591186523,0,0,215.087371826172
"rail_railway",390338.858398438,0,348311.729492188,0,0,0,2889.48368453979,0,18161.1256713867,0,0,7326.93630981445
"rail_shinkansen",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",357092.375,0,0,0,0,0,353435.25,0,3653.55102539062,0,0,0
"rail",810292.650390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",229450.28515625,0,162597.5859375,0,0,0,22143.6608886719,0,44709.11328125,0,0,0
"street_bridge_other",825024.20703125,0,584648.36328125,0,0,0,79621.1420898438,0,160758.939453125,0,0,0
"street_gravel",29430.1711730957,0,29430.1711730957,0,0,0,0,0,0,0,0,0
"street_living_street",23097.76171875,0,20072.11328125,0,3025.62670898438,0,0,0,0,0,0,0
"street_motorway",11165028.21875,0,9940530.375,0,1224241.47265625,0,0,0,0,0,0,0
"street_motorway_elevated",2530.703125,0,0,0,2530.703125,0,0,0,0,0,0,0
"street_other_elevated",9099.56512451172,0,0,0,9099.56512451172,0,0,0,0,0,0,0
"street_primary",8829819.875,0,7721104.34375,0,1108749.8125,0,0,0,0,0,0,0
"street_secondary",6699082.640625,0,5626912.953125,0,1072159.3046875,0,0,0,0,0,0,0
"street_tertiary",8214623.46875,0,7289763.171875,0,924898.110473633,0,0,0,0,0,0,0
"street_tunnel",1158241.75,24089.9826660156,851492.546875,0,0,0,240685.875,0,41975.3728027344,0,0,0
"street",37185169.09375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
