"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";154270046,128906;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";32654500,7424316;0;4773757,66070557;30638,1094198227;0;38918,628531456;21850802,2431641;27325,9245870113;3202097,27233887;2200975,59802246;331223,001419067;198733,766427994
"building_hard_mr";25074043,6875;0;1804415,55273438;18022,5492172241;0;33521,9370422363;21149446,0546875;10453,0757598877;1243555,83300781;670798,882324219;114983,858520508;28836,0683441162
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";14474824,4842834;0;2328190,29358673;58027,117256999;0;1547781,93102646;6547592,86846924;145659,958769798;210792,894697666;75790,3717139959;936724,833595276;2624251,07361603
"building_wood_mr";4093215,61523438;0;658148,030761719;16461,0707473755;0;437688,123291016;1851578,07226562;41152,6556396484;59671,3308105469;21164,2264251709;265141,215942383;742218,099121094
"building";76296550,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";104933,8125;0;74221,4765625;0;30712,337890625;0;0;0;0;0;0;0
"other_parking";1621251,97729492;0;1438714,07855225;0;182538,539375305;0;0;0;0;0;0;0
"other_remaining_impervious";61558007,2143555;0;54627208,4777832;0;6930883,0447998;0;0;0;0;0;0;0
"other";63284178,5893555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";82385,51953125;0;0;0;0;0;77772,56640625;0;4612,99353027344;0;0;0
"rail_other";99,1650161743164;0;0;0;0;0;0;0;35,1585121154785;0;0;64,0065002441406
"rail_railway";548957,78125;0;489842,011108398;0;0;0;4063,48536872864;0;25541,7091445923;0;0;10304,0129451752
"rail_shinkansen";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";295030,953125;0;0;0;0;0;292012,185546875;0;3018,61761474609;0;0;0
"rail";926474,981689453;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";16745,4086914062;0;11866,4633789062;0;0;0;1616,05474853516;0;3262,89172363281;0;0;0
"street_bridge_other";148197,533203125;0;105018,623046875;0;0;0;14302,1457519531;0;28876,7421875;0;0;0
"street_gravel";8126,7666015625;0;8126,7666015625;0;0;0;0;0;0;0;0;0
"street_living_street";168137,479492188;0;146112,547119141;0;22024,7077178955;0;0;0;0;0;0;0
"street_motorway";1521156,953125;0;1354355,90625;0;166798,40234375;0;0;0;0;0;0;0
"street_motorway_elevated";184,691963195801;0;0;0;184,691963195801;0;0;0;0;0;0;0
"street_other_elevated";1634,53128051758;0;0;0;1634,53128051758;0;0;0;0;0;0;0
"street_primary";1746783,75;0;1527437,1875;0;219340,375;0;0;0;0;0;0;0
"street_secondary";1470511,921875;0;1235156,703125;0;235350,8515625;0;0;0;0;0;0;0
"street_tertiary";8404925,6875;0;7458601;0;946320,546875;0;0;0;0;0;0;0
"street_tunnel";276366,3515625;5748,06176757812;203172,859375;0;0;0;57429,5625;0;10015,7058105469;0;0;0
"street";13762758,125;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
