"category";"total";"accelerating_agent";"aggregate";"aluminum";"asphalt";"ceramics";"concrete";"glass";"iron_steel";"mortar";"other_materials";"timber"
"grand_total_t_10m2";339103020,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"building_hard_lr";71385055,625;0;10435751,84375;66977,2419433594;0;85079,4074707031;47767345,75;59736,5383300781;7000019,484375;4811504,125;724078,25;434446,220703125
"building_hard_mr";101002923,375;0;7268518,1875;72598,2451171875;0;135032,380859375;85193931,625;42106,9625854492;5009263,359375;2702104,63671875;463175,533203125;116157,088745117
"building_high";0;0;0;0;0;0;0;0;0;0;0;0
"building_sky";0;0;0;0;0;0;0;0;0;0;0;0
"building_wood_lr";23025726,8125;0;3703563,1796875;92306,3557128906;0;2462129,1640625;10415545,765625;231707,974609375;335317,4296875;120563,367919922;1490088,484375;4174514,5625
"building_wood_mr";17863153,234375;0;2872220,765625;71837,475769043;0;1910106,69921875;8080452,234375;179593,908203125;260411,508544922;92362,3897705078;1157097,19042969;3239104,80078125
"building";213277136;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"other_airport";96078,625;0;67958,0546875;0;28120,5703125;0;0;0;0;0;0;0
"other_parking";2230367,02734375;0;1979247,62890625;0;251119,490722656;0;0;0;0;0;0;0
"other_remaining_impervious";118620561,75;0;105265018,5;0;13355624,09375;0;0;0;0;0;0;0
"other";120946972;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"rail_bridge";65506,8255615234;0;0;0;0;0;61838,8731689453;0;3667,90712738037;0;0;0
"rail_other";87,7800140380859;0;0;0;0;0;0;0;31,1219959259033;0;0;56,6579818725586
"rail_railway";687616,140625;0;613571,73828125;0;0;0;5089,93135070801;0;31993,1042480469;0;0;12906,5399169922
"rail_shinkansen";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_elevated";0;0;0;0;0;0;0;0;0;0;0;0
"rail_subway_surface";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tram";0;0;0;0;0;0;0;0;0;0;0;0
"rail_tunnel";564270,62109375;0;0;0;0;0;558497,4453125;0;5773,36547851562;0;0;0
"rail";1317472,09765625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"street_bridge_motorway";10957,2465820312;0;7764,74072265625;0;0;0;1057,4549407959;0;2135,0514831543;0;0;0
"street_bridge_other";25455,93359375;0;18039,08203125;0;0;0;2456,68627929688;0;4960,1630859375;0;0;0
"street_gravel";4639,58251953125;0;4639,58251953125;0;0;0;0;0;0;0;0;0
"street_living_street";3164,9748916626;0;2750,38804626465;0;414,587040901184;0;0;0;0;0;0;0
"street_motorway";1685581,19921875;0;1500752,86328125;0;184828,9453125;0;0;0;0;0;0;0
"street_motorway_elevated";120,779983520508;0;0;0;120,779983520508;0;0;0;0;0;0;0
"street_other_elevated";280,764068603516;0;0;0;280,764068603516;0;0;0;0;0;0;0
"street_primary";334763,409667969;0;292727,553222656;0;42035,8508911133;0;0;0;0;0;0;0
"street_secondary";257454,431640625;0;216249,494140625;0;41204,8295898438;0;0;0;0;0;0;0
"street_tertiary";513518,071777344;0;455699,854248047;0;57817,4727172852;0;0;0;0;0;0;0
"street_tunnel";725055,53125;15080,1787109375;533028,71875;0;0;0;150668,4375;0;26276,6010742188;0;0;0
"street";3560980,25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
