"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",273405248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",54834561.125,0,8016257.28125,51448.8369140625,0,65353.8021240234,36692635.0625,45886.9005126953,5377100.5703125,3695961.7890625,556203.926757812,333721.872070312
"building_hard_mr",46311406.75,0,3332735.34375,33287.4409179688,0,61914.5972900391,39062777.375,19306.7057189941,2296832.4140625,1238958.31835938,212373.776855469,53259.9068603516
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",28473916.40625,0,4579862.7421875,114147.506835938,0,3044689.4765625,12880002,286532.817382812,414656.725585938,149090.403564453,1842661.51171875,5162237.41796875
"building_wood_mr",7934283.546875,0,1275748.59863281,31908.0914916992,0,848410.162109375,3589093.11523438,79770.0838623047,115666.778137207,41024.7133789062,513947.184082031,1438713.41992188
"building",137554310.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",19946.99609375,0,14108.84765625,0,5838.14453125,0,0,0,0,0,0,0
"other_parking",3257877.8671875,0,2891076.65722656,0,366807.774291992,0,0,0,0,0,0,0
"other_remaining_impervious",110321045,0,97899671.625,0,12421183.40625,0,0,0,0,0,0,0
"other",113598781.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",81413.8835449219,0,0,0,0,0,76855.5391235352,0,4558.60596847534,0,0,0
"rail_other",4057.92618751526,0,0,0,0,0,0,0,1438.71856737137,0,0,2619.19699954987
"rail_railway",574133.96875,0,512318.5703125,0,0,0,4249.9694519043,0,26713.171875,0,0,10776.5821533203
"rail_shinkansen",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",1133825.60546875,0,0,0,0,0,1122226.8984375,0,11600.8254394531,0,0,0
"rail",1793432.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",247684.842285156,0,175519.564086914,0,0,0,23903.3675003052,0,48262.2427825928,0,0,0
"street_bridge_other",165212.890625,0,117076.303222656,0,0,0,15944.2521972656,0,32192.1950683594,0,0,0
"street_gravel",141346.537109375,0,141346.537109375,0,0,0,0,0,0,0,0,0
"street_living_street",890977.5078125,0,774248.64453125,0,116712.315917969,0,0,0,0,0,0,0
"street_motorway",3886085.40917969,0,3459990.25634766,0,426123.504180908,0,0,0,0,0,0,0
"street_motorway_elevated",2742.69317150116,0,0,0,2742.69317150116,0,0,0,0,0,0,0
"street_other_elevated",1822.19964599609,0,0,0,1822.19964599609,0,0,0,0,0,0,0
"street_primary",2948336.12744141,0,2578105.03466797,0,370218.72555542,0,0,0,0,0,0,0
"street_secondary",2684250.41894531,0,2254647.83740234,0,429608.929077148,0,0,0,0,0,0,0
"street_tertiary",8011163.09375,0,7109187.84375,0,901986.1484375,0,0,0,0,0,0,0
"street_tunnel",1478733.953125,30755.8734893799,1087106.88964844,0,0,0,307284.75,0,53590.1845397949,0,0,0
"street",20458427.3125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
