"category","total","accelerating_agent","aggregate","aluminum","asphalt","ceramics","concrete","glass","iron_steel","mortar","other_materials","timber"
"grand_total_t_10m2",486012825.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"building_hard_lr",103914004.25,0,15191178.0859375,97497.6327819824,0,123848.643707275,69534399.4375,86957.5303497314,10189830.4746094,7004029.75,1054028.95532227,632417.427978516
"building_hard_mr",42935275.2109375,0,3089774.32177734,30860.7259063721,0,57400.9549255371,36215075.5703125,17899.231678009,2129387.73876953,1148635.29541016,196891.432800293,49377.2112579346
"building_high",0,0,0,0,0,0,0,0,0,0,0,0
"building_sky",0,0,0,0,0,0,0,0,0,0,0,0
"building_wood_lr",28617308.09375,0,4602923.77148438,114722.276611328,0,3060036.44335938,12944832,287975.700683594,416746.153564453,149840.637634277,1851941.64941406,5188246.29492188
"building_wood_mr",4437993.09570312,0,713583.825561523,17847.6090278625,0,474554.290283203,2007533.48242188,44618.9073562622,64697.4142608643,22946.9044494629,287473.09753418,804733.044189453
"building",179904612.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"other_airport",191820.0625,0,135677.78125,0,56142.46875,0,0,0,0,0,0,0
"other_parking",3199751.47363281,0,2839488.02441406,0,360263.674560547,0,0,0,0,0,0,0
"other_remaining_impervious",158061076.125,0,140264877.3125,0,17796258.1328125,0,0,0,0,0,0,0
"other",161452656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"rail_bridge",120359.247070312,0,0,0,0,0,113620.058227539,0,6739.2444229126,0,0,0
"rail_other",210.837036132812,0,0,0,0,0,0,0,74.7512969970703,0,0,136.085723876953
"rail_railway",733569.123046875,0,654568.8125,0,0,0,5429.99694824219,0,34130.8705444336,0,0,13768.8542175293
"rail_shinkansen",461846.296875,0,434630.0546875,0,0,0,7267.52978515625,0,19950.025390625,0,0,0
"rail_subway",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_elevated",0,0,0,0,0,0,0,0,0,0,0,0
"rail_subway_surface",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tram",0,0,0,0,0,0,0,0,0,0,0,0
"rail_tunnel",793476.7890625,0,0,0,0,0,785356.9765625,0,8118.47595214844,0,0,0
"rail",2109446.19140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"street_bridge_motorway",256719.18359375,0,181921.171875,0,0,0,24775.2680664062,0,50022.40234375,0,0,0
"street_bridge_other",1621024.6105957,0,1148723.76281738,0,0,0,156441.216720581,0,315862.20513916,0,0,0
"street_gravel",2830775.28417969,0,2830775.28417969,0,0,0,0,0,0,0,0,0
"street_living_street",4966675.046875,0,4316080.8671875,0,650590.231445312,0,0,0,0,0,0,0
"street_motorway",18695556.3242188,0,16645429.1835938,0,2050010.45483398,0,0,0,0,0,0,0
"street_motorway_elevated",2847.37164306641,0,0,0,2847.37164306641,0,0,0,0,0,0,0
"street_other_elevated",17878.9750976562,0,0,0,17878.9750976562,0,0,0,0,0,0,0
"street_primary",17530456.5,0,15329182.265625,0,2201278.67773438,0,0,0,0,0,0,0
"street_secondary",13945364.9101562,0,11713439.8613281,0,2231908.359375,0,0,0,0,0,0,0
"street_tertiary",80339946.78125,0,71294468.015625,0,9045563.79882812,0,0,0,0,0,0,0
"street_tunnel",2339427.76757812,48656.9317016602,1719848.81054688,0,0,0,486138.375,0,84782.6273803711,0,0,0
"street",142546675.40625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
