"zone","area_building_ci","area_building_dlr","area_building_mixed","area_building_sdr","area_building_traditional","area_other_airport","area_other_parking","area_rail_bridge","area_rail_exclude","area_rail_other","area_rail_railway","area_rail_subway_elevated","area_rail_subway_surface","area_rail_subway","area_rail_tram","area_rail_tunnel","area_street_bridge_motorway","area_street_bridge_other","area_street_exclude","area_street_local","area_street_motorway_elevated","area_street_motorway","area_street_other_elevated","area_street_primary","area_street_secondary","area_street_tertiary","area_street_track","area_street_tunnel"
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,39169,12360,16674,413184,917008,22780,180,0,0,0,0,0,0,0,0,0,0,18976,3181708,23808628,0,0,18976,0,0,1839859,1427299,0
2,22523,25646,48568,3182316,7052099,0,0,0,0,0,661544,0,0,0,0,0,0,2180,196312,24310865,0,0,2180,0,1125245,5457077,1373359,0
3,55573,159559,205531,4710752,6621529,54643,40949,0,5121,0,0,0,0,0,0,0,0,28478,20299239,61437079,0,0,28478,0,1683710,4146425,4310505,0
4,41556,107114,267386,2485737,2598647,38617,0,0,0,0,0,0,0,0,0,0,0,1515,480649,14020097,0,0,1515,642408,0,349139,702252,0
5,66002,84892,67118,1337353,876576,67460,5091,0,0,0,0,0,0,0,0,0,0,7321,757696,5968058,0,0,7321,0,1053917,537587,1192585,0
6,134522,78626,190824,9768922,810081,28278,21990,0,0,0,0,0,0,0,0,0,0,5844,284527,25402670,0,0,5844,0,1630503,1195374,2980191,0
7,24451,89518,266579,1477896,1631753,0,906,0,0,0,0,0,0,0,0,0,0,1638,699612,9224259,0,0,1638,307796,200083,433135,535594,0
8,80694,57777,208253,3316912,2587148,136010,3124,0,69967,0,1823733,0,0,0,0,0,0,24286,5189083,53074168,0,0,24286,0,3628310,4643686,6132413,0
9,83536,116759,186440,2920613,4081323,79238,19479,0,0,0,0,0,0,0,0,0,0,13165,944181,25744307,0,0,13165,0,951950,2301317,945004,0
10,34970,269690,630671,7715387,606593,0,0,0,0,0,1339184,0,0,0,0,0,0,0,226909,18607036,0,0,0,614251,558482,2817722,343471,0
11,110762,478185,624651,5044852,22417,107384,7194,0,0,0,840070,0,0,0,0,0,0,16564,207684,12205745,0,0,16564,520466,0,1004054,1233444,314
12,174944,26498,174626,7669658,1360897,56839,15598,0,0,0,0,0,0,0,0,0,0,8439,833508,14590302,0,0,8439,1107582,681929,1758381,1881821,0
13,61420,121774,112381,4776227,1546106,22315,25389,0,0,0,0,0,0,0,0,0,0,8256,578558,14926370,0,0,8256,0,939972,932268,1780373,0
14,10800,5197,5725,547714,1947222,0,0,0,0,0,0,0,0,0,0,0,0,1129,82740,5719944,0,0,1129,0,413406,1826724,464095,0
15,27436,49740,23179,307446,73425,32421,0,0,0,0,0,0,0,0,0,0,0,0,500367,2678354,0,0,0,0,0,0,1965601,0
16,1290286,6411658,8158970,11214871,54097,0,701341,0,8186,4024,478917,0,0,0,0,0,8830,68146,259960,17958816,8830,159638,68146,759383,746959,1196236,79235,5633
17,21347,53199,240990,6986257,920996,0,1426,0,0,0,885995,0,0,0,0,0,0,137184,241406,21392605,0,0,137184,0,0,2789838,607742,0
18,66448,20704,27617,2586400,1618671,0,0,0,0,250715,0,0,0,0,0,0,0,4165,1817816,34610459,0,0,4165,0,0,1933008,1814499,0
19,35721,13010,41613,2311383,907300,121189,942,0,0,0,0,0,0,0,0,0,0,5656,1039999,10824817,0,0,5656,0,244009,614842,1735129,7246
20,67846,15801,38273,2300248,278328,0,2681,0,0,0,0,0,0,0,0,0,0,6460,1281154,9719334,0,0,6460,0,1429945,285202,1043488,0
21,107217,426092,475134,5010222,1102892,12432,34965,0,0,180619,0,0,0,0,0,0,0,15349,2324415,16637813,0,0,15349,0,1436962,946312,4415837,0
22,24032,3723,1716,1148984,2701929,0,0,0,0,0,207684,0,0,0,0,0,0,4296,3492730,56993735,0,0,4296,0,840441,3862562,1204553,0
23,7968,83995,203610,3021565,409805,0,7007,0,0,0,0,0,0,0,0,0,0,668,237144,10478620,0,0,668,0,0,1352671,318762,0
24,65914,53757,137888,3187693,2629671,0,0,0,0,0,0,0,0,0,0,0,0,16757,2140469,50260243,0,0,16757,0,574139,3427025,2097767,0
25,15860,19607,91221,1751149,618872,0,0,0,0,0,0,0,0,0,0,0,0,6071,240848,17726294,0,0,6071,0,1254737,1981220,1250686,0
26,249440,71566,67669,3056699,282589,47355,2374,0,0,0,0,0,0,0,0,0,0,1744,286600,9145917,0,0,1744,0,525408,0,414084,0
27,60220,22074,92789,1355114,1275189,57625,0,0,0,0,0,0,0,0,0,0,0,21842,3679381,35058433,0,0,21842,0,932697,4231532,5219573,0
28,87138,41997,6162,665955,484909,155409,1878,0,0,0,0,0,0,0,0,0,0,10033,540477,16781175,0,0,10033,0,0,4349254,1140088,0
29,60480,38919,41081,1670814,3519220,23493,121,0,0,0,811537,0,0,0,0,0,0,1705,437672,19013668,0,0,1705,0,889391,1116334,925721,0
30,57835,26135,67927,3233096,2274669,19957,0,0,0,0,0,0,0,0,0,0,0,4723,4140566,58374640,0,0,4723,0,1608065,903718,2349604,0
