"zone","mass_grand_t_10m2","mass_building_ci","mass_building_dlr","mass_building_mixed","mass_building_sdr","mass_building","mass_building_traditional","mass_other_airport","mass_other_parking","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_local","mass_street_motorway_elevated","mass_street_motorway","mass_street_other_elevated","mass_street_primary","mass_street_secondary","mass_street_tertiary","mass_street","mass_street_track","mass_street_tunnel"
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11184179.3125,40910.8708496094,7062.5908241272,10301.83543396,255865.841796875,1446067.0078125,1131926.13964844,26726.08984375,102.723693847656,26828.8125,0,0,0,0,0,0,0,0,0,0,27160.3671875,7997484.3125,0,0,5728.31689453125,0,0,1516280.5625,9711272,164604.765625,0
2,25492186,19128.7075195312,15654.1115722656,24395.265625,2092900.25,11010855.25,8858815,0,0,0,0,0,564926,0,0,0,564926,0,0,0,3120.23657226562,8166215.5,0,0,658.080261230469,0,1090711.625,4497361,13916378.5,158383.9921875,0
3,38035969,43823.4399719238,94069.8020591736,111934.241130829,3101240.015625,11715606.1875,8364561.90625,64108.60546875,23369.0740966797,87477.6796875,0,0,0,0,0,0,0,0,0,0,40760.5909423828,20637113.25,0,0,8596.7018737793,0,1632018.4375,3417182.71679688,26232830.5,497114.0703125,0
4,10949351.5,44976.8354492188,58661.9655761719,144422.267089844,1636874.6640625,5138963.6875,3254032.5625,45306.48046875,0,45306.48046875,0,0,0,0,0,0,0,0,0,0,2168.42114257812,4709454.59375,0,0,457.335632324219,684285.46875,0,287736.48828125,5765086.40625,80988.1577148438,0
5,5817809.75,74996.634765625,46561.8520507812,40560.0625,879727.4765625,2116216.46875,1074373.2578125,79145.8359375,2905.36868286133,82051.203125,0,0,0,0,0,0,0,0,0,0,10478.5541992188,2004710.3125,0,0,2210.00299072266,0,1021563.25,443043.66796875,3619542.625,137536.5625,0
6,19269124.5,113400.940429688,34581.7250976562,89075.7325439453,6534065.75,7771073.875,999964.921875,33176.48046875,12549.412109375,45725.8959960938,0,0,0,0,0,0,0,0,0,0,8364.5234375,8532944.625,0,0,1764.13838195801,0,1580454.34375,985144.4140625,11452350.25,343694.583984375,0
7,7213045.3125,24995.0129394531,48548.002286911,147111.953125,923038.390625,3170654.6875,2026961.59375,0,517.042594909668,517.042594909668,0,0,0,0,0,0,0,0,0,0,2344.47094726562,3098496.90625,0,0,494.465850830078,327860.78125,193939.78125,356961.0625,4041865.25,61768.0859375,0
8,33204245.5,60279.2932128906,32933.6284790039,121895.549217224,2095300.70117188,5564222.140625,3253811.078125,159570.421875,1782.82684326172,161353.25390625,0,0,1557373.9375,0,0,0,1557373.9375,0,0,0,34760.5688476562,17828062.4375,0,0,7331.2578125,0,3516900.1875,3827009.265625,25921293.625,707229.734375,0
9,18768370.0625,87118.4503173828,77428.2616577148,103461.701904297,1843290.9921875,7065461.2890625,4954175.3046875,92964.09765625,11116.416015625,104080.513671875,0,0,0,0,0,0,0,0,0,0,18843.0797119141,8647711.5625,0,0,3974.14141845703,0,922719.5546875,1896587.4375,11598822.1875,108983.845703125,0
10,17402223.5238037,29560.994140625,125915.4375,353676.96875,5203343.5,6450982.84191895,738508.154418945,0,0,0,0,0,1143594.5,0,0,0,1143594.5,0,0,0,0,6250225.6817627,0,0,0,654295.9375,541341.25,2322174,9807639.1817627,39611.30078125,0
11,10241072,70326.3046875,254364.4375,325070.90625,3064788.25,3739287.75,24742.6875,125985.7734375,4105.52392578125,130091.296875,0,0,717378,0,0,0,717378,0,0,0,23708.0703125,4099995.5,0,0,5000.20263671875,554394,0,827474.8125,5654310.5,142248.71875,1484.75219726562
12,15393038.0546875,177205.848876953,14061.9539489746,78968.761516571,4983651.28710938,6894902.36328125,1641027.921875,66685.03125,8901.5791015625,75586.5703125,0,0,0,0,0,0,0,0,0,0,12078.7514648438,4900978.6484375,0,0,2547.49485015869,1179777.390625,660991.5625,1449133.234375,8422555.9296875,217023.686035156,0
13,12075092.3046875,57132.164855957,61051.8659667969,60662.7495727539,3057057.99560547,5121488.07617188,1885597.81347656,26180.5390625,14489.1782836914,40669.71484375,0,0,0,0,0,0,0,0,0,0,11816.8210449219,5013880.08789062,0,0,2492.2532043457,0,911112.079101562,768312.16796875,6912933.9765625,205323.70602417,0
14,6717820.2890625,9134.5537109375,2864.111328125,3260.44555664062,369918.116210938,2834792.61425781,2449613.62109375,0,0,0,0,0,0,0,0,0,0,0,0,0,1615.93896484375,1921379.97460938,0,0,340.813140869141,0,400713.3125,1505444.22070312,3883028.41601562,53522.23828125,0
15,1514055.5,23645.7109375,33163.046875,17602.16796875,187340.953125,349651.6875,87900.1796875,38037.16015625,0,38037.16015625,0,0,0,0,0,0,0,0,0,0,0,899673.4375,0,0,0,0,0,0,1126360.875,226685.375,0
16,23893502,804972.1875,3280943,4441278.25,5583248.5,14163679.5,53241.5830078125,0,400246.6171875,400246.6171875,0,2475.90991210938,408970.93359375,0,0,0,411446.845703125,0,0,14575.95703125,97537.421875,6032497.25,3878.50903320312,194519.71875,20571.3510742188,808885.5,724025.25,985856.421875,8918128.25,9137.88452148438,26635.6950683594
17,16663464.1328125,18767.8521766663,31038.2743530273,134693.169826508,4785335.09375,6113112.0546875,1143290.20117188,0,813.799987792969,813.799987792969,0,0,756593.75,0,0,0,756593.75,0,0,0,196351.662109375,7185930.21875,0,0,41411.9567871094,0,0,2299199.671875,9792956.78125,70088.7435302734,0
18,17465234.09375,63282.0458984375,10661.9852905273,13762.6768798828,1757151.89453125,3875553.640625,2030708.09375,0,0,0,0,154261.328125,0,0,0,0,154261.328125,0,0,0,5961.36877441406,11625909.953125,0,0,1257.29569244385,0,0,1593045.9375,13435433.828125,209259.40637207,0
19,7458071.71459961,34570.2645950317,5047.25537109375,21916.904296875,1519144.53134155,2691841.0602417,1111176.10809326,142182.25,537.58740234375,142719.859375,0,0,0,0,0,0,0,0,0,0,8095.4375,3636138.9045105,0,0,1707.38635253906,0,236515.75,506710.15625,4623534.15356445,200105.764648438,34262.796875
20,7044864.08691406,73744.0108337402,10163.4202003479,21792.7719244957,1575441.23999023,2025904.18920898,344768.329776764,0,1530.01245117188,1530.01245117188,0,0,0,0,0,0,0,0,0,0,9246.20567703247,3264799.04724121,0,0,1950.09157562256,0,1386044.58789062,235044.0703125,5017420.84301758,120341.654296875,0
21,13762269.0546875,109059.28125,242277.952026367,278240.748825073,3315822.54469299,5319238.74023438,1373833.35974121,14585.5458984375,19954.07421875,34539.61328125,0,111131.9609375,0,0,0,0,111131.9609375,0,0,0,21969.0336303711,5588747.5625,0,0,4633.43088912964,0,1392859.75,779885.75,8297355.40625,509262.47265625,0
22,27656732.25,23135.3735351562,2188.00885009766,1408.10064697266,772323.22265625,4190553.1171875,3391501.1015625,0,0,0,0,0,177351.28125,0,0,0,177351.28125,0,0,0,6148.86926269531,19144628.28125,0,0,1296.84085083008,0,814638.171875,3183255.11621094,23288862.90625,138916.980712891,0
23,7354150.6875,6639.56280517578,44952.6752929688,116757.126953125,2023951.84765625,2677613.953125,485317.3671875,0,3998.80517578125,3998.80517578125,0,0,0,0,0,0,0,0,0,0,956.109069824219,3519847.171875,0,0,201.650299072266,0,0,1114774.75,4672546.71875,36761.669921875,0
24,26052640,66140.435546875,28325.7587890625,72440.9541015625,2086715.25,5518049.75,3264444.375,0,0,0,0,0,0,0,0,0,0,0,0,0,23984.3125,16882809,0,0,5058.46337890625,0,556511,2824313.9375,20534607.5,241927.515625,0
